CONTROL_NUMBER,DONATED,CLUSTER_CODE,CARD_PROM_12,MONTHS_SINCE_FIRST_GIFT,LAST_GIFT_AMT,PCT_ATTRIBUTE1,NUMBER_PROM_12,MOR_HIT_RATE,INCOME_GROUP,RECENT_RESPONSE_COUNT,MONTHS_SINCE_ORIGIN,PUBLISHED_PHONE,LIFETIME_MAX_GIFT_AMT,RECENCY_STATUS_96NK,FILE_CARD_GIFT,MONTHS_SINCE_LAST_PROM_RESP,RECENT_RESPONSE_PROP,PCT_OWNER_OCCUPIED,FREQUENCY_STATUS_97NK
144064,0,13,6,74,27.0,0,13,0,7.0,2,77,0,27.0,A,4,17.0,0.091,97,1
179309,1,40,5,64,19.0,0,11,0,,2,65,0,19.0,A,2,21.0,0.182,76,2
181922,0,04,4,16,6.0,0,12,0,,1,17,0,15.0,F,1,16.0,0.2,64,2
174939,0,18,6,78,12.0,1,12,1,2.0,4,89,1,12.0,S,5,19.0,0.19,61,2
109176,0,49,5,29,10.0,1,12,0,,3,29,0,10.0,A,2,15.0,0.25,83,3
132479,0,49,5,20,10.0,0,13,0,,3,17,0,11.0,N,1,15.0,0.429,72,3
171609,1,12,5,44,15.0,0,12,0,5.0,2,41,0,15.0,A,3,16.0,0.105,86,1
46661,0,40,3,21,20.0,0,8,0,6.0,1,17,0,20.0,N,1,21.0,0.143,82,1
38174,0,04,4,129,11.0,0,10,3,4.0,1,137,1,11.0,A,13,18.0,0.077,59,1
49557,0,49,6,79,25.0,0,13,1,6.0,2,89,0,25.0,A,5,19.0,0.095,66,1
109758,0,25,5,110,25.0,0,11,1,3.0,1,113,1,25.0,A,7,26.0,0.048,44,1
121869,0,21,4,79,11.0,0,9,4,2.0,2,89,1,11.0,A,6,20.0,0.111,69,1
188639,1,24,8,113,15.0,0,19,0,,5,113,0,30.0,S,8,18.0,0.227,60,4
55341,0,21,4,121,10.0,0,11,15,2.0,2,125,1,11.0,A,10,18.0,0.111,59,1
11991,1,31,6,43,25.0,0,27,0,,3,41,0,30.0,A,3,28.0,0.143,0,2
153578,0,11,6,42,16.0,6,13,0,5.0,5,41,0,16.0,A,3,23.0,0.238,51,1
144110,1,03,6,102,25.0,0,13,2,6.0,1,113,0,25.0,A,7,17.0,0.059,29,1
41677,0,31,6,75,5.0,3,13,28,1.0,4,77,1,10.0,S,11,15.0,0.182,41,3
101372,0,53,6,41,14.0,1,13,0,1.0,6,41,1,20.0,A,4,18.0,0.316,78,3
16875,0,22,4,101,15.0,0,11,3,7.0,2,137,1,15.0,A,5,18.0,0.118,43,1
139340,0,22,4,17,15.0,0,10,0,1.0,1,17,1,15.0,F,1,17.0,0.2,1,1
133555,1,39,6,23,20.0,1,12,23,5.0,2,29,1,20.0,N,1,16.0,0.25,58,2
149526,0,17,5,20,20.0,0,12,0,,2,17,0,20.0,N,0,16.0,0.286,48,2
54160,1,51,4,16,15.0,0,11,1,5.0,1,17,1,15.0,F,0,16.0,0.2,88,1
79580,1,02,3,23,15.0,0,8,12,2.0,0,29,1,15.0,N,0,,0.0,49,1
164593,0,11,4,20,15.0,1,10,4,5.0,1,17,0,15.0,F,1,20.0,0.143,63,1
33163,0,16,5,127,5.0,1,10,0,2.0,3,137,0,15.0,A,4,23.0,0.176,88,2
111942,0,51,6,75,15.0,0,11,0,,3,77,0,15.0,A,4,24.0,0.158,86,1
52661,0,51,6,94,11.0,0,15,0,5.0,3,101,0,11.0,A,5,16.0,0.231,76,4
151983,0,11,6,29,15.0,0,12,53,7.0,3,29,1,15.0,A,2,17.0,0.231,95,2
169678,1,12,6,40,16.0,1,12,0,6.0,3,41,0,16.0,A,3,18.0,0.136,77,1
190311,1,17,1,85,20.0,18,2,0,,4,89,0,25.0,E,12,18.0,0.571,12,4
82119,0,40,6,124,10.0,0,13,0,,2,125,0,20.0,A,9,21.0,0.1,94,1
170588,0,02,6,75,10.0,0,14,0,,2,77,0,15.0,A,2,18.0,0.118,86,2
163949,0,02,3,22,15.0,0,8,0,6.0,0,29,0,15.0,N,0,,0.0,71,1
46595,0,23,5,63,20.0,0,11,0,,1,65,1,30.0,A,1,26.0,0.048,82,1
539,0,14,8,78,33.0,0,19,15,5.0,1,89,1,33.0,A,2,26.0,0.063,98,1
99276,1,11,6,64,21.0,0,13,0,7.0,2,65,1,21.0,A,5,19.0,0.095,70,1
49536,0,40,6,128,10.0,0,13,0,5.0,3,137,1,10.0,S,10,18.0,0.158,90,2
26225,0,11,6,40,15.0,0,12,11,6.0,3,41,1,15.0,A,3,21.0,0.158,65,1
148133,0,24,6,45,35.0,0,12,0,,1,41,0,35.0,A,2,21.0,0.053,71,1
70574,0,43,5,126,5.0,0,12,0,5.0,4,137,0,6.0,S,15,18.0,0.222,77,3
85853,1,49,6,44,15.0,0,12,0,5.0,1,41,1,15.0,A,1,19.0,0.053,94,1
131607,0,25,6,113,11.0,3,12,6,2.0,3,113,1,11.0,S,9,21.0,0.188,47,2
112712,0,36,6,77,11.0,0,12,0,,4,77,1,11.0,S,4,18.0,0.222,69,2
8272,1,49,7,260,39.0,1,18,3,4.0,4,137,0,100.0,A,23,24.0,0.211,69,1
180182,0,13,6,28,10.0,0,12,0,5.0,4,29,1,12.0,A,3,19.0,0.286,94,4
59656,0,40,6,130,12.0,0,13,0,4.0,2,137,0,12.0,S,8,20.0,0.1,93,2
132394,1,46,6,130,10.0,0,13,0,3.0,3,137,1,12.0,S,12,19.0,0.158,52,2
98447,0,35,5,88,31.0,1,12,0,,3,89,0,31.0,A,4,16.0,0.167,89,2
88610,0,01,6,79,17.0,0,14,0,,4,89,0,19.0,A,6,16.0,0.182,37,2
7900,0,42,7,89,27.0,0,16,24,4.0,1,89,1,28.0,A,6,21.0,0.056,84,1
64766,0,17,4,24,25.0,0,9,6,2.0,1,29,1,25.0,N,1,24.0,0.1,57,1
89863,1,11,6,102,25.0,0,14,9,6.0,4,113,1,25.0,A,8,15.0,0.182,72,3
65127,0,40,6,129,8.0,0,11,0,4.0,6,137,1,11.0,S,21,21.0,0.286,92,4
123409,0,40,6,44,26.0,0,13,0,2.0,2,41,0,26.0,A,0,19.0,0.118,90,1
116082,1,27,6,24,10.0,0,12,6,6.0,3,29,1,10.0,N,2,18.0,0.3,71,3
191528,1, .,6,52,16.0,0,12,1,7.0,2,53,1,16.0,A,1,18.0,0.133,79,2
47645,0,51,6,40,5.0,2,13,1,6.0,6,41,1,6.0,A,5,23.0,0.286,92,4
133163,1,39,6,24,20.0,0,12,5,5.0,2,29,1,20.0,N,1,19.0,0.182,65,2
104214,1,28,5,127,11.0,0,13,2,6.0,2,137,1,14.0,A,19,16.0,0.111,74,1
42544,0,47,5,75,30.0,0,10,0,5.0,1,77,0,50.0,A,2,26.0,0.048,73,1
39020,1,14,4,41,15.0,1,10,0,5.0,1,41,0,15.0,A,2,21.0,0.063,82,1
72426,0,49,6,36,15.0,0,12,0,5.0,3,41,1,20.0,A,2,18.0,0.158,86,2
127947,0,27,3,22,15.0,0,8,0,,0,29,0,15.0,N,0,,0.0,89,1
53775,0,12,6,23,25.0,0,13,0,6.0,1,29,0,50.0,N,1,23.0,0.091,97,2
94438,0,05,6,119,16.0,0,13,0,4.0,2,137,0,16.0,A,4,18.0,0.1,74,1
131087,0,24,6,56,16.0,0,12,8,6.0,2,65,1,16.0,A,2,18.0,0.095,93,1
166886,0,23,4,93,20.0,0,10,0,2.0,1,101,1,20.0,A,4,23.0,0.071,49,1
152299,0,23,6,89,15.0,0,13,21,6.0,2,89,1,15.0,A,6,22.0,0.111,87,2
39115,0,08,6,29,9.0,0,13,8,3.0,4,29,1,13.0,A,2,15.0,0.286,80,3
13743,0,20,1,24,16.0,0,19,0,,2,29,0,16.0,E,2,17.0,0.333,63,2
69488,0,40,4,127,10.0,0,11,14,1.0,2,137,1,10.0,A,12,21.0,0.1,87,1
163765,0,11,6,41,15.0,0,12,6,6.0,1,41,1,25.0,A,1,18.0,0.059,60,1
81516,0,49,6,40,15.0,0,13,3,2.0,3,41,1,15.0,A,3,18.0,0.167,87,2
66785,0,49,6,79,30.0,0,13,9,4.0,2,89,1,30.0,A,1,18.0,0.091,86,2
22289,0,24,3,20,15.0,0,8,0,6.0,1,17,1,15.0,F,1,20.0,0.143,83,1
127699,0,41,4,77,15.0,0,9,3,2.0,1,77,1,15.0,A,1,26.0,0.059,79,1
135535,1,02,6,75,8.0,0,14,0,,5,77,0,10.0,S,11,18.0,0.263,96,4
75413,0,41,6,112,10.0,0,12,19,2.0,3,137,0,10.0,S,14,23.0,0.143,52,2
115701,0,12,4,57,16.0,0,10,1,6.0,2,65,1,16.0,A,2,20.0,0.143,83,1
134256,0,14,6,56,6.0,0,13,6,6.0,2,65,1,20.0,A,2,19.0,0.1,93,3
168884,0,31,6,29,10.0,0,13,3,4.0,4,29,1,10.0,A,3,17.0,0.308,29,3
82835,0,12,6,33,15.0,3,12,1,3.0,3,41,1,20.0,A,1,23.0,0.188,91,2
38894,0,10,6,33,10.0,0,15,7,2.0,4,29,1,20.0,A,3,18.0,0.267,63,3
174249,0,11,6,56,0.0,0,19,0,,2,65,1,25.0,A,4,25.0,0.091,76,1
64770,0,18,5,43,15.0,0,12,1,4.0,4,41,1,15.0,A,3,19.0,0.19,79,1
153528,1,20,6,130,5.0,3,12,0,,4,137,0,6.0,S,12,21.0,0.222,57,3
67412,0,21,4,126,20.0,0,10,6,5.0,2,137,1,20.0,A,6,22.0,0.118,93,1
23932,0,40,4,79,20.0,0,9,1,2.0,1,89,1,25.0,A,3,26.0,0.059,81,1
114760,0,24,4,55,16.0,0,9,24,6.0,1,65,1,16.0,A,1,25.0,0.077,92,1
110765,0,36,6,116,11.0,0,13,0,4.0,4,125,1,15.0,A,7,19.0,0.211,62,3
57870,0,10,6,43,20.0,0,13,8,2.0,3,41,1,20.0,S,2,19.0,0.158,41,2
79628,1,12,6,76,17.0,0,13,0,6.0,3,77,0,17.0,A,2,19.0,0.15,85,2
152417,0,14,6,128,30.0,0,13,0,6.0,2,137,0,30.0,A,8,18.0,0.095,76,1
115823,1,14,4,100,15.0,0,12,2,5.0,2,101,1,15.0,A,3,19.0,0.111,94,1
160541,0,36,6,50,32.0,0,13,0,,4,53,0,32.0,A,4,22.0,0.19,72,2
37232,0,20,4,21,20.0,0,12,0,2.0,1,17,1,20.0,F,1,21.0,0.143,82,1
145925,0,11,6,69,6.0,2,14,0,6.0,12,77,0,16.0,S,17,17.0,0.706,82,4
68242,0,10,4,18,20.0,0,12,0,2.0,1,17,1,20.0,F,1,18.0,0.2,69,1
109567,0,41,6,69,20.0,0,13,0,7.0,1,77,1,20.0,A,4,16.0,0.053,90,1
120079,0,44,5,119,15.0,0,12,0,3.0,2,125,0,20.0,A,4,18.0,0.118,75,2
158143,1,14,6,113,17.0,0,13,0,,4,113,0,21.0,S,13,21.0,0.19,71,2
176948,1,36,6,34,17.0,0,12,0,1.0,3,41,1,20.0,A,2,22.0,0.167,60,1
120948,0,03,2,40,15.0,0,9,0,,2,41,0,15.0,E,3,15.0,0.125,72,1
43409,0,40,5,74,8.0,0,12,0,3.0,6,77,0,8.0,A,6,18.0,0.286,91,3
82909,0,12,6,52,15.0,1,13,2,7.0,3,53,1,15.0,A,3,17.0,0.158,93,2
88003,0,12,6,57,15.0,0,14,0,,5,65,0,16.0,S,5,19.0,0.238,91,3
99647,0,12,6,35,25.0,1,13,12,4.0,1,41,1,25.0,A,0,18.0,0.067,96,1
191129,0,18,1,110,14.0,0,6,0,,3,137,1,15.0,E,9,17.0,0.375,94,2
164224,0,20,4,15,15.0,0,10,1,5.0,1,17,1,15.0,F,0,15.0,0.2,54,1
63376,0,49,6,57,8.0,0,14,0,2.0,4,65,1,10.0,S,8,21.0,0.2,34,2
107944,0,02,6,122,10.0,0,14,4,4.0,3,137,0,12.0,S,12,16.0,0.15,96,2
165241,1,24,6,65,25.0,0,13,1,3.0,1,77,0,25.0,A,2,18.0,0.067,94,1
144726,0,13,5,68,25.0,0,11,0,6.0,2,77,1,25.0,A,4,26.0,0.1,83,1
37932,0,31,6,84,20.0,0,14,0,,7,89,0,22.0,S,13,21.0,0.333,0,4
105123,0,27,6,38,12.0,1,13,0,,3,41,1,12.0,A,3,17.0,0.176,60,3
94307,1,07,4,68,5.0,0,9,7,1.0,7,77,1,25.0,S,10,16.0,0.389,52,4
131443,0,31,6,55,10.0,0,14,0,2.0,4,65,0,10.0,A,4,17.0,0.222,94,4
61620,0,35,4,75,15.0,0,13,4,5.0,2,77,1,20.0,A,6,18.0,0.105,98,1
44733,0,36,6,52,7.0,0,13,5,4.0,7,53,0,10.0,S,6,15.0,0.318,87,4
71191,0,36,6,91,20.0,0,14,0,5.0,4,101,1,20.0,S,6,18.0,0.211,61,3
5502,0,21,5,129,10.0,11,15,0,5.0,2,137,1,14.0,L,11,15.0,0.105,45,1
161760,1,41,3,15,35.0,0,8,0,,1,17,0,35.0,E,1,15.0,0.5,81,1
3304,0, .,6,76,100.0,0,31,0,5.0,3,77,1,100.0,A,4,18.0,0.15,58,1
74440,0,45,5,125,10.0,0,12,12,3.0,2,137,0,11.0,A,12,18.0,0.105,76,1
110368,0,36,6,28,10.0,0,13,0,5.0,2,29,0,11.0,A,2,23.0,0.154,73,3
180833,0,39,6,127,20.0,0,13,2,5.0,3,137,1,20.0,A,14,23.0,0.136,84,1
51692,1,34,4,130,5.0,0,8,11,6.0,5,137,1,15.0,S,12,18.0,0.263,70,3
131100,0,40,6,124,25.0,0,13,0,7.0,1,125,0,25.0,A,8,25.0,0.056,0,1
35641,0,16,6,92,10.0,0,14,8,2.0,7,101,1,10.0,S,9,17.0,0.333,62,4
159750,1,27,6,97,10.0,0,14,16,6.0,6,113,1,11.0,S,14,16.0,0.3,70,3
142848,0,03,4,32,20.0,0,10,0,5.0,2,29,1,20.0,A,2,20.0,0.125,55,1
148600,0,07,4,17,20.0,0,10,0,,1,29,0,20.0,F,1,17.0,0.333,40,1
167343,0,42,6,98,25.0,0,13,0,1.0,2,101,1,25.0,A,4,17.0,0.095,69,1
105484,1,48,6,24,10.0,1,13,0,,3,29,1,10.0,N,3,17.0,0.3,80,3
134423,0,11,3,21,15.0,0,8,0,6.0,1,17,1,15.0,F,1,21.0,0.143,65,1
31968,0,34,6,44,25.0,2,11,1,7.0,2,41,1,25.0,A,2,25.0,0.091,72,1
6443,1,37,6,93,25.0,0,24,1,4.0,1,65,1,25.0,A,3,21.0,0.053,68,1
186989,0, .,5,128,0.0,0,13,0,4.0,3,137,0,6.0,S,17,20.0,0.167,80,3
171978,0,08,6,41,10.0,0,13,0,,5,41,0,20.0,A,3,18.0,0.25,81,3
116878,0,02,4,17,15.0,0,10,0,7.0,1,17,0,15.0,F,1,17.0,0.2,82,1
92472,0,14,5,52,15.0,0,13,0,,2,53,0,15.0,A,4,16.0,0.105,93,1
55101,0,49,4,64,15.0,1,8,0,4.0,3,65,1,15.0,A,4,17.0,0.158,89,1
19992,0,24,6,80,15.0,23,13,2,4.0,1,89,1,15.0,A,5,18.0,0.053,81,1
80587,0, .,4,119,20.0,0,9,15,2.0,1,125,1,20.0,A,7,27.0,0.053,28,1
59565,0,39,5,128,50.0,1,11,0,,2,137,0,50.0,A,10,26.0,0.105,87,1
3524,0, .,8,52,10.0,0,29,0,4.0,4,41,0,10.0,A,1,19.0,0.2,54,4
67077,0,16,6,125,12.0,2,13,2,7.0,2,125,1,12.0,A,8,20.0,0.111,93,2
101263,1,53,6,57,8.0,0,14,4,1.0,4,65,1,10.0,A,3,16.0,0.267,78,3
139062,1, .,6,92,16.0,0,11,2,3.0,3,101,1,20.0,S,5,24.0,0.136,85,2
119848,0,36,5,16,25.0,0,12,0,5.0,1,17,1,25.0,F,1,16.0,0.2,72,1
121551,0,01,6,21,25.0,0,13,50,5.0,2,17,1,25.0,N,2,17.0,0.286,3,2
37921,0,10,4,86,20.0,1,10,0,5.0,1,89,0,20.0,A,1,18.0,0.083,62,1
183296,0,39,6,124,21.0,0,13,0,,3,125,0,21.0,S,10,22.0,0.143,77,2
23614,0,30,6,74,20.0,4,15,1,1.0,7,77,0,20.0,A,8,16.0,0.389,66,4
7993,0,41,4,99,5.0,0,25,24,1.0,1,101,1,16.0,A,2,25.0,0.059,48,2
6555,1,24,9,230,10.0,0,39,0,6.0,6,137,1,15.0,S,13,17.0,0.316,67,4
170912,1,14,4,36,20.0,0,10,0,7.0,2,41,0,20.0,A,1,18.0,0.125,81,1
49531,0,39,5,76,20.0,1,10,2,3.0,2,77,0,20.0,A,3,26.0,0.111,74,1
28150,0,13,5,123,26.0,0,11,4,5.0,1,125,1,26.0,A,7,26.0,0.056,90,1
23267,0,43,5,93,10.0,0,14,0,1.0,2,101,0,10.0,A,14,17.0,0.111,87,1
52755,0,20,5,32,21.0,0,11,13,5.0,2,29,0,21.0,A,1,17.0,0.154,39,1
103219,0,49,4,31,16.0,0,10,0,2.0,2,29,0,16.0,A,1,19.0,0.143,88,1
55580,0,41,6,77,10.0,0,13,0,6.0,3,77,1,15.0,S,7,17.0,0.15,71,4
115874,0,18,3,32,22.0,0,9,15,4.0,2,29,1,22.0,E,0,15.0,0.143,76,1
152737,1,12,6,87,8.0,1,13,0,5.0,9,89,0,25.0,S,10,16.0,0.529,89,4
23718,0,34,6,87,20.0,2,13,1,3.0,3,89,1,20.0,A,4,19.0,0.15,85,1
153967,1,21,5,119,5.0,13,12,0,,3,137,0,7.0,S,14,18.0,0.176,42,3
16473,0,39,5,130,4.0,0,12,0,5.0,3,137,1,6.0,S,18,21.0,0.167,81,3
172167,1,21,6,35,15.0,1,12,0,,4,41,0,15.0,A,3,20.0,0.222,52,2
73045,0,28,6,78,15.0,0,12,0,5.0,3,89,0,15.0,A,4,22.0,0.136,84,2
136136,0,41,4,74,25.0,0,6,0,4.0,1,77,0,25.0,A,2,25.0,0.111,82,1
40313,0,27,6,75,35.0,0,15,0,,2,77,0,35.0,A,2,17.0,0.091,76,1
66673,0,13,6,76,16.0,0,14,0,5.0,6,77,0,20.0,A,5,17.0,0.3,97,4
155449,0,10,4,65,25.0,0,7,0,2.0,0,77,0,25.0,A,1,,0.0,68,1
138997,1,41,5,77,10.0,0,11,24,2.0,3,77,1,15.0,A,4,15.0,0.158,78,2
102534,1,35,6,126,21.0,0,14,0,,2,137,1,21.0,A,5,18.0,0.095,98,1
170341,0,30,6,113,30.0,0,12,0,7.0,2,113,0,30.0,A,9,25.0,0.091,71,1
83211,0,12,4,121,12.0,0,11,0,,2,125,0,17.0,A,6,18.0,0.111,80,1
187571,1,43,1,41,25.0,0,6,0,,3,41,0,25.0,E,6,18.0,0.375,92,3
146942,0,01,4,125,16.0,7,10,6,5.0,1,125,0,16.0,A,8,21.0,0.056,40,1
172698,0,28,4,21,5.0,0,11,0,,2,17,0,15.0,N,2,16.0,0.286,88,2
54128,0,35,6,112,15.0,0,15,8,7.0,2,113,1,15.0,S,9,18.0,0.111,92,2
180463,0,27,6,87,10.0,3,11,2,5.0,7,89,1,11.0,S,8,24.0,0.318,78,2
176654,1,48,6,124,20.0,0,12,0,5.0,4,125,1,20.0,A,8,24.0,0.222,76,1
50639,0,39,5,104,20.0,1,12,0,5.0,2,113,1,25.0,A,2,15.0,0.118,60,1
6511,0,11,7,105,18.0,0,15,0,7.0,3,113,0,25.0,A,9,26.0,0.136,70,1
43232,0,33,6,44,5.0,3,12,2,1.0,4,41,1,14.0,A,3,17.0,0.222,72,3
101410,0,27,5,127,20.0,1,9,5,4.0,2,137,1,20.0,A,9,23.0,0.143,84,1
119989,0,24,6,41,5.0,2,12,0,5.0,8,41,0,6.0,A,5,18.0,0.381,89,4
113468,0,30,5,38,27.0,2,12,0,1.0,3,41,0,27.0,A,0,26.0,0.143,0,1
147936,1,01,5,105,7.0,0,11,10,5.0,5,113,1,8.0,A,5,15.0,0.357,32,3
41839,0,10,4,126,10.0,0,9,14,2.0,6,137,1,10.0,S,12,22.0,0.353,68,4
12249,0,44,11,130,10.0,0,46,0,,9,137,0,12.0,S,20,15.0,0.474,65,4
38159,0,08,6,51,15.0,1,13,0,2.0,3,53,0,15.0,A,0,15.0,0.188,79,2
78312,1,20,5,99,20.0,2,10,3,6.0,1,101,1,20.0,A,6,26.0,0.05,59,1
52476,1,53,6,69,15.0,0,12,14,1.0,1,77,1,15.0,A,5,22.0,0.05,80,1
119209,0,36,6,53,15.0,0,14,0,5.0,3,53,1,15.0,A,3,18.0,0.167,86,2
15017,1, .,2,75,12.0,0,5,0,1.0,4,77,1,12.0,E,12,17.0,0.5,68,2
1085,0,44,5,124,15.0,0,16,25,4.0,7,125,1,25.0,A,16,12.0,0.35,87,1
47027,0,43,4,39,20.0,1,10,0,1.0,1,41,0,20.0,A,1,20.0,0.067,61,1
184880,0,31,4,17,20.0,7,10,0,5.0,1,17,0,20.0,F,1,17.0,0.2,64,1
58728,1,51,4,98,20.0,0,12,0,6.0,1,101,0,20.0,A,4,20.0,0.071,85,1
39819,0,20,6,112,21.0,0,15,4,5.0,3,113,1,21.0,A,6,18.0,0.136,68,1
18067,0,47,5,130,15.0,0,12,0,2.0,2,137,1,15.0,A,6,19.0,0.143,69,1
173726,0,12,6,56,11.0,4,12,0,,3,65,0,11.0,A,2,18.0,0.167,66,3
10565,0,10,6,74,5.0,0,26,3,1.0,6,77,1,10.0,S,8,17.0,0.3,54,3
101033,1,39,4,78,17.0,0,10,2,4.0,1,89,1,17.0,A,4,18.0,0.071,94,1
176608,0,46,4,30,15.0,0,9,4,4.0,2,41,0,15.0,A,1,24.0,0.154,84,1
143845,0,02,6,69,25.0,0,13,0,,1,77,0,30.0,A,2,29.0,0.048,84,1
37047,0,27,5,123,5.0,2,10,3,1.0,3,125,1,10.0,S,10,15.0,0.167,47,3
38632,1,12,5,129,20.0,3,13,0,4.0,12,137,0,25.0,S,24,16.0,0.6,72,4
72676,0,51,5,23,17.0,0,13,6,1.0,3,29,1,17.0,N,2,16.0,0.273,63,3
161464,0,14,6,33,32.0,0,13,0,5.0,4,29,0,32.0,A,2,23.0,0.211,93,2
28698,0,14,4,30,17.0,0,10,8,7.0,2,29,1,17.0,A,0,26.0,0.154,99,1
132300,0,30,6,29,7.0,0,13,5,2.0,4,29,1,12.0,A,2,18.0,0.308,72,4
86714,1,45,6,123,10.0,0,13,0,2.0,3,137,1,10.0,S,16,18.0,0.167,76,2
65907,0,08,6,40,15.0,0,13,1,5.0,3,41,1,15.0,A,2,16.0,0.158,82,2
11399,1,24,3,130,9.0,2,18,10,3.0,6,137,1,9.0,S,16,18.0,0.375,43,4
135785,0,06,4,119,10.0,0,9,21,4.0,1,125,1,11.0,A,9,26.0,0.053,88,1
28223,0,17,6,32,10.0,0,12,15,1.0,6,29,1,10.0,A,4,18.0,0.353,33,4
124944,0,42,6,41,19.0,0,13,0,5.0,3,41,0,21.0,A,3,19.0,0.136,77,1
133926,0,49,5,129,10.0,0,13,11,3.0,3,137,1,10.0,A,14,16.0,0.167,84,1
82155,0,35,6,105,14.0,1,11,0,,4,113,0,14.0,S,9,24.0,0.182,92,2
9988,0,11,5,41,36.0,2,26,0,6.0,0,41,1,36.0,A,1,,0.0,74,1
160231,0,38,5,112,9.0,0,11,15,1.0,4,113,1,17.0,S,11,23.0,0.222,34,3
140262,0,24,6,34,10.0,0,14,0,,4,41,0,10.0,A,3,18.0,0.25,0,3
138169,0,27,6,44,10.0,0,12,0,4.0,4,41,1,10.0,A,3,20.0,0.235,42,3
128453,0,23,5,29,5.0,0,11,0,1.0,3,29,1,15.0,A,2,18.0,0.333,76,2
72960,0,44,5,44,15.0,0,13,0,7.0,4,41,0,15.0,S,6,16.0,0.235,86,2
51057,0,43,3,52,15.0,0,9,0,2.0,2,53,0,15.0,E,0,15.0,0.133,85,1
37772,0,10,4,19,20.0,0,10,0,,1,29,0,20.0,F,1,19.0,0.167,43,1
72366,1,43,5,54,15.0,1,11,0,2.0,1,65,1,15.0,A,1,21.0,0.059,82,1
27558,0,27,6,125,8.0,3,13,7,4.0,5,125,1,10.0,S,11,15.0,0.238,83,3
130977,0,24,4,128,10.0,0,8,1,6.0,5,137,1,16.0,S,17,18.0,0.227,61,3
50869,0,18,6,128,20.0,0,13,0,3.0,2,137,0,25.0,A,8,19.0,0.133,83,2
1968,0, .,7,105,15.0,0,18,0,,4,113,1,15.0,A,9,17.0,0.2,95,1
14394,1,39,5,20,0.0,37,13,4,3.0,1,17,1,25.0,F,0,20.0,0.143,70,1
123386,1,49,5,88,22.0,0,12,0,5.0,2,89,0,22.0,A,2,18.0,0.118,81,1
184978,0,22,6,44,20.0,1,12,0,6.0,3,41,0,20.0,A,3,22.0,0.158,40,1
66508,0,18,6,103,15.0,0,14,17,3.0,2,137,0,15.0,S,7,16.0,0.133,90,2
75442,0,45,5,114,4.0,0,12,1,1.0,3,137,1,8.0,S,8,15.0,0.15,64,3
184459,0, .,6,103,20.0,0,13,0,7.0,4,113,0,20.0,A,10,19.0,0.2,84,1
90110,0,09,4,44,16.0,0,10,0,4.0,2,41,0,16.0,A,2,17.0,0.125,32,1
139897,0,49,4,19,15.0,0,10,0,3.0,1,17,0,15.0,F,1,19.0,0.143,74,1
146226,0,02,8,51,25.0,0,16,1,6.0,4,53,1,25.0,F,4,16.0,0.19,88,1
181572,0,34,6,112,50.0,0,14,0,3.0,2,113,0,50.0,A,5,21.0,0.105,82,1
45922,0,05,4,52,15.0,0,10,4,2.0,1,53,0,15.0,A,1,17.0,0.077,36,1
85700,0,46,6,113,20.0,0,12,1,2.0,2,113,1,20.0,A,5,22.0,0.095,75,1
107338,0,49,5,108,8.0,0,12,15,1.0,4,113,1,8.0,S,13,16.0,0.25,73,3
161961,0,07,6,81,32.0,0,13,0,,2,89,0,32.0,A,5,21.0,0.095,92,1
159693,0,42,6,113,20.0,0,12,0,,3,113,1,20.0,S,9,23.0,0.143,74,2
57195,0,51,6,33,20.0,1,13,0,3.0,3,29,0,25.0,A,1,20.0,0.188,77,2
63568,0,42,5,78,5.0,0,11,0,,3,89,0,15.0,A,5,21.0,0.158,81,2
142784,0,09,6,64,15.0,0,12,2,1.0,2,65,0,16.0,A,2,18.0,0.1,1,1
105268,0,53,6,91,25.0,0,14,0,,5,101,1,25.0,A,6,18.0,0.227,81,3
46683,0,41,6,74,26.0,0,13,0,2.0,2,77,0,33.54,A,3,18.0,0.095,49,2
23897,0,42,5,53,15.0,0,11,6,4.0,1,53,1,15.0,A,3,17.0,0.1,82,1
150660,1,02,6,128,13.0,0,13,0,1.0,6,137,0,16.0,S,15,20.0,0.286,63,4
45656,1,33,6,20,30.0,0,14,0,5.0,2,17,1,30.0,N,1,16.0,0.25,88,2
149152,1,14,4,19,20.0,0,9,2,6.0,1,17,0,20.0,F,0,19.0,0.25,93,1
144577,1,03,4,81,15.0,0,11,36,6.0,2,89,1,15.0,A,4,17.0,0.125,41,1
85949,0,45,6,127,20.0,0,14,0,5.0,2,137,0,20.0,A,5,15.0,0.105,75,2
65339,0,02,6,113,12.0,0,13,0,5.0,3,113,1,12.0,A,12,20.0,0.143,90,1
134570,0,30,6,93,25.0,0,14,0,,2,101,1,35.0,A,6,18.0,0.105,58,2
141092,0,20,6,104,16.0,0,14,4,4.0,12,101,0,21.0,S,15,17.0,0.571,75,4
76704,0,43,6,54,15.0,0,12,20,4.0,2,65,1,15.0,A,1,23.0,0.1,88,2
100430,1,13,6,57,25.0,0,15,0,,3,65,0,50.0,A,3,16.0,0.136,72,1
30623,0,41,4,19,20.0,2,10,0,,1,17,0,20.0,F,1,19.0,0.167,67,1
90572,0,24,6,123,7.0,0,11,2,4.0,6,125,1,10.0,A,5,18.0,0.286,93,3
109356,0,42,6,32,15.0,0,13,0,,3,29,0,16.0,A,1,20.0,0.176,88,2
