CONTROL_NUMBER,DONATED,CLUSTER_CODE,LIFETIME_CARD_PROM,LIFETIME_PROM,DONOR_AGE,PCT_ATTRIBUTE3,MOR_HIT_RATE,URBANICITY,PCT_OWNER_OCCUPIED,RECENT_CARD_RESPONSE_PROP,CARD_PROM_12,RECENT_RESPONSE_PROP,MONTHS_SINCE_ORIGIN,LAST_GIFT_AMT,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,LIFETIME_GIFT_COUNT,PER_CAPITA_INCOME,LIFETIME_MIN_GIFT_AMT
78112,0,44,14,34,55.0,27,0,R,88,0.111,6,0.15,41,15.0,0,A,5,15861,5.0
175132,0,49,23,60,27.0,36,0,R,75,0.091,6,0.136,65,50.0,11,A,11,28393,10.0
53995,0,51,4,12,31.0,44,0,R,83,0.0,4,0.0,17,20.0,0,F,1,8764,20.0
82610,1,18,13,33,74.0,44,0,S,81,0.833,3,0.7,65,4.0,1,S,20,10337,3.0
40154,0,33,10,23,,0,0,C,90,0.286,4,0.214,29,5.0,0,N,3,13232,1.0
166927,1,11,11,32,68.0,37,0,S,57,0.0,3,0.067,41,20.0,0,A,2,22975,20.0
116912,0,02,19,54,42.0,37,0,U,82,0.333,6,0.263,77,5.0,1,S,12,28498,2.0
174039,0,01,12,31,35.0,44,0,U,74,0.286,4,0.125,41,15.0,0,A,3,25908,10.0
145895,1,11,11,26,,0,0,S,50,0.286,6,0.214,29,12.0,0,A,4,20693,5.0
95200,0,49,32,78,55.0,59,0,R,78,0.3,6,0.19,137,20.0,1,S,17,10681,3.0
119989,0,24,15,34,71.0,34,0,C,89,0.4,6,0.381,41,5.0,0,A,10,17357,3.0
94177,1,20,29,74,65.0,16,4,S,77,0.333,6,0.2,137,10.0,0,A,16,16711,3.0
51011,0,35,17,45,26.0,37,0,T,95,0.5,5,0.3,53,7.0,1,S,13,20816,2.0
23409,0,49,17,39,,35,3,R,87,0.6,5,0.4,89,19.0,3,A,10,12798,5.0
176625,0,51,29,62,42.0,34,3,R,66,0.0,6,0.2,137,5.0,0,A,11,8325,3.0
142022,0,44,9,22,27.0,24,0,R,72,0.333,4,0.154,29,16.0,0,A,2,13630,10.0
157318,0,13,13,32,77.0,5,1,S,90,0.375,6,0.278,41,7.0,0,A,6,44728,3.0
101699,0,41,27,69,74.0,0,0,T,66,0.455,6,0.35,101,10.0,1,S,21,9658,2.0
116454,0,40,8,18,24.0,45,6,T,74,0.5,6,0.25,29,15.0,0,N,2,12605,10.0
100509,0,13,17,47,56.0,12,1,S,96,0.143,6,0.059,65,25.0,0,A,5,20152,10.0
19233,0,39,23,58,32.0,22,9,T,81,0.182,6,0.227,77,20.0,1,S,10,11866,5.0
118931,0,16,16,42,77.0,35,1,S,63,0.429,4,0.333,125,5.0,0,A,20,13901,0.04
109429,1,40,5,13,,33,19,T,84,0.5,4,0.2,17,16.0,0,F,1,15300,16.0
169553,1,49,23,58,38.0,15,1,R,63,0.4,6,0.263,89,6.0,0,A,18,10323,3.0
3825,1,18,31,122,73.0,26,20,S,82,0.0,7,0.095,113,15.0,1,S,25,15479,5.0
78706,0,20,23,59,63.0,17,2,S,59,0.3,6,0.211,89,11.0,0,A,11,17365,5.0
44464,0,37,24,54,73.0,6,0,T,90,0.25,6,0.2,113,10.0,1,S,22,12050,1.0
84642,0,41,22,55,87.0,12,0,T,83,0.1,5,0.143,89,16.0,0,A,8,10383,10.0
156820,0,06,5,12,,31,0,U,54,0.333,3,0.167,29,20.0,0,N,1,11972,20.0
174833,1,17,27,66,77.0,45,0,S,34,0.3,6,0.143,113,20.0,4,A,10,15729,5.0
97260,0,41,27,73,76.0,44,4,T,44,0.333,4,0.133,137,11.0,3,A,20,12915,2.0
34068,0,26,11,26,32.0,49,6,C,39,0.429,6,0.429,29,5.0,0,A,7,16083,5.0
48547,0,44,12,35,,50,0,R,93,0.2,4,0.071,65,15.0,0,A,3,15278,5.0
2501,0,25,10,26,63.0,29,0,C,30,1.0,9,0.6,17,16.0,0,F,3,14236,10.0
154382,0,26,6,14,17.0,22,0,C,54,0.5,5,0.2,17,25.0,0,F,1,18025,25.0
113536,0,18,16,36,45.0,48,0,S,80,0.3,6,0.286,41,8.0,0,A,9,13469,5.0
72204,0,27,18,47,66.0,41,0,C,77,0.0,6,0.158,65,10.0,0,A,5,18238,5.0
90022,0,12,25,64,50.0,14,0,S,98,0.364,6,0.3,89,14.0,0,A,15,16896,5.0
156034,1,40,6,16,37.0,26,0,T,88,0.25,3,0.1,29,20.0,0,N,1,19031,20.0
95548,0,21,14,34,,35,0,S,58,0.0,6,0.15,41,15.0,0,A,4,8906,5.0
154374,0,38,24,60,,20,0,T,75,0.182,6,0.136,77,25.0,4,A,11,24445,15.0
69019,0,24,26,62,55.0,12,0,C,95,0.0,6,0.053,113,20.0,0,A,8,18443,5.0
151986,1,13,9,27,76.0,23,1,S,86,0.167,2,0.133,41,15.0,0,E,3,27570,5.0
169259,0,26,25,69,,38,0,C,79,0.111,6,0.053,101,20.0,11,A,20,11731,3.0
120394,0,39,15,36,25.0,14,10,T,56,0.222,6,0.167,41,25.0,0,A,4,17802,5.0
108457,0,15,30,69,42.0,49,0,S,12,0.273,6,0.182,137,15.0,7,A,17,23744,3.0
10949,0,13,30,106,74.0,21,23,S,98,0.0,8,0.091,101,25.0,0,A,13,20722,15.0
145120,1,01,26,63,60.0,59,8,U,29,0.1,6,0.095,101,15.0,1,S,11,43978,5.0
158764,0,27,20,55,84.0,35,6,C,60,0.222,6,0.25,89,7.0,0,A,9,14580,5.0
14218,0,01,33,83,67.0,42,26,U,3,0.0,5,0.05,137,10.0,4,A,23,13879,5.0
12652,0,28,32,97,,20,0,C,97,0.273,8,0.333,77,34.0,8,A,28,16414,5.0
119570,1,15,19,45,45.0,55,3,S,16,0.4,5,0.211,53,8.0,0,A,11,19185,3.0
159174,1,25,21,56,82.0,26,1,C,52,0.125,5,0.211,77,9.0,1,S,17,14118,3.0
35419,0,16,19,51,42.0,20,3,S,80,0.143,4,0.111,113,15.0,0,A,7,17048,5.0
144143,0,10,13,33,58.0,34,5,U,74,0.0,4,0.059,77,15.0,0,A,3,10288,5.0
155686,0,12,23,56,49.0,54,35,S,91,0.0,6,0.048,77,50.0,0,A,5,15686,20.0
90857,0,30,32,81,79.0,6,0,C,49,0.182,6,0.318,137,10.0,0,A,26,10398,5.0
45532,0,28,27,63,77.0,13,0,C,92,0.0,5,0.105,113,12.0,0,A,14,15425,5.0
24272,1,38,28,67,74.0,26,0,T,28,0.222,6,0.263,113,20.0,1,S,10,18368,2.0
11254,1, .,28,104,62.0,0,28,?,75,0.2,7,0.19,113,25.0,0,A,13,15138,10.0
78179,1,31,12,27,33.0,40,0,C,94,0.125,6,0.2,29,20.0,0,A,4,14051,20.0
54121,0,40,20,49,,31,0,T,49,0.125,6,0.111,77,17.0,1,S,6,17586,3.0
186844,0,30,8,17,,31,0,C,59,0.5,6,0.286,17,0.0,0,N,2,10196,0.0
76711,0,45,31,70,,22,0,R,76,0.2,6,0.15,137,15.0,0,A,14,9733,3.0
1731,1,13,21,55,79.0,11,23,S,90,0.429,11,0.533,29,12.0,0,A,11,48843,6.0
102320,0,10,27,63,87.0,0,1,U,50,0.0,4,0.056,137,25.0,0,A,11,20107,1.25
129262,0,12,23,61,47.0,45,0,S,76,0.0,6,0.1,89,20.0,0,A,11,17195,3.0
46500,0,28,26,71,65.0,27,0,C,82,0.182,6,0.091,89,15.0,1,S,16,15049,5.0
96827,0,49,36,89,82.0,33,0,R,75,0.636,7,0.5,137,7.0,2,F,33,11926,2.0
85067,0,45,9,20,69.0,26,0,R,78,0.4,6,0.182,29,10.0,0,N,2,10665,10.0
100858,0,24,6,15,69.0,26,1,C,90,0.333,4,0.143,29,25.0,0,N,1,17749,25.0
72011,0,51,11,25,40.0,24,5,R,80,0.286,6,0.357,29,14.0,0,A,5,11560,10.0
132210,0,44,20,53,45.0,37,1,R,80,0.1,6,0.105,65,20.0,0,A,7,13131,5.0
189520,1,13,24,60,78.0,24,24,S,90,0.182,6,0.211,77,20.0,1,S,11,25985,5.0
42279,1,41,16,37,64.0,26,2,T,74,0.4,6,0.333,53,5.0,1,S,10,9840,3.0
159694,0,52,22,60,,42,0,R,34,0.0,5,0.048,77,15.0,14,A,15,8041,2.0
116356,0,39,24,62,43.0,40,0,T,77,0.111,6,0.111,89,10.0,1,S,11,10101,5.0
67315,1,18,26,60,77.0,50,4,S,73,0.091,6,0.091,89,30.0,0,A,8,16332,10.0
141861,0,36,29,70,77.0,17,0,T,66,0.2,6,0.286,137,25.0,1,S,19,12428,3.0
191125,0,17,16,39,65.0,29,3,S,44,0.0,6,0.25,65,15.0,0,A,8,12217,5.0
135607,0,16,10,24,,22,0,S,77,0.5,5,0.231,29,20.0,0,A,3,10655,10.0
106527,0,49,19,54,,46,2,R,77,0.25,6,0.111,65,20.0,3,A,8,9813,5.0
14719,0,45,27,102,79.0,30,0,R,57,0.182,6,0.091,101,10.0,11,A,24,11588,5.0
94470,0,13,23,65,85.0,14,0,S,93,0.0,6,0.158,89,10.0,1,S,13,19893,5.0
185663,1,43,27,70,67.0,19,0,R,83,0.556,4,0.353,137,5.0,1,S,21,11016,0.0
114864,0,48,26,62,69.0,8,13,R,72,0.111,6,0.2,113,10.0,0,A,11,10891,1.0
134007,0,21,13,36,,26,0,S,69,0.25,4,0.273,113,14.0,0,A,10,9576,3.0
172075,0,17,24,57,,41,0,S,48,0.455,5,0.4,101,5.0,0,A,23,14044,5.0
116267,1,13,9,20,73.0,14,0,S,93,0.2,5,0.182,29,20.0,0,N,2,21558,10.0
119441,0,32,23,60,68.0,0,11,C,87,0.0,6,0.053,89,20.0,0,A,5,7844,5.0
30744,0,12,13,32,66.0,42,5,S,89,0.111,6,0.158,29,15.0,0,A,4,15393,10.0
65136,1,35,11,25,62.0,56,6,T,95,0.286,6,0.143,29,75.0,0,A,2,17633,10.0
28237,0,10,20,53,71.0,34,0,U,7,0.3,6,0.286,65,9.0,1,S,13,3224,5.0
104323,0,30,7,21,87.0,23,3,C,61,0.0,4,0.167,29,15.0,0,A,2,10859,5.0
74472,0,49,14,31,70.0,38,0,R,82,0.0,4,0.071,65,20.0,0,A,4,11966,5.0
75461,1, .,27,64,80.0,0,0,?,71,0.3,6,0.143,113,15.0,0,A,9,10791,3.0
99947,0,13,22,59,51.0,41,13,S,97,0.364,6,0.238,65,30.0,1,S,9,58149,10.0
12559,0,12,12,48,87.0,35,0,S,91,0.143,7,0.143,29,25.0,0,A,5,24634,25.0
109678,0,50,29,73,59.0,13,8,R,74,0.182,6,0.15,113,30.0,1,S,17,7036,10.0
14161,1,41,18,54,69.0,11,7,T,86,0.375,6,0.353,89,3.0,0,A,11,8860,3.0
175582,1,30,15,38,37.0,28,0,C,55,0.286,3,0.231,53,15.0,0,E,7,9565,5.0
15029,0,42,15,35,,32,0,R,88,0.1,6,0.095,41,22.0,0,A,3,18669,10.0
183459,0,51,22,53,,23,0,R,70,0.2,6,0.238,77,10.0,0,A,13,11290,1.0
157754,0,13,30,67,53.0,24,0,S,83,0.556,4,0.471,137,5.0,1,S,48,24560,1.0
3480,0, .,32,92,60.0,0,0,?,74,0.182,8,0.19,125,15.0,0,A,18,39301,10.0
50224,0,27,9,21,45.0,52,0,C,71,0.4,6,0.25,29,12.0,0,N,3,12153,5.0
52196,1,40,12,28,47.0,34,8,T,82,0.125,4,0.111,41,15.0,0,A,3,16375,5.0
157672,1,24,25,66,66.0,35,9,C,89,0.0,4,0.059,125,17.0,0,A,9,37411,5.0
157536,1,25,10,25,78.0,10,13,C,50,0.333,4,0.143,53,15.0,0,A,2,20728,10.0
131596,0,30,20,48,69.0,30,1,C,54,0.6,6,0.526,77,5.0,1,S,24,9607,3.0
149653,1,07,17,40,48.0,36,0,U,32,0.0,6,0.1,53,20.0,0,A,4,12551,10.0
91292,0,18,25,63,23.0,30,0,S,93,0.091,6,0.136,89,20.0,0,A,11,14393,6.0
53151,1,50,5,13,,17,0,R,70,0.0,5,0.25,17,20.0,0,F,1,9775,20.0
45008,1,08,21,54,51.0,24,2,U,84,0.091,6,0.136,65,20.0,0,A,10,11919,5.0
40234,0,33,21,53,51.0,18,0,C,84,0.3,5,0.211,77,8.0,0,A,14,11484,3.0
179028,0,20,14,37,,31,0,S,62,0.125,6,0.222,41,30.0,0,A,6,19121,3.0
26613,0,36,6,14,83.0,31,13,T,78,0.0,5,0.2,17,20.0,0,F,1,10396,20.0
109472,0,47,20,59,67.0,46,0,R,70,0.143,3,0.118,89,14.0,9,E,14,11341,3.0
5636,0,30,30,118,,9,0,C,67,0.111,6,0.105,125,10.0,15,A,39,14464,5.0
178884,1,18,9,23,45.0,33,6,S,84,0.4,6,0.182,29,25.0,0,N,2,14816,5.0
185957,0,24,26,75,64.0,18,10,C,88,0.273,7,0.182,101,25.0,4,A,19,20233,5.0
3122,0,30,9,35,,17,0,C,43,0.0,5,0.167,17,15.0,0,F,4,9933,15.0
125273,0,22,16,39,55.0,53,6,C,72,0.1,6,0.053,41,27.0,0,A,4,20636,20.0
144714,1,13,10,24,,24,0,S,83,0.167,4,0.071,41,16.0,0,A,2,31694,10.0
112715,0,36,32,80,,54,0,T,57,0.0,6,0.15,137,16.0,1,S,30,5728,2.0
135286,0,02,5,13,33.0,30,22,U,97,0.5,4,0.2,17,15.0,0,F,1,24492,15.0
57031,0,49,31,83,7.0,21,1,R,76,0.273,6,0.238,125,20.0,1,S,22,11790,5.0
99338,1,35,20,51,50.0,42,2,T,87,0.111,6,0.15,65,10.0,1,S,12,25507,5.0
14555,0,21,23,97,62.0,34,0,S,56,0.182,7,0.136,65,10.0,1,S,20,13296,5.0
62689,0,51,33,76,49.0,28,4,R,82,0.2,6,0.143,137,15.0,1,S,17,10205,5.0
52960,0,36,23,60,,22,2,T,79,0.0,5,0.118,101,15.0,3,A,12,11257,5.0
9390,1,10,33,112,57.0,0,18,U,62,0.0,7,0.0,137,5.0,13,A,32,7863,0.0
191643,0,27,31,84,74.0,33,240,C,87,0.2,6,0.238,125,10.0,1,S,35,17055,10.0
170411,0,36,24,60,75.0,34,0,T,64,0.0,4,0.056,113,15.0,0,A,8,11088,5.0
116597,0,49,17,47,45.0,29,0,R,75,0.444,6,0.3,65,15.0,0,A,10,11309,5.0
19920,0,27,17,37,42.0,43,0,C,80,0.182,6,0.25,41,20.0,1,S,8,10828,11.0
94757,1,16,23,55,51.0,10,0,S,82,0.273,6,0.2,65,10.0,1,S,12,15287,5.0
182286,1,25,5,12,57.0,23,0,C,38,0.5,4,0.2,17,15.0,0,F,1,12872,15.0
154176,0,27,11,29,70.0,37,17,C,76,0.2,5,0.133,41,20.0,0,A,3,16037,5.0
17931,0,34,27,62,57.0,43,0,T,68,0.111,4,0.1,125,10.0,10,A,15,18539,3.0
63106,0,44,27,57,45.0,24,13,R,91,0.2,5,0.235,125,16.0,4,A,17,16934,3.0
83353,0,40,10,24,47.0,57,3,T,87,0.5,6,0.308,29,15.0,0,A,5,12632,8.0
87184,0,38,31,72,79.0,25,7,T,33,0.222,6,0.1,137,10.0,1,S,14,9892,2.0
150081,0,35,6,14,43.0,48,0,T,88,0.5,5,0.2,17,50.0,0,F,1,16719,50.0
79470,0,36,11,28,31.0,33,17,T,64,0.0,4,0.056,41,15.0,0,A,2,12190,5.0
104401,1,22,25,56,70.0,39,0,C,48,0.25,5,0.167,113,15.0,8,A,14,14689,3.0
5300,0,29,18,61,79.0,18,9,C,42,0.125,5,0.111,77,20.0,0,A,5,12439,10.0
112319,1,23,21,52,65.0,10,0,C,86,0.2,6,0.1,77,20.0,0,A,5,19444,10.0
54552,0,16,12,29,71.0,35,0,S,89,0.25,6,0.167,29,25.0,0,A,3,13239,25.0
142429,0,10,6,14,71.0,11,0,U,41,0.5,5,0.25,17,20.0,0,F,1,7807,20.0
186197,0,04,51,134,68.0,56,3,U,44,0.636,13,0.409,137,10.0,1,S,43,12869,3.0
97000,0,24,9,21,71.0,48,32,C,83,0.167,4,0.154,29,15.0,0,A,2,15653,10.0
2678,0,21,29,71,73.0,37,13,S,75,0.818,10,0.5,89,5.0,1,S,25,11671,3.0
12257,0,41,31,82,81.0,30,3,T,66,0.25,6,0.188,137,10.0,0,A,61,9241,2.0
157310,1,01,8,21,53.0,9,0,U,64,0.4,4,0.167,29,15.0,0,A,2,35752,5.0
153118,0,09,16,41,79.0,13,0,U,12,0.143,2,0.118,77,15.0,0,A,7,12823,5.0
112837,0,47,11,30,63.0,31,0,R,79,0.25,5,0.167,29,15.0,0,A,3,10046,10.0
44657,1,39,19,52,55.0,8,10,T,86,0.714,6,0.538,89,5.0,0,A,15,13351,1.0
1722,1,24,37,103,45.0,82,5,C,83,0.4,10,0.333,125,20.0,0,A,26,20187,5.0
47643,0,50,17,51,,28,0,R,77,0.0,6,0.111,65,20.0,0,A,6,9227,5.0
157657,0,24,19,46,41.0,51,0,C,94,0.4,6,0.211,77,15.0,1,S,8,27910,3.0
82857,1,12,30,68,59.0,18,1,S,66,0.2,6,0.143,137,10.0,0,A,14,15081,5.0
157520,0,13,6,14,50.0,5,0,S,70,0.0,4,0.0,29,20.0,0,F,1,30007,20.0
142967,0,07,26,61,69.0,23,0,U,24,0.4,6,0.3,113,5.0,0,A,14,10893,5.0
95436,0,44,24,64,37.0,38,0,R,90,0.222,6,0.158,137,10.0,0,A,10,19863,3.0
126639,1,49,20,49,27.0,50,0,R,74,0.1,6,0.19,65,10.0,0,A,10,11033,5.0
121202,1,13,19,47,54.0,29,4,S,97,0.273,6,0.15,65,10.0,0,A,8,130295,6.0
42478,0,40,11,31,73.0,41,0,T,84,0.0,4,0.091,65,15.0,0,A,3,11431,10.0
86018,0,25,25,63,87.0,15,17,C,20,0.143,4,0.063,137,15.0,0,A,11,12696,3.0
230,0,40,16,44,71.0,26,0,T,86,0.0,5,0.1,65,20.0,0,A,7,29771,5.0
189564,0,07,19,69,47.0,32,0,U,37,0.091,9,0.136,41,18.0,0,A,10,14103,5.0
114492,0,22,25,67,64.0,7,4,C,44,0.2,6,0.143,101,25.0,0,A,15,17667,10.0
36871,0,29,11,26,68.0,13,0,C,87,0.429,6,0.188,29,10.0,0,A,4,14966,5.0
88353,0,27,19,47,83.0,17,9,C,76,0.429,5,0.2,89,9.0,1,S,11,13111,3.0
67721,0,10,9,22,45.0,23,0,U,30,0.333,4,0.154,29,20.0,0,A,2,6074,10.0
57233,0,51,28,70,75.0,16,0,R,76,0.125,5,0.118,113,20.0,11,A,17,8096,3.0
175833,0,11,30,66,84.0,20,2,S,37,0.111,5,0.1,137,19.0,0,A,8,16219,10.0
88825,0,23,16,38,86.0,22,0,C,86,0.125,5,0.133,53,15.0,0,A,5,33524,10.0
80995,1,53,22,54,72.0,23,0,R,81,0.182,6,0.238,65,10.0,1,S,14,8356,3.0
92832,0,10,19,49,54.0,14,0,U,56,0.25,6,0.111,65,17.0,1,S,10,9125,5.0
20773,1,47,22,53,,33,0,R,56,0.636,6,0.421,65,5.0,1,S,22,8676,3.0
103301,0,38,16,37,60.0,44,0,T,58,0.3,6,0.158,53,20.0,0,A,5,11512,10.0
63195,0,43,9,24,,28,0,R,76,0.167,4,0.143,29,15.0,0,A,2,11262,3.0
122867,0,39,7,21,55.0,44,0,T,60,0.0,4,0.083,29,20.0,0,A,2,9828,5.0
180502,0,38,24,67,40.0,45,3,T,42,0.455,6,0.333,89,7.0,1,S,18,11969,5.0
135498,0,02,9,24,25.0,37,0,U,79,0.286,3,0.133,41,16.0,0,A,2,17530,10.0
178264,0,15,13,34,29.0,36,0,S,26,0.143,6,0.167,41,10.0,0,A,5,33971,5.0
113309,0,12,34,75,80.0,33,1,S,80,0.364,6,0.389,137,3.0,1,S,29,17285,2.0
53609,0,32,10,25,39.0,12,0,C,34,0.286,4,0.118,29,20.0,0,A,2,6250,10.0
57866,0,08,10,23,,18,0,U,22,0.167,5,0.154,29,30.0,0,A,2,8247,25.0
177626,0,46,21,51,,35,0,R,78,0.0,6,0.118,89,19.0,0,A,5,10804,15.0
45855,0,16,29,71,73.0,29,15,S,87,0.125,5,0.111,125,10.0,11,A,18,7119,3.0
19623,1,34,21,52,35.0,34,0,T,81,0.455,6,0.227,65,10.0,1,S,15,17806,2.0
17254,0,38,16,41,69.0,48,0,T,61,0.222,6,0.25,53,10.0,0,A,7,13305,5.0
177861,0,42,28,65,,30,0,R,65,0.091,6,0.182,113,11.0,0,A,11,10919,5.0
58130,1,51,27,65,,26,0,R,81,0.444,4,0.357,113,15.0,1,S,27,7466,2.0
112025,0,51,5,15,,34,0,R,78,0.0,4,0.2,17,15.0,0,F,1,7759,15.0
35417,0,22,29,73,,27,0,C,74,0.364,6,0.3,101,5.0,1,S,27,22052,3.0
67906,0,10,15,36,55.0,0,0,U,33,0.1,6,0.095,41,16.0,0,A,5,7276,5.0
83616,0,09,12,28,85.0,41,1,U,53,0.0,4,0.063,41,20.0,0,A,2,9972,15.0
58084,0,43,18,47,51.0,26,0,R,67,0.125,4,0.118,89,15.0,0,A,6,9378,3.0
188466,0, .,19,39,,0,0,?,78,0.6,7,0.5,89,3.0,1,S,21,28597,3.0
97263,0,36,26,70,87.0,24,0,T,58,0.143,4,0.133,137,8.0,1,S,22,9845,3.0
35650,0,35,6,16,73.0,47,0,T,91,0.25,3,0.1,29,15.0,0,N,1,30878,15.0
145809,0,20,23,54,45.0,22,10,S,66,0.091,6,0.091,77,25.0,7,A,15,18123,3.0
140429,1,41,25,64,,0,0,T,0,0.091,6,0.143,77,6.0,1,S,18,0,6.0
134032,1,49,30,73,,32,0,R,78,0.364,6,0.2,113,20.0,3,A,14,9906,10.0
47055,0,36,5,12,34.0,28,1,T,75,0.5,4,0.2,17,15.0,0,F,1,12585,15.0
167763,1,13,25,64,47.0,11,3,S,94,0.2,6,0.143,101,13.0,0,A,11,44347,5.0
89966,0,23,29,68,2.0,25,0,C,78,0.125,5,0.056,137,12.0,11,A,12,18707,5.0
111371,1,40,26,61,,54,21,T,61,0.333,6,0.154,137,12.0,1,S,10,13334,5.0
179751,0,32,20,47,68.0,28,11,C,53,0.1,6,0.105,77,15.0,0,A,7,11130,6.0
9236,0,44,20,81,,28,0,R,93,0.111,5,0.05,113,5.0,0,A,16,14569,3.0
72304,0,40,11,25,53.0,36,0,T,92,0.286,6,0.143,29,25.0,0,A,2,14500,20.0
67397,0,12,18,46,55.0,20,0,S,99,0.0,4,0.063,101,15.0,0,A,4,19288,5.0
47755,0,27,6,15,67.0,21,2,C,51,0.333,4,0.143,17,20.0,0,F,1,14532,20.0
49694,0,34,12,28,47.0,46,0,T,63,0.625,6,0.353,29,6.0,0,A,6,17551,3.0
182003,0,20,26,61,74.0,22,0,S,66,0.0,5,0.063,137,18.0,0,A,8,13992,5.0
121639,0,25,31,73,81.0,15,5,C,34,0.182,6,0.19,137,21.0,0,A,14,13114,5.0
179695,0,05,26,66,60.0,27,0,U,80,0.1,6,0.1,101,15.0,0,A,14,14607,3.0
115052,0,45,28,68,70.0,23,0,R,92,0.0,6,0.1,113,35.0,0,A,8,13239,10.0
36354,0,30,16,43,74.0,45,1,C,77,0.0,6,0.1,65,17.0,0,A,5,10573,5.0
166850,0,42,19,46,37.0,36,0,R,55,0.3,6,0.19,65,10.0,0,A,10,22212,5.0
167202,1,11,10,23,86.0,17,3,S,59,0.333,6,0.214,29,9.0,0,A,3,18195,3.0
83279,1,14,20,48,52.0,41,3,S,93,0.222,6,0.105,65,15.0,0,A,7,28518,3.0
174271,1,01,20,46,,28,0,U,30,0.0,6,0.091,65,18.0,0,A,6,16808,10.0
114145,0,12,30,78,75.0,40,0,S,92,0.0,6,0.1,125,5.0,1,S,27,14530,5.0
180135,0,21,5,13,,39,0,S,58,0.333,3,0.143,17,15.0,0,N,1,12259,15.0
49988,0,39,18,40,41.0,34,0,T,0,0.111,6,0.053,89,10.0,0,A,8,0,5.0
21966,1,46,27,73,,24,0,R,84,0.5,5,0.3,101,6.0,1,S,25,13339,3.0
3985,1,52,33,110,70.0,26,0,R,69,0.091,11,0.091,101,11.0,3,A,26,7978,4.0
52661,0,51,19,55,63.0,37,0,R,76,0.2,6,0.231,101,11.0,0,A,9,8827,5.0
36013,0,32,11,27,53.0,17,0,C,89,0.286,6,0.333,29,12.0,0,A,6,19630,5.0
158396,0,03,29,75,,11,0,U,24,0.125,5,0.118,137,10.0,11,A,18,14815,5.0
160302,1,27,11,26,53.0,63,15,C,85,0.429,6,0.231,29,12.0,0,A,4,15634,10.0
59370,0,44,23,59,55.0,23,0,R,86,0.0,4,0.05,101,15.0,0,A,9,13240,10.0
92024,0,30,9,24,,22,0,C,68,0.167,4,0.133,29,15.0,0,A,2,10250,15.0
14487,0,28,22,73,42.0,16,0,C,80,0.091,6,0.045,77,100.0,0,A,9,15114,5.0
7173,1,11,32,76,67.0,23,25,S,57,0.273,6,0.333,125,26.0,1,S,15,16171,5.0
162676,1,13,7,17,39.0,15,2,S,90,0.25,4,0.1,29,25.0,0,N,1,34909,25.0
31217,0,36,32,69,,17,0,T,67,0.111,6,0.1,137,10.0,3,A,17,14450,4.0
154892,1,31,30,72,59.0,22,0,C,29,0.222,6,0.211,137,10.0,1,S,20,14010,5.0
76613,0,27,6,13,47.0,27,0,C,65,0.5,5,0.25,17,25.0,0,F,1,12351,25.0
139578,0,35,28,69,12.0,38,19,T,94,0.111,6,0.105,137,12.0,0,A,17,29548,4.0
12837,1,18,15,56,43.0,17,0,S,90,0.3,5,0.238,41,5.0,0,A,10,17662,5.0
40212,0,30,5,15,51.0,24,0,C,39,0.0,4,0.167,17,20.0,0,F,1,10701,20.0
79615,0,11,7,18,59.0,23,0,S,3,0.333,5,0.286,29,20.0,0,N,3,20194,5.0
181393,0,51,35,86,76.0,44,0,R,58,0.182,6,0.091,137,25.0,13,A,33,6808,5.0
134159,1,40,4,10,,39,0,T,89,1.0,3,0.5,17,20.0,0,E,1,9139,20.0
171227,1,16,13,33,,44,0,S,72,0.286,6,0.176,41,10.0,0,A,5,13968,5.0
43748,0,28,19,38,,58,0,C,73,0.0,2,0.125,137,25.0,0,E,6,17342,20.0
65339,0,02,29,68,80.0,54,0,U,90,0.1,6,0.143,113,12.0,3,A,14,18087,3.0
163130,0,02,15,37,60.0,12,11,U,82,0.111,6,0.053,41,35.0,0,A,3,16652,10.0
1765,0,26,25,60,,30,33,C,59,0.5,4,0.353,137,10.0,1,S,18,14996,3.0
14155,0,35,33,87,,33,0,T,80,0.1,6,0.05,125,25.0,0,A,12,20550,3.0
175863,0,12,24,61,42.0,29,0,S,48,0.0,6,0.053,89,15.0,0,A,10,11988,10.0
154519,0,53,8,22,63.0,30,0,R,81,0.0,4,0.154,29,15.0,0,A,2,10303,10.0
97838,0,43,11,24,,33,0,R,88,0.429,6,0.214,29,10.0,0,A,3,12906,10.0
81399,0,27,24,63,55.0,31,0,C,59,0.333,6,0.25,125,5.0,0,A,13,10336,2.0
44248,0,29,30,78,80.0,20,5,C,93,0.125,5,0.158,137,10.0,1,S,25,17283,0.06
83709,1,16,19,52,71.0,21,0,S,83,0.375,6,0.235,77,10.0,1,S,11,13525,3.0
77439,1,44,17,43,66.0,31,19,R,81,0.6,4,0.333,113,18.0,1,S,16,12547,5.0
52902,1,24,15,36,,47,1,C,79,0.222,6,0.111,41,10.0,0,A,4,22435,5.0
83036,0,18,12,29,,39,0,S,72,0.125,6,0.059,41,50.0,0,A,2,15731,25.0
115499,0,43,33,78,53.0,35,0,R,76,0.1,6,0.095,137,25.0,13,A,14,8628,5.0
10631,1,31,36,130,,44,0,C,32,0.444,10,0.222,137,10.0,1,S,27,14633,5.0
116131,0,24,5,13,69.0,48,10,C,95,0.5,4,0.2,17,15.0,0,F,1,17303,15.0
