CONTROL_NUMBER,DONATED,CLUSTER_CODE,MOR_HIT_RATE,MEDIAN_HOME_VALUE,PUBLISHED_PHONE,INCOME_GROUP,IN_HOUSE,DONOR_GENDER,LIFETIME_CARD_PROM,SES,DONOR_AGE,LIFETIME_MAX_GIFT_AMT,MONTHS_SINCE_LAST_GIFT,LIFETIME_GIFT_RANGE,PCT_ATTRIBUTE3,FILE_CARD_GIFT,RECENCY_STATUS_96NK,MONTHS_SINCE_FIRST_GIFT,PCT_ATTRIBUTE4
48600,0,50,0,345,0,,0,F,25,3,,20.0,20,10.0,14,5,A,91,31
59743,0,39,0,753,0,3.0,0,F,13,2,49.0,12.0,18,9.0,35,2,A,45,30
116525,0,36,1,521,1,4.0,0,M,11,2,,20.0,19,10.0,29,2,A,29,42
141505,0,11,0,1241,1,5.0,0,M,12,1,,15.0,16,12.0,50,2,A,40,22
61923,0,21,17,361,1,5.0,0,M,18,3,72.0,15.0,21,10.0,14,2,A,68,63
32753,0,28,0,448,1,3.0,0,M,31,2,77.0,10.0,19,5.0,31,9,S,121,42
143110,0,01,2,1628,0,6.0,0,F,10,1,34.0,16.0,22,6.0,42,2,A,32,19
42344,0,30,0,608,0,2.0,0,F,14,3,37.0,16.0,20,11.0,23,1,A,42,43
21710,1,36,0,600,0,5.0,0,M,30,2,,12.0,18,7.0,19,13,A,130,45
143351,1,02,0,2476,0,,0,M,11,1,,10.0,17,5.0,20,3,A,33,49
50360,0,51,0,392,0,5.0,0,F,15,3,,6.0,16,4.0,21,2,A,121,35
81222,0,36,0,493,0,,0,U,10,2,,20.0,23,10.0,15,2,A,35,47
24414,0,22,15,1333,0,4.0,0,U,16,1,74.0,20.0,16,15.0,27,4,A,45,0
37894,0,10,0,511,0,,0,U,29,4,16.0,15.0,26,12.0,11,6,A,122,47
112715,0,36,0,267,0,,0,F,32,2,,20.0,19,18.0,54,15,S,130,28
104237,0,36,0,398,0,,0,M,5,2,,15.0,19,0.0,28,1,F,19,30
81055,0,53,0,341,0,4.0,0,F,29,3,47.0,21.0,24,16.0,27,11,A,111,40
167938,1,08,0,1822,0,2.0,0,F,31,3,34.0,15.0,18,10.0,0,10,A,126,42
38882,0,10,23,530,0,2.0,0,F,24,4,45.0,15.0,26,12.0,15,3,A,111,52
151753,0,20,0,1674,0,,0,F,11,2,38.0,20.0,15,14.0,37,1,A,28,43
100640,1,16,1,764,1,4.0,0,M,22,2,36.0,32.0,15,12.0,36,3,A,65,31
236,0,07,0,1296,1,4.0,0,M,24,2,43.0,15.0,5,10.0,53,6,A,87,10
124227,1,32,0,267,0,7.0,0,U,26,3,,21.0,18,16.0,30,12,S,93,70
33077,0,39,16,662,0,1.0,0,M,20,2,75.0,20.0,26,15.0,34,4,A,111,3
137309,0,27,1,510,0,5.0,0,M,8,2,49.0,25.0,21,0.0,60,1,F,21,24
145633,0,29,25,811,1,4.0,0,M,19,2,82.0,25.0,21,5.0,0,4,A,86,81
45294,0,09,0,752,0,,0,U,32,3,73.0,14.0,21,11.0,29,13,S,129,43
52944,0,24,0,721,0,,0,F,19,1,74.0,20.0,18,17.0,48,2,A,56,23
99878,0,39,0,596,0,5.0,0,F,14,2,65.0,17.0,18,14.0,37,4,S,41,24
128705,0,13,0,946,1,3.0,0,F,9,1,67.0,15.0,18,5.0,32,1,N,26,50
180463,0,27,2,1005,1,5.0,0,F,25,2,44.0,11.0,24,8.0,45,8,S,87,32
97757,0,28,0,683,0,,0,M,33,2,,25.0,19,15.0,23,12,A,126,40
50239,0,27,4,856,1,4.0,0,M,28,2,,15.0,21,10.0,45,13,A,130,14
173892,0,12,6,1381,1,5.0,0,F,33,1,,25.0,17,22.0,45,16,A,118,12
104882,0,17,11,768,1,2.0,0,M,9,2,,15.0,18,5.0,68,2,N,24,10
163668,0,06,0,2139,0,5.0,0,M,18,2,53.0,27.0,24,17.0,17,1,A,53,33
90013,0,13,0,1793,1,7.0,0,F,10,1,57.0,50.0,16,0.0,6,2,N,25,60
151904,1,28,0,1088,0,5.0,0,M,19,2,81.0,15.0,21,10.0,18,5,A,69,69
65080,0,18,10,810,1,5.0,0,F,32,2,84.0,17.0,15,12.0,53,11,A,122,0
139772,0,39,0,676,0,,0,U,25,2,,35.0,18,30.0,57,4,A,78,26
186016,1,43,0,403,1,1.0,1,M,35,2,,13.0,4,8.0,41,10,S,130,32
48547,0,44,0,823,1,,0,F,12,2,,15.0,20,10.0,50,3,A,56,43
5180,1,16,0,469,0,2.0,1,F,30,2,78.0,16.0,5,13.0,33,11,S,110,23
34800,1,28,0,756,1,,0,F,18,2,69.0,20.0,24,10.0,27,5,A,86,54
191671,0,44,240,530,1,4.0,1,F,26,2,68.0,20.0,18,15.0,21,7,A,129,33
49707,0,34,6,821,1,5.0,0,F,29,1,79.0,20.0,20,15.0,26,10,A,111,54
105180,1,35,0,586,0,6.0,0,F,29,1,59.0,15.0,22,10.0,68,12,A,114,32
6099,1,36,5,1733,1,4.0,1,M,29,2,42.0,25.0,6,22.0,27,10,S,78,42
101674,1,40,0,1125,0,4.0,0,M,25,2,47.0,15.0,18,12.0,16,5,A,57,16
14304,0,14,7,1379,1,6.0,1,M,16,1,51.0,20.0,5,10.0,38,4,A,55,23
190387,1,35,0,1989,1,,0,F,8,1,,25.0,19,20.0,33,2,E,43,11
112483,0,30,8,325,1,3.0,0,F,30,3,47.0,20.0,24,15.0,0,17,A,124,0
39427,0,33,1,1910,1,3.0,0,F,20,3,,9.0,16,6.0,0,8,A,76,0
122138,0,24,9,1217,1,5.0,0,F,11,1,42.0,25.0,23,0.0,5,2,A,28,23
169023,0,16,1,1113,0,4.0,0,M,15,2,65.0,50.0,19,45.0,47,0,A,42,41
101058,1,35,0,1123,0,6.0,0,F,25,1,57.0,10.0,17,5.0,36,8,S,92,20
157036,0,01,1,4083,0,4.0,0,F,21,1,70.0,20.0,15,15.0,40,11,S,129,32
19623,1,34,0,1070,1,,0,F,21,1,35.0,10.0,18,8.0,34,10,S,62,27
85462,0,48,0,524,0,,0,F,6,2,,15.0,24,0.0,21,1,N,24,49
92183,1,22,25,1240,1,3.0,0,F,20,1,86.0,7.0,15,4.0,35,9,A,57,37
168546,0,20,0,1094,1,5.0,0,F,23,2,40.0,15.0,16,10.0,26,5,A,105,14
46805,0,46,0,783,1,4.0,0,M,22,2,39.0,19.0,23,14.0,24,2,A,84,43
32616,0,45,0,533,0,,0,F,6,2,,20.0,21,0.0,23,1,F,21,52
171612,1,12,14,1537,0,6.0,0,F,17,1,59.0,15.0,16,9.0,47,4,A,54,14
15088,0,49,0,595,1,6.0,0,M,33,2,65.0,25.0,19,15.0,36,2,A,106,30
69084,0,13,1,2074,1,7.0,0,F,16,1,80.0,32.0,26,7.0,36,2,A,45,44
44433,1,28,19,606,1,4.0,0,M,18,2,74.0,15.0,17,10.0,12,2,A,64,66
182762,0,36,0,712,1,5.0,0,F,7,2,,20.0,15,0.0,44,2,N,21,27
96004,0,36,0,425,1,1.0,0,F,18,2,69.0,20.0,21,15.0,22,3,A,53,63
59167,0,33,0,471,0,,0,U,5,3,,15.0,16,0.0,6,0,F,16,47
89210,1,18,0,493,0,,0,U,30,2,59.0,60.0,18,45.0,13,8,S,124,46
57019,0,51,0,405,1,2.0,0,M,10,3,57.0,25.0,21,15.0,42,1,A,32,25
166837,0,20,0,2921,0,5.0,0,F,24,2,47.0,15.0,24,10.0,32,8,S,81,30
75416,0,37,4,381,1,2.0,0,M,30,2,76.0,10.0,16,7.0,28,8,A,122,50
144099,1,01,0,5000,0,7.0,0,F,13,1,39.0,25.0,16,15.0,10,2,A,33,48
14504,0,40,7,555,1,5.0,1,M,33,2,58.0,20.0,23,18.0,22,15,A,128,42
155329,0,35,0,983,1,,0,M,31,1,57.0,11.0,26,8.0,38,14,A,130,34
148213,1,12,33,2776,0,4.0,0,M,7,1,68.0,15.0,15,5.0,44,2,N,21,12
142728,0,07,0,2685,0,,0,M,5,2,,20.0,21,0.0,34,1,N,21,41
190462,0,01,0,2135,0,,0,F,17,1,61.0,15.0,17,12.0,21,11,E,102,20
191129,0,18,0,866,1,,0,M,18,2,,15.0,17,10.0,39,9,E,110,19
125239,0,10,15,458,1,4.0,0,F,33,4,69.0,11.0,17,8.0,33,18,S,129,40
179309,1,40,0,1278,0,,0,F,13,2,59.0,19.0,21,9.0,43,2,A,64,10
186185,1,13,10,985,1,4.0,1,M,18,1,77.0,15.0,4,10.0,38,2,A,57,49
113536,0,18,0,696,0,5.0,0,F,16,2,45.0,20.0,23,15.0,48,5,A,44,17
21720,0,37,0,2238,0,5.0,0,M,10,2,37.0,15.0,25,5.0,29,1,A,44,48
191516,0,34,0,2145,0,5.0,1,M,9,1,67.0,7.0,18,2.0,37,2,N,24,21
175205,0,39,0,668,1,,0,U,13,2,49.0,7.0,15,4.0,38,5,A,32,21
176379,1,25,0,829,1,4.0,0,M,5,2,77.0,20.0,21,0.0,20,1,N,21,30
54248,0,36,6,585,0,3.0,0,F,40,2,73.0,5.0,17,4.0,20,21,S,127,53
140808,1,12,0,1181,0,,0,F,21,1,,25.0,26,15.0,42,6,A,89,26
51293,0,51,0,414,0,,0,U,21,3,49.0,20.0,26,15.0,34,2,A,89,36
82040,1,45,0,493,0,4.0,0,M,32,2,73.0,9.0,18,8.0,22,26,S,128,46
138724,0,44,0,568,0,,0,M,24,2,42.0,20.0,26,15.0,47,3,A,130,10
123895,0,27,15,488,1,5.0,0,M,20,2,60.0,20.0,17,15.0,26,4,A,57,38
92315,0,13,0,1720,0,,0,M,21,1,46.0,25.0,17,0.0,16,3,A,65,20
163779,0,11,12,2268,0,4.0,0,M,33,1,68.0,20.0,18,17.0,18,12,S,116,48
190534,1,08,4,1922,0,5.0,1,F,25,3,47.0,10.0,17,7.0,26,12,S,79,35
121928,0,14,0,1902,0,,0,F,15,1,,35.0,25,10.0,49,2,A,39,26
67030,1,21,0,388,0,,0,M,10,3,,50.0,26,25.0,47,1,A,28,0
152497,0,18,1,1772,1,7.0,0,M,18,2,63.0,20.0,25,15.0,52,1,A,75,24
35456,0,30,7,616,1,4.0,0,F,22,3,63.0,11.0,23,8.0,58,5,A,68,16
66455,0,44,11,782,1,5.0,0,M,14,2,53.0,20.0,25,10.0,39,1,A,41,34
175575,0,21,0,528,0,,0,M,10,3,,15.0,16,10.0,20,2,A,31,51
63518,0,43,2,345,1,3.0,0,M,31,2,,10.0,17,7.0,31,17,S,129,27
102011,1,43,0,576,1,4.0,0,F,26,2,43.0,28.0,15,18.0,22,6,L,93,34
9877,0,08,9,1822,1,2.0,0,M,29,3,68.0,15.0,11,15.0,0,9,S,116,42
157310,1,01,0,2263,0,5.0,0,F,8,1,53.0,15.0,15,10.0,9,2,A,29,44
141910,0,49,0,665,0,7.0,0,F,6,2,67.0,33.0,17,0.0,26,1,F,17,36
67047,0,21,11,413,1,3.0,0,F,19,3,55.0,10.0,18,5.0,36,5,A,57,34
12973,0,11,0,2913,1,,1,M,25,1,,15.0,11,10.0,38,9,A,105,8
122814,0,24,1,894,0,5.0,0,U,22,1,65.0,40.0,15,30.0,45,9,E,96,9
140876,0,38,0,1503,0,2.0,0,M,31,2,52.0,25.0,16,19.0,30,9,A,112,28
86420,1,40,16,734,0,3.0,0,F,29,2,54.0,10.0,15,9.0,49,11,S,118,19
86787,0,41,1,285,1,4.0,0,M,32,3,,90.0,18,75.0,21,12,S,129,49
190408,1,28,0,713,0,,0,U,17,2,66.0,12.0,19,9.0,17,6,E,110,66
21339,0,49,0,489,0,6.0,0,M,9,2,53.0,10.0,15,5.0,24,2,A,29,33
117115,0,03,16,636,1,5.0,0,F,33,1,,50.0,22,49.0,0,17,A,130,58
47755,0,27,2,614,1,1.0,0,M,6,2,67.0,20.0,21,0.0,21,1,F,21,33
111081,1,29,0,707,1,5.0,0,F,9,2,69.0,10.0,15,5.0,17,3,A,28,45
42424,0,48,0,583,1,2.0,0,M,9,2,17.0,15.0,20,5.0,16,2,N,24,79
68147,0,10,0,231,0,2.0,0,F,10,4,69.0,25.0,18,15.0,47,0,A,31,0
155831,0,37,1,1234,0,2.0,0,F,24,2,70.0,15.0,17,10.0,20,8,A,92,63
157058,0,14,0,5939,1,6.0,0,F,16,1,51.0,10.0,18,5.0,38,3,A,44,29
128041,0,45,0,401,1,7.0,0,F,17,2,71.0,25.0,26,15.0,22,1,A,90,48
88399,0,35,0,1015,0,2.0,0,M,15,1,33.0,10.0,16,5.0,37,4,A,44,41
73381,0,41,5,351,1,1.0,0,F,8,3,64.0,15.0,16,10.0,30,2,N,23,20
182803,0,40,14,783,1,4.0,0,M,34,2,40.0,15.0,18,14.0,16,17,S,126,20
20094,0,49,2,675,0,2.0,0,M,13,2,28.0,36.0,24,26.0,31,3,A,33,25
157536,1,25,13,3009,1,3.0,0,F,10,2,78.0,15.0,15,5.0,10,2,A,51,31
31997,0,38,3,924,0,5.0,0,M,10,2,79.0,15.0,19,12.0,32,2,N,23,39
38245,1,07,13,718,0,4.0,0,M,14,2,67.0,20.0,16,15.0,19,1,A,65,19
48134,0,24,0,968,1,7.0,0,M,15,1,42.0,18.0,18,8.0,31,3,A,44,36
47492,0,14,2,1899,1,7.0,0,F,11,1,45.0,25.0,21,10.0,36,2,A,29,18
119693,0,40,0,541,1,5.0,0,F,15,2,29.0,17.0,22,12.0,28,2,A,45,38
189200,0,29,0,1038,1,,0,F,7,2,,20.0,21,10.0,12,2,E,41,68
66987,0,35,0,1389,0,7.0,0,M,7,1,45.0,25.0,20,0.0,43,1,F,20,11
100058,0,10,11,442,0,1.0,0,M,27,4,74.0,20.0,15,10.0,8,5,N,57,53
177995,0,51,0,364,0,5.0,0,F,30,3,54.0,21.0,17,15.0,25,4,A,124,40
117266,0,16,5,638,0,4.0,0,F,21,2,40.0,12.0,18,7.0,38,4,A,89,37
69196,0,31,0,373,0,,0,F,33,3,77.0,18.0,25,13.0,21,9,A,128,27
12281,0,34,2,2134,0,7.0,1,F,14,1,32.0,100.0,7,97.0,63,3,A,40,12
4885,0,16,10,488,1,5.0,1,M,25,2,60.0,36.0,17,31.0,20,8,S,75,53
69537,1,49,6,545,1,5.0,0,F,12,2,69.0,10.0,16,6.0,46,2,A,31,20
80533,0,40,15,592,1,5.0,0,F,27,2,53.0,20.0,23,15.0,51,5,A,113,12
6669,0,35,2,3040,1,7.0,1,F,32,1,65.0,50.0,19,45.0,69,12,A,124,5
95096,0,40,0,692,0,7.0,0,F,24,2,58.0,15.0,25,10.0,42,6,A,88,23
154745,1,40,0,996,0,7.0,0,M,15,2,55.0,20.0,18,15.0,48,3,A,62,28
22782,1,41,0,514,1,1.0,0,M,9,3,,10.0,18,0.0,29,1,N,24,15
175216,1,49,3,695,1,7.0,0,M,5,2,62.0,20.0,17,0.0,37,1,F,17,40
13496,1,01,0,3222,0,5.0,1,F,24,1,69.0,32.0,6,22.0,24,6,S,69,38
31414,0,35,0,681,1,5.0,0,F,30,1,43.0,10.0,15,7.0,36,21,S,113,39
103593,1,53,0,397,0,,0,F,28,3,82.0,15.0,18,12.0,26,8,A,113,41
49712,1,50,0,310,0,,0,M,9,3,,12.0,16,2.0,24,3,N,24,37
96008,1,41,0,300,0,1.0,0,F,32,3,,7.0,16,4.0,21,18,S,118,35
27217,1,47,0,503,0,,0,F,11,2,,30.0,16,20.0,28,2,A,27,40
18607,1,40,0,797,0,4.0,0,M,27,2,37.0,17.0,26,14.0,29,8,A,125,22
109709,0,40,3,647,1,5.0,0,M,26,2,59.0,14.0,15,9.0,41,10,A,130,34
190777,0, .,15,645,1,7.0,1,M,15,?,63.0,20.0,19,15.0,0,3,A,44,0
4128,0,36,0,484,0,,1,F,28,2,71.0,25.0,6,20.0,28,8,A,92,42
187318,1,37,0,550,1,,0,F,5,2,,15.0,20,5.0,36,2,E,24,49
50744,0,22,0,1152,0,,0,M,15,1,,16.0,15,11.0,7,2,A,44,32
137524,0,29,10,934,1,5.0,0,M,27,2,86.0,12.0,17,7.0,2,10,S,111,84
21235,0,46,0,653,0,,0,F,20,2,48.0,25.0,27,20.0,32,1,A,76,39
71536,0,35,0,892,0,,0,F,6,1,,25.0,17,0.0,6,1,F,17,34
64884,0,20,0,922,0,5.0,0,F,19,2,83.0,30.0,17,20.0,13,4,A,77,33
146693,0,33,1,2832,1,1.0,0,M,6,3,,20.0,16,0.0,0,1,F,16,94
1350,0,35,7,901,1,5.0,0,M,27,1,,33.0,18,30.0,55,2,A,65,23
130700,0,24,0,913,0,2.0,0,F,26,1,49.0,25.0,17,23.0,53,16,S,101,35
129185,0,18,0,791,0,4.0,0,F,20,2,38.0,15.0,18,12.0,61,6,S,52,27
51521,0,27,3,567,1,3.0,0,M,17,2,42.0,18.0,18,13.0,20,4,A,45,49
25046,0,49,0,760,0,3.0,0,M,5,2,19.0,20.0,21,0.0,36,1,N,21,15
11654,1,26,0,2953,0,2.0,1,M,18,2,,7.0,15,5.0,16,7,A,80,63
171415,0,27,0,1583,0,6.0,0,F,17,2,39.0,15.0,18,10.0,47,4,A,85,12
58669,0,27,9,482,1,2.0,0,F,28,2,71.0,10.0,17,5.0,56,10,S,128,18
59015,0,39,4,585,1,5.0,0,M,26,2,35.0,10.0,15,5.0,65,6,A,123,24
15264,0,47,6,560,1,5.0,0,F,6,2,,15.0,20,0.0,28,0,F,20,32
52446,0,36,36,899,1,3.0,0,F,14,2,59.0,20.0,23,10.0,33,3,A,41,43
42462,0,43,11,696,0,1.0,0,M,29,2,46.0,13.0,15,8.0,15,11,S,114,47
27580,0,44,0,965,0,2.0,0,M,17,2,59.0,60.0,18,55.0,35,3,S,44,19
93879,0,08,0,800,0,4.0,0,M,11,3,75.0,16.0,18,6.0,0,2,A,28,74
70,0,30,0,361,0,4.0,0,F,36,3,41.0,7.0,17,4.0,45,14,A,91,45
117743,0,53,0,419,0,7.0,0,F,16,3,59.0,20.0,18,19.0,25,4,A,89,46
77751,0,20,0,802,1,1.0,0,U,17,2,84.0,50.0,17,40.0,16,2,A,44,50
173495,0, .,0,0,0,,0,M,12,?,,17.0,20,12.0,0,2,A,45,0
14770,0,34,0,1223,1,7.0,1,F,32,1,83.0,12.0,14,7.0,28,11,A,130,32
135406,1,18,1,742,1,5.0,0,M,21,2,56.0,25.0,24,22.0,52,3,A,91,9
118292,0,45,0,504,1,,0,F,12,2,,7.0,15,2.0,23,3,A,33,50
109680,0,49,0,596,1,2.0,0,F,33,2,73.0,11.0,18,10.93,30,17,S,130,28
15668,1,44,3,707,1,4.0,0,M,12,2,56.0,20.0,26,17.0,29,2,A,68,39
159482,0,49,0,795,0,5.0,0,M,20,2,51.0,25.0,15,15.0,34,3,L,64,34
66556,0,10,0,407,0,,0,U,23,4,75.0,15.0,16,10.0,17,11,S,103,26
90483,0,24,1,1668,1,7.0,0,U,22,1,75.0,5.0,20,2.0,39,12,S,77,20
126553,0,24,0,683,0,,0,M,24,1,,11.0,17,8.0,37,7,S,89,28
69736,0,49,0,438,0,,0,F,36,2,,25.0,17,24.0,28,17,S,130,28
93218,1,10,0,302,0,,0,M,11,4,,25.0,16,20.0,0,3,A,33,55
168349,0,19,1,1679,0,4.0,0,M,14,2,34.0,75.0,20,25.0,46,2,A,41,27
170779,0,05,0,1171,0,4.0,0,F,19,2,72.0,15.0,19,10.0,26,1,A,78,23
82206,0, .,0,675,0,4.0,0,M,9,?,,15.0,18,10.0,0,2,N,24,0
100077,0,10,0,230,0,,0,F,7,4,,25.0,20,0.0,0,1,F,20,20
34111,0,31,0,377,0,,0,M,12,3,,20.0,24,14.0,33,1,A,28,29
181916,0,09,0,1125,0,3.0,0,F,17,3,49.0,10.0,18,5.0,35,1,A,53,36
27439,0,49,0,591,1,5.0,0,M,5,2,,15.0,21,0.0,41,1,F,21,19
84210,0,46,0,1609,1,3.0,0,M,21,2,81.0,16.0,18,11.0,24,2,A,65,35
11618,0,44,0,710,1,6.0,0,M,27,2,46.0,18.0,24,15.0,41,9,S,125,17
56398,0,43,0,457,1,2.0,0,F,14,2,,15.0,18,12.0,28,5,S,37,32
153469,0,05,0,2000,0,,0,M,5,2,,15.0,16,0.0,26,1,F,16,53
124554,0,41,1,212,1,4.0,0,M,32,3,69.0,19.0,24,17.0,31,12,S,112,34
37542,0,10,0,503,0,,0,M,17,4,37.0,20.0,19,15.0,0,2,A,44,59
118263,0,44,0,640,1,6.0,0,M,18,2,30.0,16.0,17,13.5,39,5,S,55,41
55482,0,41,9,358,1,4.0,0,F,17,3,60.0,15.0,18,13.75,16,5,S,125,49
136310,0,46,0,617,1,,0,M,14,2,,6.0,16,4.0,41,5,A,41,17
94366,0,08,0,578,0,5.0,0,F,22,3,63.0,33.0,18,23.0,17,4,A,62,0
72745,0,36,0,615,0,,0,F,10,2,,10.0,18,4.0,35,3,A,28,23
62270,0,32,0,233,0,5.0,0,F,9,3,71.0,15.0,26,5.0,20,0,A,30,14
125147,0,23,0,1174,0,,0,U,18,1,,10.0,17,7.0,37,8,A,89,58
10317,0,03,0,2759,0,5.0,1,M,29,1,,15.0,15,13.0,33,10,S,104,21
128796,0,12,0,657,0,,0,F,4,1,,15.0,20,0.0,50,0,F,20,11
7722,0,45,0,573,0,7.0,1,F,33,2,,25.0,18,20.0,26,12,S,106,44
150844,0,12,4,2670,1,5.0,0,F,17,1,53.0,15.0,20,5.0,45,5,A,44,16
137537,0,23,2,1390,1,1.0,0,F,28,1,71.0,12.0,17,7.0,3,9,S,115,82
90371,1,11,11,1633,1,7.0,0,M,20,1,49.0,15.0,16,10.0,26,2,A,96,8
43152,0,29,1,824,1,4.0,0,M,5,2,68.0,15.0,21,0.0,11,1,F,21,68
83873,1,11,0,920,1,,0,M,8,1,,20.0,19,15.0,29,2,A,28,21
12955,0,29,0,880,1,,1,M,23,2,70.0,12.0,17,9.0,15,7,S,86,48
128706,0,15,0,580,1,5.0,0,F,12,1,,9.0,18,4.0,20,5,A,32,12
146283,0,08,5,2365,0,4.0,0,M,5,3,67.0,15.0,16,0.0,3,1,F,16,34
75790,0,45,0,178,1,1.0,0,M,31,2,,10.0,19,7.0,30,10,S,112,33
75904,0,45,2,396,1,3.0,0,F,32,2,66.0,20.0,19,15.0,26,15,S,131,48
155975,0,24,0,2232,0,7.0,0,F,13,1,49.0,25.0,17,20.0,54,1,A,51,16
23430,0,22,0,2933,1,1.0,0,F,18,1,75.0,30.0,25,25.0,28,1,A,51,41
82457,1,09,2,687,1,2.0,0,F,28,3,44.0,7.0,17,5.75,26,16,S,127,21
5699,0,40,5,648,0,4.0,1,F,31,2,78.0,5.0,5,4.0,26,19,S,120,22
183189,0, .,0,942,1,,0,F,18,?,78.0,15.0,21,12.0,0,4,A,65,0
114141,0,18,3,707,0,6.0,0,F,19,2,43.0,15.0,24,10.0,55,3,A,53,5
23645,0,40,3,525,1,4.0,0,F,7,2,73.0,20.0,21,0.0,39,1,F,21,19
112712,0,36,0,414,1,,0,M,20,2,69.0,11.0,18,8.0,34,4,S,77,47
7798,0,45,2,454,0,3.0,1,F,35,2,74.0,11.0,4,9.0,20,6,A,116,36
189706,1,28,0,1145,0,,0,F,7,2,,20.0,19,10.0,33,3,E,41,67
100127,0,16,0,515,0,6.0,0,F,23,2,54.0,15.0,19,12.0,32,5,A,76,47
75544,0,53,0,293,0,5.0,0,U,11,3,,10.0,21,7.0,26,3,A,32,39
26587,0, .,0,744,0,,0,F,6,?,,20.0,16,0.0,0,0,F,16,0
190348,0,23,0,5048,0,,0,F,16,1,,20.0,17,17.0,23,13,E,93,53
157198,0,23,0,869,0,,0,M,29,1,,20.0,15,10.0,0,7,A,126,93
113830,0,45,0,257,0,,0,U,16,2,,15.0,23,5.0,28,4,A,65,40
78964,0,20,2,537,1,5.0,0,F,10,2,65.0,27.0,17,2.0,18,0,A,30,35
69266,0,35,23,1144,0,5.0,0,M,15,1,,25.0,17,20.0,23,2,A,81,21
55308,0,13,13,792,1,7.0,0,F,29,1,73.0,12.0,23,9.0,11,8,A,112,56
42913,1,28,2,950,1,5.0,0,M,19,2,51.0,15.0,16,12.0,38,5,A,56,42
65406,0,05,2,712,0,4.0,0,F,28,2,67.0,7.0,19,4.0,35,12,S,105,34
112101,0,51,1,410,0,1.0,0,F,12,3,,15.0,24,12.0,25,1,A,88,38
153185,0,29,2,1470,1,2.0,0,M,25,2,86.0,14.0,21,11.0,29,5,A,105,48
155567,0,19,0,1391,0,,0,U,24,2,56.0,25.0,18,20.0,47,6,S,62,20
78253,0,10,10,256,1,2.0,0,U,21,4,71.0,10.0,15,7.0,0,5,S,75,30
158275,0,11,0,2339,1,,0,U,15,1,,20.0,18,10.0,68,0,A,56,0
190377,1, .,0,720,0,,0,F,19,?,,27.0,16,22.0,0,9,E,106,0
101303,0,51,0,274,0,3.0,0,M,35,3,73.0,15.0,17,10.0,23,15,A,127,41
6047,0,02,5,3490,0,7.0,1,M,33,1,85.0,15.0,19,12.0,21,15,S,124,46
58525,0,43,0,390,1,4.0,0,F,25,2,54.0,50.0,19,45.0,39,5,A,77,46
71959,0,44,6,556,1,5.0,0,M,16,2,59.0,20.0,18,5.0,26,2,A,44,28
143008,0,03,4,4453,0,2.0,0,F,20,1,75.0,15.0,18,10.0,23,2,A,74,47
185482,0,28,0,1674,0,,1,F,26,2,,25.0,7,20.0,18,6,A,78,41
154315,0,46,0,768,0,5.0,0,F,17,2,52.0,17.0,19,12.0,37,2,A,56,32
45201,1,04,0,817,1,,0,M,7,2,,11.0,15,6.0,5,1,N,23,67
77862,0,16,8,865,1,2.0,0,M,24,2,69.0,20.0,15,15.0,16,7,S,78,44
186109,1,40,0,590,1,3.0,1,F,31,2,84.0,10.0,6,7.0,32,13,S,112,21
3885,0,41,4,224,1,2.0,1,F,34,3,87.0,39.0,17,34.0,32,15,S,113,33
27590,0,41,16,429,1,2.0,0,M,27,3,,28.0,18,23.0,69,5,A,106,31
36450,0,10,0,694,0,1.0,0,M,22,4,59.0,20.0,20,15.0,28,11,A,63,45
52661,0,51,0,429,0,5.0,0,M,19,3,63.0,11.0,16,6.0,37,5,A,94,23
183587,0,25,0,787,0,1.0,0,F,14,2,,13.0,22,8.0,38,4,A,40,31
99602,1,20,0,649,1,,0,F,27,2,70.0,15.0,24,13.0,31,9,A,130,33
11641,1,13,0,2775,0,,1,F,21,1,,12.0,21,10.0,36,6,S,57,43
125325,1,12,2,852,1,5.0,0,M,31,1,80.0,22.0,15,19.0,64,14,S,113,24
101743,0,45,0,433,1,1.0,0,M,11,2,32.0,15.0,24,0.0,28,1,A,44,28
178772,0,11,0,2766,0,,0,M,10,1,,20.0,15,10.0,0,1,A,30,41
107710,0,40,9,559,1,5.0,0,M,18,2,73.0,9.0,19,6.0,5,7,A,68,53
22817,1,50,3,451,1,4.0,0,F,18,3,47.0,20.0,15,10.0,19,3,A,57,34
113064,0,28,0,640,0,6.0,0,F,24,2,,16.0,17,13.0,28,9,A,105,73
87246,0,35,3,726,1,5.0,0,F,24,1,49.0,20.0,21,16.0,14,11,A,81,50
155898,0,28,0,811,0,,0,F,14,2,,15.0,24,10.0,15,2,A,39,59
190198,0,33,0,1900,1,,0,F,9,3,,25.0,23,10.0,19,4,E,53,50
185437,0,21,0,568,1,,0,F,6,3,,15.0,4,10.0,0,1,N,24,75
148174,0,13,0,5372,0,6.0,0,F,15,1,41.0,50.0,24,0.0,17,2,A,45,48
118102,0,53,0,347,0,2.0,0,F,11,3,77.0,35.0,22,15.0,26,1,A,28,45
174693,0,16,1,699,1,3.0,0,M,10,2,,20.0,19,0.0,39,1,A,33,26
121264,0,21,0,333,0,,0,M,19,3,41.0,30.0,20,25.0,13,8,S,52,41
55630,0,43,0,382,1,,0,F,8,2,,20.0,18,10.0,33,1,N,20,34
