CONTROL_NUMBER,DONATED,CLUSTER_CODE,PER_CAPITA_INCOME,RECENT_CARD_RESPONSE_COUNT,HOME_OWNER,RECENCY_STATUS_96NK,PCT_ATTRIBUTE1,RECENT_RESPONSE_PROP,DONOR_AGE,RECENT_STAR_STATUS,LIFETIME_PROM,PEP_STAR,MONTHS_SINCE_LAST_PROM_RESP,FILE_AVG_GIFT,INCOME_GROUP,PCT_ATTRIBUTE4,NUMBER_PROM_12,MOR_HIT_RATE,RECENT_RESPONSE_COUNT
172128,0,08,12112,3,H,A,1,0.211,57.0,3,64,1,15.0,6.83,4.0,28,11,0,4
182356,1,30,11395,4,H,A,2,0.333,59.0,0,28,1,18.0,11.29,3.0,24,13,22,5
130554,1,18,12667,1,H,S,0,0.214,43.0,1,65,1,18.0,12.7,4.0,20,8,12,3
28892,0,36,10932,0,H,A,0,0.053,73.0,0,49,0,26.0,17.2,5.0,41,10,12,1
83397,0,20,13660,1,H,A,0,0.133,45.0,0,59,0,15.0,6.85,4.0,26,13,12,2
155553,1,27,15377,2,H,S,0,0.182,15.0,1,71,1,18.0,6.04,2.0,57,15,3,4
50684,1,45,11278,3,U,S,0,0.167,,1,60,1,18.0,4.43,,37,11,0,3
64124,0,25,14446,2,U,A,3,0.095,70.0,0,45,0,23.0,15.4,,30,12,0,2
135859,0,03,16382,0,H,A,0,0.053,54.0,0,67,0,23.0,13.5,4.0,7,12,0,1
64444,0,44,13030,0,H,A,0,0.083,57.0,0,21,0,18.0,12.5,5.0,18,11,0,1
185405,0,41,8829,3,H,A,0,0.19,53.0,0,74,1,17.0,9.73,5.0,32,26,0,4
164961,0,12,21680,3,H,A,2,0.286,77.0,0,25,1,16.0,15.5,7.0,14,14,0,4
76479,0,44,14604,2,U,A,0,0.154,86.0,0,21,0,18.0,15.0,5.0,40,10,6,2
120166,1,53,9765,1,H,A,0,0.105,71.0,4,65,1,24.0,9.21,2.0,50,10,0,2
34597,0,12,17584,2,H,A,0,0.214,35.0,0,28,0,18.0,11.75,5.0,39,14,4,3
119073,0,46,13166,1,U,A,0,0.067,55.0,0,69,1,21.0,11.92,4.0,45,12,0,1
52236,0,46,12533,2,H,A,0,0.167,51.0,0,36,0,21.0,12.5,5.0,44,13,1,3
33699,0,53,11805,7,U,S,0,0.474,59.0,1,66,1,21.0,3.39,,34,11,0,9
129519,0,20,14750,0,H,A,0,0.063,65.0,0,34,0,22.0,13.33,2.0,22,10,0,1
94021,1,02,16576,0,U,F,0,0.167,58.0,0,15,0,20.0,20.0,2.0,69,10,0,1
5854,0,37,11966,7,U,S,0,0.571,80.0,1,86,1,15.0,6.27,,52,31,0,12
29010,1,45,14170,1,U,F,0,0.2,47.0,0,13,0,16.0,18.0,2.0,34,11,2,1
20182,0,50,8453,2,U,S,1,0.2,51.0,1,51,1,17.0,4.38,5.0,36,13,0,4
146303,0,07,13699,2,U,S,1,0.167,76.0,1,40,1,18.0,7.7,1.0,30,13,0,3
99544,0,36,12193,1,H,S,0,0.158,87.0,1,65,1,15.0,6.93,4.0,33,13,0,3
12597,1,11,28134,2,U,A,0,0.211,,0,76,1,15.0,53.86,,25,30,0,4
150639,0,10,6118,2,H,A,0,0.333,79.0,0,25,1,17.0,11.0,5.0,52,13,8,4
26612,0,38,12959,1,H,F,0,0.2,85.0,0,13,0,17.0,15.0,3.0,42,10,2,1
16102,1,40,14083,1,H,F,0,0.167,41.0,0,14,0,19.0,15.0,5.0,22,10,0,1
4882,0,16,15977,1,H,A,2,0.136,71.0,7,101,1,26.0,14.9,4.0,66,22,0,3
64975,0,36,11311,0,H,F,0,0.143,47.0,0,16,0,20.0,25.0,7.0,20,11,4,1
148832,0,06,14653,0,U,A,0,0.095,,0,55,0,18.0,17.29,,45,13,0,2
140679,0,43,9577,6,U,A,1,0.421,58.0,0,33,1,16.0,5.89,2.0,39,14,8,8
108150,1,12,19518,1,H,A,0,0.111,34.0,0,49,0,18.0,15.2,4.0,22,13,0,2
8639,0,31,15842,0,H,A,0,0.0,73.0,15,83,1,,17.18,4.0,0,36,0,0
12952,0, .,12415,1,U,A,0,0.053,,0,76,1,24.0,6.59,1.0,0,17,0,1
147010,0,06,17789,0,H,A,0,0.077,41.0,0,43,0,26.0,10.8,5.0,10,9,0,1
173108,1,31,13303,0,U,A,0,0.091,,0,49,0,18.0,21.67,5.0,0,13,0,2
2340,0,26,18798,2,U,A,0,0.105,84.0,0,49,0,21.0,14.2,2.0,32,22,0,2
126756,0,37,9756,1,H,A,0,0.176,37.0,0,40,0,20.0,5.57,6.0,39,11,0,3
108176,1,35,21036,5,H,S,0,0.286,41.0,1,79,1,19.0,7.87,7.0,14,13,1,6
148764,0,03,18815,0,H,A,0,0.071,58.0,0,42,0,17.0,18.33,6.0,42,10,0,1
38788,0,23,33849,3,U,A,0,0.167,51.0,0,30,0,21.0,11.33,,56,12,0,3
153995,0,14,46985,2,U,S,0,0.19,,1,80,1,15.0,9.39,,52,14,0,4
79626,0,12,15371,2,H,A,0,0.158,56.0,0,49,0,20.0,9.83,4.0,9,12,8,3
179324,0,14,18365,1,H,F,0,0.2,45.0,0,14,0,17.0,23.0,7.0,10,11,1,1
95938,0,30,13083,1,U,N,0,0.25,,0,20,0,17.0,10.0,,28,14,0,2
169190,0,46,12799,1,U,A,0,0.091,73.0,0,48,0,25.0,24.83,1.0,48,12,0,2
88273,0,34,32084,1,H,N,4,0.083,44.0,0,21,0,24.0,50.0,6.0,19,12,7,1
189711,1,17,20399,2,U,E,0,0.5,,0,14,0,17.0,4.63,,23,4,0,4
116597,0,49,11309,4,H,A,0,0.3,45.0,0,47,1,20.0,12.0,5.0,32,15,0,6
93558,0,08,12626,0,U,A,0,0.083,49.0,0,26,0,18.0,12.5,3.0,22,10,2,1
150829,0,12,22474,0,H,F,0,0.2,55.0,0,13,0,17.0,50.0,6.0,16,11,0,1
109327,0,27,43133,1,H,S,1,0.111,35.0,1,58,1,19.0,7.45,6.0,9,12,0,2
159588,0,52,12236,1,U,A,0,0.111,79.0,0,31,0,17.0,12.33,,37,12,0,2
60133,0,11,22239,1,H,E,0,0.167,73.0,0,20,0,15.0,15.0,4.0,60,9,1,2
154760,0,10,7248,0,U,A,0,0.056,,0,32,0,26.0,9.0,,9,9,0,1
86661,0,39,9176,2,H,A,0,0.263,49.0,0,25,0,18.0,14.4,2.0,0,8,0,5
172839,0,27,11099,1,U,A,2,0.056,74.0,0,44,0,20.0,11.6,,26,12,0,1
60977,0,44,13241,1,U,S,0,0.158,,1,61,1,19.0,7.0,5.0,20,10,1,3
164986,1,14,23169,1,H,A,0,0.267,68.0,0,25,0,18.0,12.5,6.0,22,12,24,4
48487,1,50,8962,0,H,A,1,0.048,51.0,0,68,1,26.0,10.0,3.0,36,12,0,1
113309,0,12,17285,4,U,S,1,0.389,80.0,1,75,1,15.0,5.17,3.0,42,14,1,7
74405,0,48,8694,0,U,A,0,0.071,,0,50,1,18.0,9.17,1.0,48,10,0,1
28124,0,31,8057,1,U,N,0,0.143,47.0,0,17,0,21.0,25.0,5.0,27,10,0,1
90071,0,12,17853,1,H,A,0,0.1,35.0,0,65,0,16.0,8.56,4.0,56,14,2,2
157003,0,03,23717,5,U,A,0,0.273,48.0,0,42,1,15.0,12.09,,17,13,0,6
177068,0,53,10238,0,H,A,0,0.105,53.0,15,75,1,19.0,11.23,6.0,31,12,0,2
48301,0,44,12224,2,H,A,0,0.333,,0,28,0,18.0,7.83,2.0,16,13,10,5
672,0,27,14082,1,U,A,7,0.105,,0,70,0,26.0,12.33,2.0,28,14,0,2
140510,0,36,22654,2,U,N,0,0.2,,0,19,0,15.0,12.5,,51,11,0,2
152156,0,21,11976,1,U,A,8,0.158,55.0,0,56,1,17.0,6.14,2.0,26,12,0,3
170643,0,07,16326,0,U,A,2,0.059,,0,35,0,18.0,10.0,1.0,22,12,0,1
138439,0,24,18288,4,H,A,1,0.3,75.0,4,71,1,26.0,8.92,3.0,58,11,1,6
174735,0,49,12852,0,U,A,0,0.063,38.0,0,42,0,20.0,11.0,5.0,27,10,0,1
64501,0,43,11838,0,U,N,1,0.143,,0,18,0,20.0,10.5,2.0,49,13,4,1
1631,0,07,10789,7,U,A,0,0.55,45.0,0,70,1,15.0,15.3,3.0,47,28,0,11
58576,0,41,10125,4,H,S,7,0.368,51.0,1,51,1,19.0,7.75,2.0,12,12,0,7
135246,0,02,14801,0,U,A,0,0.048,,0,59,0,24.0,16.57,,32,11,0,1
143406,0,06,13571,2,H,A,0,0.231,39.0,0,22,0,18.0,12.0,4.0,45,12,1,3
56787,1,16,15114,1,H,A,0,0.143,32.0,7,62,1,19.0,9.67,4.0,76,13,0,3
93879,0,08,15037,2,H,A,0,0.214,75.0,0,26,0,18.0,12.67,4.0,74,13,0,3
12932,1,26,23312,2,U,E,0,0.444,50.0,0,52,0,18.0,12.23,,40,20,0,4
84116,0,12,23373,2,H,A,0,0.2,75.0,4,78,1,17.0,6.18,3.0,6,12,8,4
114824,0,49,11194,1,U,A,0,0.1,47.0,0,36,0,20.0,9.8,4.0,44,12,0,2
62824,0,51,9468,1,H,F,0,0.2,51.0,0,14,0,16.0,12.0,2.0,47,12,2,1
171215,1,11,15850,2,H,N,1,0.273,50.0,0,22,0,19.0,11.33,5.0,13,13,1,3
189263,0,28,18664,4,U,A,0,0.438,,0,30,0,17.0,5.25,,44,13,0,7
10767,0,15,26724,3,H,A,1,0.2,81.0,3,102,1,21.0,7.73,1.0,25,21,6,4
121165,1,02,20828,0,H,F,0,0.2,31.0,0,13,0,16.0,15.0,7.0,61,11,0,1
13432,0,37,15637,3,U,A,0,0.3,73.0,0,76,0,21.0,7.31,2.0,76,22,0,6
184269,1,27,12932,3,U,A,0,0.176,83.0,0,69,0,17.0,10.0,,41,14,0,3
168956,0,46,13350,0,H,F,0,0.143,79.0,0,14,0,20.0,20.0,7.0,44,10,0,1
180610,0,24,32097,0,U,A,0,0.077,,0,44,0,18.0,6.6,,56,10,0,1
7540,0,13,75627,0,U,A,0,0.048,27.0,0,113,0,27.0,18.29,7.0,30,33,9,1
157198,0,23,28619,1,U,A,0,0.222,,4,72,1,15.0,11.62,,93,13,0,4
151806,1,16,14537,2,U,S,5,0.375,72.0,1,68,1,15.0,4.5,2.0,56,11,0,6
123270,1,31,7881,1,U,A,0,0.111,62.0,0,52,0,18.0,12.83,2.0,7,13,0,2
20188,0,47,9456,3,U,S,0,0.176,,1,63,1,24.0,3.9,2.0,23,11,0,3
171756,0,23,19529,1,H,L,2,0.1,82.0,0,47,0,15.0,16.6,6.0,63,12,1,2
187855,0,51,6225,1,U,E,0,0.25,,1,26,1,23.0,13.38,,13,6,0,2
92474,0,14,21044,0,H,A,0,0.077,39.0,0,34,0,19.0,12.67,7.0,44,10,2,1
153941,0,19,9786,2,H,E,9,0.182,,0,21,0,15.0,15.0,4.0,0,10,1,2
4062,0,14,32784,0,H,A,0,0.056,74.0,0,59,0,20.0,12.0,5.0,58,15,1,1
47270,0,39,11228,0,H,A,1,0.154,57.0,0,24,0,26.0,12.5,4.0,25,10,0,2
9793,0,03,20769,1,U,A,3,0.105,73.0,0,57,0,19.0,21.2,1.0,49,30,2,2
31572,0,28,15943,2,U,A,0,0.19,,0,39,1,23.0,11.5,1.0,0,13,0,4
148391,0,29,15862,1,H,N,0,0.083,76.0,0,16,0,25.0,25.0,1.0,69,7,16,1
157860,1,14,27400,5,U,S,0,0.333,40.0,1,54,1,23.0,4.29,,14,12,0,6
137678,0,48,11624,8,H,S,0,0.579,73.0,1,65,1,19.0,4.36,2.0,41,13,0,11
81293,1,30,9583,3,H,A,4,0.5,27.0,0,35,1,17.0,2.76,2.0,13,7,2,5
147768,0,13,39701,1,H,A,0,0.158,57.0,0,58,0,15.0,8.22,7.0,42,13,0,3
168103,1,08,6474,0,H,A,0,0.1,55.0,0,52,0,17.0,8.0,5.0,14,13,11,2
131087,0,24,16299,1,H,A,0,0.095,75.0,0,43,0,18.0,14.0,6.0,32,12,8,2
62393,0,22,18923,2,U,A,1,0.136,85.0,5,75,1,24.0,11.27,1.0,36,11,0,3
116500,0,16,12637,5,U,S,0,0.35,48.0,1,60,1,23.0,6.57,2.0,46,14,9,7
37542,0,10,6590,1,U,A,0,0.136,37.0,0,39,0,19.0,11.6,,59,13,0,3
150358,0,11,20683,0,H,A,0,0.158,,0,32,0,19.0,14.6,5.0,3,13,0,3
17102,1,39,13235,1,U,S,0,0.227,,1,46,1,25.0,5.69,,28,12,0,5
140297,0, .,7659,3,H,A,0,0.211,28.0,4,67,1,25.0,3.92,5.0,0,10,8,4
82770,0,08,15989,2,H,A,0,0.105,41.0,0,45,0,21.0,11.2,5.0,42,12,0,2
122410,0,41,10083,1,U,A,0,0.125,,0,38,0,23.0,19.0,,18,12,0,2
64581,0,40,13059,1,U,A,0,0.133,7.0,0,25,0,18.0,17.0,5.0,48,13,5,2
4805,0,37,14815,1,H,A,0,0.1,81.0,4,85,1,24.0,8.61,2.0,41,13,22,2
99066,1,50,8204,5,H,S,0,0.5,67.0,1,57,1,15.0,4.43,3.0,43,11,0,8
4732,0,36,11005,2,H,A,0,0.15,84.0,0,95,1,26.0,5.21,2.0,36,24,53,3
9634,0,19,15839,0,H,A,3,0.0,48.0,0,60,0,,22.75,4.0,23,26,1,0
169179,0, .,11743,1,H,A,0,0.143,76.0,0,69,0,2.0,15.71,2.0,0,13,1,3
67066,0,36,9673,1,U,A,0,0.136,67.0,7,67,1,18.0,19.33,,37,13,0,3
147690,0,31,7820,1,U,F,0,0.167,,0,14,0,19.0,15.0,,31,10,0,1
156961,0,12,16529,2,H,A,0,0.294,80.0,0,38,0,18.0,21.0,6.0,11,8,20,5
13014,0,17,15779,2,U,A,16,0.2,,0,45,0,21.0,14.99,,14,27,0,3
17967,0,50,8357,0,H,A,0,0.125,,0,30,0,26.0,10.75,4.0,41,12,0,2
105756,0,11,35636,0,H,A,1,0.095,66.0,0,62,1,19.0,12.38,6.0,47,13,0,2
189009,1,04,16895,4,U,A,1,0.316,,0,35,0,15.0,5.78,4.0,45,14,7,6
146472,0,08,11996,1,H,N,2,0.1,42.0,0,16,0,23.0,20.0,2.0,25,8,1,1
15116,0,43,10814,1,U,F,0,0.2,,0,14,0,17.0,25.0,,34,11,0,1
49692,0,25,10401,1,H,N,0,0.143,53.0,0,13,0,23.0,15.0,5.0,40,8,17,1
132616,0,51,25973,3,U,S,0,0.25,78.0,1,55,1,17.0,8.08,,0,13,0,5
172258,0,07,17689,2,U,S,3,0.308,37.0,1,24,1,15.0,5.88,3.0,10,5,0,4
125009,0,39,11296,1,H,S,7,0.143,64.0,1,64,1,22.0,8.5,5.0,25,12,5,3
164733,0,14,22390,1,U,A,0,0.105,52.0,0,52,0,18.0,8.71,,19,13,0,2
47829,0,42,11932,0,U,A,2,0.091,,3,74,1,18.0,26.82,,19,13,0,2
22168,0,36,13141,1,U,A,0,0.238,56.0,0,57,0,18.0,10.7,1.0,57,13,10,5
82809,0,20,21256,3,H,A,0,0.158,26.0,7,51,1,16.0,9.57,2.0,65,14,17,3
11195,1,25,12204,2,H,S,0,0.263,79.0,1,100,1,18.0,11.8,1.0,14,23,1,5
74689,0,41,8610,1,U,S,1,0.182,7.0,1,78,1,16.0,3.57,1.0,42,13,8,4
128147,0,21,9414,4,H,A,0,0.385,36.0,0,26,1,16.0,8.33,3.0,34,13,8,5
34797,0,28,14603,1,H,A,0,0.095,84.0,6,69,1,19.0,11.25,6.0,76,12,0,2
135017,0,33,12755,1,U,A,0,0.15,87.0,0,56,0,15.0,26.71,1.0,50,13,0,3
100763,0,11,40010,3,H,N,0,0.273,77.0,0,23,1,16.0,11.67,7.0,42,14,1,3
97240,0,41,10258,4,H,S,0,0.333,57.0,1,43,1,19.0,14.64,1.0,52,13,3,7
86193,0,53,10894,7,U,S,0,0.45,31.0,1,45,1,20.0,3.38,2.0,39,12,0,9
54536,0,50,6959,4,U,S,0,0.35,37.0,1,35,1,19.0,9.78,3.0,46,12,0,7
141814,0,21,0,3,U,A,0,0.15,39.0,0,56,0,24.0,15.63,,0,11,0,3
81014,0,48,12847,2,U,S,0,0.318,,1,74,1,17.0,12.18,,38,14,0,7
148532,0,14,48391,1,U,A,0,0.15,48.0,0,30,0,18.0,9.5,,35,12,0,3
117160,0,08,6585,2,U,S,0,0.222,77.0,1,66,1,21.0,10.0,1.0,28,12,0,4
154544,1,36,12177,1,U,A,0,0.143,44.0,7,81,1,17.0,7.94,,37,13,0,3
36842,0,11,17192,1,H,F,0,0.2,78.0,0,14,0,17.0,25.0,3.0,39,11,1,1
42907,0,23,40300,2,U,A,0,0.133,39.0,0,23,0,24.0,10.0,5.0,80,10,0,2
153404,1,05,14795,1,H,A,0,0.143,50.0,0,26,0,23.0,22.5,4.0,43,13,2,2
132907,0,44,16665,0,H,A,0,0.053,65.0,12,74,1,25.0,7.82,3.0,69,11,11,1
44922,0,33,11415,0,H,A,0,0.056,46.0,0,29,0,26.0,16.0,5.0,78,9,4,1
84965,0,41,13247,2,H,N,2,0.333,79.0,0,18,0,17.0,6.67,2.0,28,13,0,2
89767,0,16,17299,1,U,A,0,0.15,77.0,0,58,0,19.0,6.83,,51,13,0,3
65424,0,13,25125,2,H,A,0,0.211,,0,34,0,16.0,10.0,6.0,83,14,13,4
45758,0,20,19104,0,H,A,0,0.095,77.0,0,51,0,26.0,11.78,4.0,39,11,3,2
110450,0,50,7688,0,U,A,0,0.105,66.0,0,48,0,18.0,13.88,,37,5,0,2
123356,0,39,9426,1,H,A,0,0.125,31.0,0,31,0,21.0,12.0,5.0,27,10,2,2
160872,0,24,23910,1,H,F,1,0.2,55.0,0,13,0,16.0,15.0,6.0,18,11,5,1
105392,0,35,24677,1,H,A,0,0.176,85.0,0,54,0,20.0,9.5,4.0,36,12,3,3
101271,0,42,11922,2,U,S,0,0.263,,1,69,1,16.0,3.73,,40,12,0,5
152380,1,40,16375,0,H,S,6,0.136,82.0,1,71,1,19.0,22.2,6.0,40,13,0,3
132459,0,42,13186,2,H,A,0,0.214,41.0,0,24,1,20.0,11.67,1.0,20,12,0,3
106425,0,40,13461,0,H,A,0,0.067,63.0,0,56,0,20.0,13.5,3.0,49,11,0,1
79046,0,12,17608,1,H,A,0,0.154,45.0,0,22,0,24.0,15.0,6.0,58,9,16,2
15270,0,47,11848,3,U,S,0,0.222,57.0,1,65,1,18.0,3.56,7.0,32,11,1,4
152957,0,28,24092,1,H,F,3,0.2,66.0,0,12,0,19.0,15.0,4.0,44,10,4,1
187289,0,18,15293,1,U,E,4,0.333,,0,9,0,21.0,25.0,,14,6,0,1
189848,1,26,18769,5,U,A,0,0.476,79.0,0,83,1,12.0,9.73,1.0,69,27,10,10
72366,1,43,11662,1,H,A,1,0.059,50.0,0,36,0,21.0,10.5,2.0,17,11,0,1
183178,1, .,16037,3,U,A,0,0.238,,0,44,0,16.0,6.0,,0,16,0,5
41796,0,23,28528,5,U,S,0,0.263,67.0,1,69,1,16.0,3.59,1.0,36,14,1,5
149881,1,31,7808,1,U,A,0,0.286,,0,24,0,16.0,8.0,,21,13,0,4
106530,0,49,12833,0,U,A,0,0.053,,11,69,1,18.0,12.0,,34,13,0,1
37528,1,08,10281,1,U,A,0,0.2,,0,43,0,22.0,6.83,,17,12,0,3
107192,0,31,0,3,U,A,0,0.143,,0,46,0,17.0,16.67,,22,13,0,3
74780,0,22,9721,3,U,S,0,0.368,75.0,1,64,1,15.0,3.52,2.0,38,14,0,7
165649,1,05,15379,2,H,A,0,0.111,73.0,0,68,1,21.0,14.78,1.0,56,13,6,2
54967,0,41,0,2,U,A,0,0.105,,0,50,0,16.0,9.17,,0,14,0,2
185504,0,18,11582,1,H,A,0,0.136,77.0,0,70,1,25.0,14.69,5.0,11,25,0,3
104176,0,24,19133,2,U,A,0,0.2,37.0,3,72,1,17.0,8.44,1.0,42,9,7,3
178968,0,14,33204,1,U,A,1,0.227,70.0,0,67,1,19.0,11.52,4.0,34,14,0,5
113812,1,41,0,5,H,S,0,0.467,75.0,1,57,1,17.0,3.37,1.0,0,7,0,7
88136,0,20,16768,4,H,S,0,0.381,71.0,1,38,1,17.0,9.45,2.0,46,13,0,8
52310,0, .,15487,4,H,S,0,0.375,77.0,1,29,1,16.0,7.43,2.0,0,14,0,6
16423,0,26,14469,2,H,A,0,0.105,47.0,0,56,0,15.0,17.67,1.0,28,13,6,2
88434,0,14,26498,1,H,A,0,0.167,47.0,0,35,0,20.0,15.0,6.0,23,13,0,3
134134,0,18,8586,0,H,A,0,0.056,45.0,0,28,0,26.0,12.5,5.0,22,9,1,1
124097,0,32,9743,3,H,A,0,0.2,75.0,0,27,0,17.0,12.33,2.0,45,15,2,3
172883,1,27,13064,1,U,A,0,0.1,55.0,11,77,1,19.0,14.84,,17,12,0,2
153593,0,22,24054,0,U,A,6,0.048,,0,71,0,24.0,22.5,,77,11,0,1
136385,1,23,14783,4,U,A,0,0.353,73.0,0,45,0,16.0,6.75,,83,13,0,6
58145,0,43,9540,3,U,A,0,0.136,61.0,0,41,1,20.0,25.83,,33,13,0,3
175016,1,40,14179,7,U,S,1,0.476,,1,51,1,19.0,8.33,,29,14,0,10
121071,1,01,19298,2,H,S,0,0.095,47.0,1,65,1,18.0,13.6,4.0,37,13,2,2
137888,0,46,9402,3,H,S,0,0.136,70.0,1,61,1,20.0,12.1,5.0,0,15,0,3
96763,1,27,6671,3,H,S,0,0.182,79.0,1,75,1,19.0,10.75,5.0,66,13,0,4
168726,0,30,8358,0,H,A,0,0.095,37.0,0,70,1,17.0,14.0,6.0,31,13,0,2
71347,1,44,13264,5,U,S,1,0.5,46.0,1,34,1,15.0,4.64,,18,13,0,9
22989,1,39,10405,1,H,A,12,0.235,66.0,0,27,0,15.0,11.4,4.0,5,12,0,4
116423,0,14,57103,1,U,A,0,0.167,,5,53,1,26.0,12.6,,17,10,0,3
78253,0,10,5328,0,H,S,0,0.3,71.0,1,53,1,15.0,6.33,2.0,30,13,10,6
101924,0,18,16455,2,U,A,0,0.105,7.0,0,40,0,24.0,13.2,,23,15,0,2
32260,0,33,10909,2,U,A,0,0.2,82.0,3,85,1,26.0,9.15,,80,9,0,4
96437,0,40,11339,3,U,A,0,0.273,75.0,8,105,1,20.0,5.3,1.0,83,19,0,6
67878,0,10,8863,0,H,A,0,0.095,45.0,0,48,0,18.0,25.6,5.0,68,13,0,2
170779,0,05,14650,0,H,A,0,0.111,72.0,0,50,0,19.0,9.33,4.0,23,11,0,2
109292,0,24,21219,1,H,S,0,0.222,77.0,1,61,1,16.0,7.27,5.0,48,14,2,4
165049,0,22,35491,2,H,A,1,0.136,50.0,0,45,0,19.0,22.83,6.0,12,13,16,3
17267,0,50,8372,1,H,A,0,0.118,86.0,0,55,0,21.0,5.91,7.0,61,12,36,2
175139,1,39,11659,0,U,A,1,0.056,68.0,0,49,1,18.0,10.0,,29,12,0,1
39563,0,11,22417,0,H,S,0,0.105,49.0,1,50,1,15.0,9.5,5.0,32,13,1,2
42229,0,50,9266,3,U,S,1,0.211,,1,63,1,17.0,10.24,,46,13,0,4
94459,0,02,23164,2,H,S,0,0.143,64.0,1,55,1,21.0,10.11,4.0,29,13,2,3
116063,1,27,10577,2,H,A,0,0.111,67.0,0,41,0,19.0,10.0,2.0,35,13,12,2
54848,0,37,15969,0,H,A,0,0.048,64.0,0,75,1,25.0,17.38,5.0,45,12,5,1
109592,0,43,9031,0,U,A,0,0.154,70.0,0,56,1,18.0,7.67,2.0,26,12,2,2
58781,0,45,11685,6,U,S,0,0.45,31.0,1,61,1,17.0,11.87,5.0,39,13,0,9
112652,0,20,14047,1,H,A,0,0.095,,0,36,0,19.0,19.0,2.0,7,12,0,2
80675,0,49,11704,2,U,S,0,0.176,,1,74,1,24.0,4.03,,30,12,0,3
169665,0,13,28708,2,U,N,3,0.4,,0,23,0,18.0,7.0,6.0,51,14,0,4
28976,0, .,16963,2,H,A,0,0.167,51.0,0,22,0,21.0,15.0,4.0,0,10,3,2
90601,0,22,22438,4,U,S,0,0.368,27.0,1,53,1,18.0,2.91,,82,12,0,7
118766,0,24,13637,0,H,F,0,0.167,35.0,0,16,0,20.0,25.0,3.0,56,11,0,1
92611,0,12,19061,5,H,S,0,0.294,77.0,1,64,1,17.0,12.0,2.0,18,13,0,5
39479,1,27,20795,5,H,S,0,0.455,64.0,1,73,1,15.0,4.11,6.0,34,11,3,10
69850,0,40,9742,1,H,N,1,0.25,57.0,0,17,0,18.0,12.5,3.0,27,12,0,2
157213,1,11,23187,2,U,A,1,0.154,,0,26,0,16.0,12.5,,46,14,0,2
27521,0,35,19899,2,H,A,1,0.263,45.0,0,35,1,19.0,10.14,7.0,22,13,6,5
41901,1,08,12349,1,U,A,0,0.211,41.0,0,66,0,15.0,26.44,3.0,35,16,0,4
159868,1,30,12568,2,H,S,2,0.227,74.0,1,77,1,18.0,9.06,5.0,38,13,2,5
181483,0, .,16250,4,H,A,0,0.333,48.0,0,62,0,18.0,9.88,5.0,0,14,7,7
53484,0,16,14200,2,H,N,0,0.273,65.0,0,21,0,16.0,7.33,4.0,35,13,27,3
155624,0,13,29997,0,H,A,0,0.05,67.0,0,68,0,17.0,21.17,6.0,32,13,0,1
153010,0,31,10679,1,H,N,16,0.167,75.0,0,20,0,18.0,8.33,1.0,29,12,41,2
72321,1,49,12788,3,U,A,0,0.25,,0,30,0,16.0,8.33,,28,12,0,4
403,1, .,15150,1,U,A,0,0.063,58.0,0,52,0,18.0,33.5,2.0,0,21,0,1
126924,0,40,13813,2,H,S,2,0.235,39.0,1,48,1,16.0,7.43,5.0,0,14,4,4
152283,1,29,23850,0,U,A,0,0.125,61.0,0,31,0,19.0,10.0,,84,10,0,2
7879,1,27,14572,1,H,A,0,0.105,67.0,8,93,1,26.0,17.86,4.0,53,23,14,2
15066,1,51,11387,2,U,S,0,0.2,51.0,1,73,1,19.0,8.96,7.0,34,13,0,4
46669,0,35,15335,0,U,E,0,0.167,,1,63,1,15.0,7.33,6.0,35,10,1,3
65330,0,07,16182,2,H,S,0,0.25,70.0,1,82,1,15.0,5.24,2.0,14,11,4,5
27198,0,35,24628,0,U,A,0,0.053,,0,48,0,16.0,22.0,,0,15,0,1
128727,0,21,8931,2,H,A,4,0.143,78.0,4,77,1,15.0,6.78,6.0,28,11,3,3
162373,0,15,20134,1,U,F,3,0.143,,0,14,0,20.0,15.0,,14,8,0,1
72394,0,36,13019,3,U,A,2,0.2,57.0,0,37,1,20.0,8.5,1.0,25,12,0,3
102534,1,35,25272,0,U,A,0,0.095,75.0,0,67,0,18.0,12.56,,82,14,0,2
143009,0,01,26224,2,H,A,0,0.111,57.0,0,55,1,17.0,18.89,6.0,50,12,0,2
139680,0,21,7888,2,H,A,0,0.308,31.0,0,22,0,18.0,6.4,1.0,22,12,1,4
112703,1,53,7787,1,U,N,0,0.1,,0,15,0,24.0,15.0,,39,7,0,1
84100,1,13,25787,1,H,N,0,0.167,65.0,0,22,0,18.0,14.0,4.0,42,12,29,2
116062,0,22,18499,0,U,A,0,0.0,43.0,0,36,0,,65.0,4.0,16,12,0,0
35328,1,24,16035,0,H,S,0,0.143,39.0,1,73,1,18.0,11.64,7.0,9,13,0,3
38152,0,02,16137,2,H,A,0,0.267,69.0,0,24,0,18.0,15.5,4.0,25,12,0,4
63114,0,44,16934,2,H,A,0,0.1,45.0,7,78,1,16.0,9.09,6.0,10,15,1,2
30244,0,25,13597,2,H,A,9,0.143,75.0,0,36,0,18.0,14.0,4.0,20,13,0,3
129408,1,18,13951,4,H,A,0,0.238,46.0,0,74,0,18.0,27.29,3.0,0,15,7,5
46755,1,43,10540,4,U,S,1,0.429,,1,27,1,16.0,4.83,2.0,17,12,0,6
