CONTROL_NUMBER,DONATED,CLUSTER_CODE,MONTHS_SINCE_LAST_PROM_RESP,FILE_AVG_GIFT,LIFETIME_GIFT_AMOUNT,IN_HOUSE,SES,PUBLISHED_PHONE,OVERLAY_SOURCE,RECENCY_STATUS_96NK,RECENT_RESPONSE_COUNT,MEDIAN_HOUSEHOLD_INCOME,LAST_GIFT_AMT,MONTHS_SINCE_ORIGIN,DONOR_AGE,PCT_OWNER_OCCUPIED,WEALTH_RATING,MONTHS_SINCE_LAST_GIFT,DONOR_GENDER
121638,1,16,16.0,7.61,137.0,0,2,1,B,A,4,301,10.0,113,46.0,84,5.0,16,M
15874,0,34,23.0,14.0,28.0,0,1,1,M,A,2,462,25.0,29,52.0,71,,23,M
20954,0,41,15.0,7.26,138.0,0,3,1,B,A,2,157,20.0,137,,29,0.0,15,F
51202,0,42,24.0,10.33,31.0,0,1,0,M,A,2,390,15.0,41,51.0,90,,24,F
111513,0,51,20.0,15.6,78.0,0,3,1,M,A,1,164,22.0,65,,84,2.0,20,M
26712,0,35,18.0,6.8,34.0,0,1,1,B,N,3,420,7.0,29,49.0,82,,18,M
83390,0,12,20.0,14.0,70.0,0,1,0,N,A,3,517,10.0,53,40.0,98,9.0,20,U
104049,1,53,17.0,3.17,38.0,0,3,0,P,S,5,159,5.0,77,,83,,17,M
160231,0,38,23.0,9.14,192.0,0,2,1,B,S,4,254,9.0,113,73.0,34,2.0,23,F
93184,1,01,19.0,5.44,87.0,0,1,1,M,A,2,315,10.0,113,80.0,0,6.0,19,F
145855,1,03,17.0,9.71,68.0,0,1,0,B,A,5,453,13.0,41,51.0,65,7.0,17,M
84027,0,18,21.0,11.67,35.0,0,2,0,P,A,2,402,15.0,41,45.0,94,,21,F
72757,1,49,24.0,11.0,55.0,0,2,1,B,A,1,344,21.0,77,86.0,88,4.0,24,F
30551,0,42,23.0,25.0,25.0,0,1,0,N,N,1,327,25.0,29,56.0,63,,23,M
121799,0,02,18.0,18.17,109.0,0,1,0,B,A,3,512,25.0,77,43.0,42,9.0,18,M
182955,0,26,25.0,10.6,265.01,0,2,1,M,A,1,155,15.0,125,69.0,13,0.0,25,F
167318,0,35,18.0,27.4,274.0,0,1,0,N,S,4,568,25.0,89,61.0,89,8.0,18,M
38853,1,08,26.0,6.35,127.0,0,3,1,B,A,3,329,12.0,125,69.0,58,3.0,26,F
148949,1,06,26.0,36.0,72.0,0,2,0,P,A,2,478,36.0,29,73.0,78,,26,F
138311,1,11,18.0,9.77,127.0,0,1,0,P,A,4,437,12.0,77,83.0,62,9.0,18,F
21401,0,36,26.0,23.13,370.0,0,2,1,P,S,2,0,50.0,113,53.0,0,3.0,18,M
178067,0,40,18.0,9.05,181.0,0,2,0,P,A,1,319,10.0,137,83.0,76,5.0,18,F
37144,0,23,17.0,6.24,106.0,0,1,1,B,S,5,392,5.0,137,66.0,77,,17,M
127399,0,25,15.0,7.0,49.0,0,2,1,B,A,4,197,5.0,65,75.0,29,,15,M
137592,1,30,16.0,17.5,105.0,0,3,1,B,A,2,0,25.0,113,85.0,0,,16,M
138944,1,23,15.0,7.57,53.0,0,1,1,B,A,6,298,10.0,41,65.0,75,,15,F
151310,0,18,16.0,14.0,42.0,0,2,0,N,A,2,511,20.0,41,,97,,16,F
161735,0,19,17.0,20.0,20.0,0,2,0,N,F,1,353,20.0,17,46.0,59,,17,F
57992,1,42,16.0,4.87,73.0,0,1,0,P,S,6,404,5.0,77,51.0,93,8.0,16,M
120704,0,53,15.0,5.38,43.0,0,3,1,P,A,4,171,7.0,65,87.0,80,,15,M
3746,1,24,19.0,9.69,310.0,1,1,1,B,S,4,522,10.0,137,58.0,91,7.0,19,M
112501,0,40,18.0,10.43,73.0,0,2,0,M,A,6,364,13.0,41,58.0,63,9.0,18,M
100251,0,07,16.0,6.89,62.0,0,2,1,B,A,3,208,9.0,113,,33,,16,F
62759,0,43,16.0,3.86,54.0,0,2,1,B,A,3,306,10.0,77,69.0,85,,16,F
10666,0,18,18.0,11.67,35.0,1,2,1,B,N,2,399,15.0,29,82.0,91,,18,M
64445,0,44,18.0,13.33,40.0,0,2,0,B,A,2,239,16.0,41,38.0,44,,18,M
17442,0,22,26.0,12.2,61.0,0,1,1,M,A,1,384,20.0,89,75.0,48,9.0,26,F
104534,0,35,20.0,19.33,58.0,0,1,1,B,A,2,497,23.0,41,80.0,91,,20,M
12655,1,15,16.0,10.33,372.0,1,1,1,B,S,7,334,12.0,137,72.0,51,6.0,16,F
115312,0,36,24.0,12.86,90.0,0,2,1,B,A,3,250,15.0,53,87.0,70,7.0,24,F
84886,0,45,19.0,6.17,37.0,0,2,1,B,A,4,258,5.0,29,55.0,82,,19,M
175809,0,29,20.0,14.0,140.0,0,2,1,B,S,2,231,15.0,137,86.0,71,4.0,18,F
120938,0,07,24.0,10.69,139.0,0,2,1,N,A,3,215,12.0,113,66.0,70,4.0,24,M
157530,0,39,15.0,13.5,54.0,0,2,1,P,A,4,257,14.0,41,,5,,15,F
153637,0,15,17.0,20.0,20.0,0,1,0,N,F,1,394,20.0,17,,35,,17,M
120291,0,39,17.0,5.44,87.0,0,2,0,N,S,6,250,6.0,77,66.0,53,3.0,17,M
135169,0,07,26.0,10.59,180.0,0,2,1,B,A,2,275,17.0,113,76.0,54,3.0,26,M
124383,0, .,18.0,9.94,159.0,0,?,0,P,A,3,301,11.0,77,37.0,71,6.0,18,F
174671,1,49,15.0,5.57,78.0,0,2,1,B,A,5,326,6.0,125,73.0,78,,15,F
137973,0,30,21.0,8.0,32.0,0,3,0,B,A,3,217,10.0,29,61.0,74,,21,F
72682,0,42,18.0,8.0,40.0,0,1,1,B,A,2,406,15.0,65,69.0,95,3.0,18,M
127561,0,30,24.0,26.25,105.0,0,3,1,B,A,1,163,40.0,77,81.0,60,1.0,24,F
137436,0,29,18.0,37.5,75.0,0,2,1,N,A,1,631,50.0,41,76.0,93,,18,M
130050,0,07,18.0,10.0,30.0,0,2,0,B,N,3,203,10.0,29,62.0,54,,18,M
19097,0,17,15.0,20.0,20.0,0,2,1,B,E,1,298,20.0,17,54.0,48,,15,F
169640,1, .,15.0,6.36,70.0,0,?,0,P,A,6,371,7.0,113,75.0,63,,15,F
90046,0,16,18.0,17.0,51.0,0,2,1,B,A,2,553,25.0,41,51.0,99,,18,M
103566,1,36,18.0,15.73,236.0,0,2,0,B,A,2,250,21.0,137,76.0,69,4.0,18,M
45805,0,20,18.0,5.5,88.0,0,2,1,B,S,3,261,10.0,101,74.0,11,,18,M
171507,0,44,17.0,17.95,359.0,0,2,0,B,S,6,342,30.0,77,46.0,85,3.0,17,M
4878,0,15,24.0,7.29,124.0,1,1,1,B,A,2,387,15.0,137,,50,8.0,24,M
158534,1,15,16.0,24.29,170.0,0,1,1,B,A,3,423,25.0,89,49.0,37,6.0,16,F
94177,1,20,16.0,5.56,89.0,0,2,1,B,A,4,339,10.0,137,65.0,77,7.0,16,F
124902,0,18,15.0,18.67,336.0,0,2,0,N,A,5,335,37.0,137,42.0,66,6.0,15,F
123923,0,22,17.0,15.0,15.0,0,1,0,N,F,1,350,15.0,17,,25,,17,U
20595,0,39,18.0,14.75,59.0,0,2,1,P,A,2,284,15.0,65,,83,4.0,18,F
167410,0,11,26.0,16.25,65.0,0,1,0,B,A,2,574,20.0,65,66.0,84,8.0,26,M
139906,0,49,18.0,11.5,69.0,0,2,0,N,A,3,275,16.0,65,,83,6.0,18,F
66117,0,40,24.0,23.33,70.0,0,2,1,B,A,2,384,40.0,41,57.0,63,,24,M
150829,0,12,17.0,50.0,50.0,0,1,0,P,F,1,627,50.0,17,55.0,89,,17,M
69481,0,40,17.0,12.5,50.0,0,2,1,B,A,3,248,10.0,41,,74,,17,F
152283,1,29,19.0,10.0,30.0,0,2,0,N,A,2,313,15.0,41,61.0,97,5.0,19,F
146666,0,13,25.0,10.0,60.0,0,1,1,B,A,1,927,20.0,77,40.0,97,7.0,25,M
103597,0,53,17.0,4.29,60.0,0,3,1,B,S,4,203,15.0,137,50.0,77,1.0,17,F
121869,0,21,20.0,5.13,82.0,0,3,1,B,A,2,252,11.0,89,47.0,69,4.0,20,U
169465,0,52,20.0,5.05,106.0,0,3,0,P,A,7,162,5.0,137,56.0,50,0.0,20,F
36595,0,12,17.0,15.0,30.0,0,1,0,N,A,2,278,20.0,29,64.0,72,,17,M
129408,1,18,18.0,27.29,382.0,0,2,1,B,A,5,405,43.0,137,46.0,82,6.0,18,M
4981,0, .,17.0,18.85,245.0,1,?,0,N,A,1,871,30.0,137,68.0,92,9.0,13,F
167448,0,12,23.0,13.36,147.0,0,1,0,P,A,3,644,20.0,65,,78,8.0,23,M
106318,0,53,21.0,9.14,64.0,0,3,1,B,S,4,172,10.0,65,17.0,79,0.0,18,F
24521,0,40,20.0,8.0,120.0,0,2,1,B,A,4,348,10.0,113,43.0,69,9.0,20,F
127699,0,41,26.0,7.8,39.0,0,3,1,B,A,1,208,15.0,77,44.0,79,2.0,26,M
18428,0,40,19.0,7.29,102.0,0,2,0,P,S,6,252,5.0,53,70.0,70,5.0,19,F
145460,0,02,17.0,9.29,65.0,0,1,0,P,A,3,590,15.0,53,67.0,73,8.0,17,F
190295,0,44,18.0,13.0,52.0,0,2,0,N,E,2,360,16.0,89,61.0,58,9.0,18,U
28445,0,20,18.0,8.81,229.0,0,2,1,P,A,2,274,10.0,113,67.0,61,9.0,18,U
50684,1,45,18.0,4.43,62.0,0,2,0,N,S,3,203,5.0,137,,85,3.0,18,F
125412,0,20,15.0,7.33,22.0,0,2,1,B,N,3,376,7.0,29,59.0,65,,15,M
147162,0,02,17.0,12.21,232.0,0,1,1,B,S,5,523,13.0,137,58.0,89,8.0,17,F
95180,0,45,17.0,20.0,20.0,0,2,1,B,F,1,254,20.0,17,48.0,65,,17,F
100775,0,13,16.0,14.63,117.0,0,1,1,B,A,4,542,30.0,89,83.0,83,9.0,16,M
172288,0, .,21.0,12.16,377.0,0,?,0,N,A,4,454,17.0,77,,78,,21,M
160579,1,35,15.0,9.54,353.0,0,1,0,P,S,10,506,8.0,137,,73,7.0,15,F
52549,1,48,16.0,13.11,118.0,0,2,1,B,A,3,202,25.0,77,42.0,54,3.0,16,M
105335,0,45,18.0,14.55,160.0,0,2,1,B,S,3,188,20.0,137,45.0,72,1.0,18,F
149887,1,31,23.0,10.83,65.0,0,3,1,M,A,2,442,15.0,41,,73,,23,M
53151,1,50,15.0,20.0,20.0,0,3,0,P,F,1,159,20.0,17,,70,,15,M
162352,0,13,17.0,20.0,100.0,0,1,0,M,A,2,565,25.0,125,60.0,81,8.0,17,M
107880,0,07,21.0,6.55,72.0,0,2,0,P,S,8,260,7.0,41,41.0,51,,21,F
44567,0,29,21.0,6.83,41.0,0,2,1,P,A,3,233,10.0,41,,92,,18,M
71193,0,39,24.0,6.03,211.0,0,2,1,B,S,8,215,5.0,137,44.0,56,3.0,24,F
82602,0,20,17.0,5.0,40.0,0,2,1,N,A,6,368,5.0,41,,79,,17,M
110332,0,43,17.0,10.5,126.0,0,2,0,P,S,4,251,11.0,77,57.0,79,1.0,17,F
172802,0,46,26.0,17.22,155.0,0,2,1,M,A,2,216,25.0,137,,55,2.0,26,M
177626,0,46,19.0,16.6,83.0,0,2,0,N,A,2,242,19.0,89,,78,,19,F
184261,0,27,19.0,12.88,103.0,0,2,0,P,A,3,267,10.0,89,74.0,68,2.0,19,M
42262,0,35,19.0,8.54,111.0,0,1,1,B,A,4,438,10.0,101,55.0,93,8.0,19,M
110847,1,47,15.0,5.23,287.5,0,2,1,P,S,9,235,5.0,137,,76,8.0,15,M
50360,0,51,16.0,4.67,70.0,0,3,0,P,A,3,182,5.0,137,,87,3.0,16,F
172829,0,27,25.0,14.89,134.0,0,2,1,B,S,1,385,25.0,101,43.0,76,4.0,18,M
55392,1,43,18.0,5.96,220.5,0,2,1,B,S,7,212,7.0,137,51.0,80,6.0,18,M
28713,1,14,22.0,15.1,151.0,0,1,0,N,A,2,1090,19.0,101,49.0,98,9.0,22,F
69116,1,15,16.0,15.22,137.0,0,1,0,N,S,3,483,20.0,53,52.0,81,9.0,16,F
168648,1,14,18.0,7.55,83.0,0,1,0,M,A,4,265,12.0,65,55.0,66,9.0,18,M
185248,0,08,18.0,9.12,237.0,0,3,1,B,A,3,364,15.0,113,48.0,98,6.0,5,F
2464,1, .,13.0,7.82,266.0,0,?,0,B,S,11,195,8.0,77,56.0,72,2.0,6,M
46313,0,29,18.0,17.5,35.0,0,2,1,B,A,2,184,25.0,29,81.0,96,,18,F
177842,0,48,25.0,14.67,44.0,0,2,0,M,A,2,288,20.0,53,69.0,79,1.0,25,M
56696,0,16,18.0,6.75,27.0,0,2,1,B,A,4,378,10.0,29,39.0,91,,18,M
156123,0,33,16.0,7.38,59.0,0,3,0,N,S,7,230,10.0,41,,82,,16,F
122517,0,45,18.0,18.33,220.0,0,2,1,B,A,1,198,23.0,113,56.0,79,2.0,18,F
37861,1,06,26.0,12.22,110.0,0,2,0,B,A,2,273,15.0,137,69.0,77,6.0,26,M
107345,0,45,17.0,20.0,20.0,0,2,0,B,F,1,239,20.0,17,39.0,73,,17,M
148092,0,13,29.0,17.33,104.0,0,1,1,B,A,3,543,20.0,41,84.0,93,,26,M
29205,0,39,22.0,4.56,82.0,0,2,1,P,A,3,222,10.0,137,66.0,45,2.0,22,M
80866,1,49,16.0,4.55,50.0,0,2,1,B,S,11,342,5.0,41,70.0,97,,16,F
30450,1,28,17.0,31.0,155.0,0,2,1,B,A,2,420,50.0,77,73.0,63,3.0,17,F
165509,1,24,17.0,4.95,99.0,0,1,0,B,A,3,447,10.0,65,,67,8.0,17,M
23740,0,39,18.0,7.83,141.0,0,2,1,B,A,1,352,13.0,137,42.0,73,2.0,18,M
187712,0,20,20.0,10.33,124.0,0,2,0,N,E,4,357,15.0,53,,73,,20,U
74102,1,43,24.0,11.8,59.0,0,2,1,P,A,2,246,15.0,77,36.0,85,2.0,24,F
17878,0,31,20.0,8.25,33.0,0,3,0,N,A,2,341,6.0,41,56.0,85,,18,F
62117,0,40,26.0,7.64,107.0,0,2,1,B,A,2,251,11.0,125,37.0,64,3.0,26,F
109176,0,49,15.0,6.25,25.0,0,2,0,N,A,3,236,10.0,29,,83,,15,F
153871,0,11,16.0,15.0,15.0,0,1,0,B,F,1,609,15.0,17,55.0,79,,16,F
173373,0,27,25.0,18.43,129.0,0,2,0,N,A,2,305,20.0,77,80.0,41,,25,U
110476,0,25,21.0,11.42,137.0,0,2,0,P,S,5,262,20.0,89,84.0,56,5.0,21,U
154007,0,30,19.0,17.5,35.0,0,3,0,B,A,1,307,25.0,29,,67,,19,M
114000,0,43,15.0,9.5,266.0,0,2,1,B,S,3,522,12.0,137,62.0,96,2.0,15,F
37121,0,18,21.0,31.33,282.0,0,2,1,B,A,1,358,6.0,113,56.0,74,5.0,19,M
107123,0,44,17.0,15.0,45.0,0,2,0,P,N,3,368,20.0,29,55.0,86,,17,M
38261,0,08,17.0,13.5,108.0,0,3,1,B,A,1,234,20.0,113,49.0,54,4.0,17,U
180050,1,20,18.0,12.9,129.0,0,2,0,N,A,4,333,21.0,89,,62,6.0,18,F
127030,1,01,16.0,8.0,40.0,0,1,0,P,A,3,223,10.0,77,,2,,16,F
89572,0,27,16.0,15.0,15.0,0,2,1,B,F,1,289,15.0,17,45.0,17,,16,M
165508,0,24,18.0,12.4,62.0,0,1,0,B,A,2,725,15.0,65,32.0,96,9.0,18,M
188860,1,39,15.0,6.65,113.0,0,2,1,B,S,8,256,10.0,113,76.0,87,,5,M
69122,1,18,16.0,10.5,84.0,0,2,1,B,A,5,404,14.0,77,70.0,91,9.0,16,M
189943,1, .,17.0,12.76,319.0,0,?,1,B,F,4,385,250.0,137,81.0,79,9.0,17,M
99024,0,43,21.0,13.0,26.0,0,2,0,P,N,1,279,6.0,17,75.0,86,,20,M
64975,0,36,20.0,25.0,25.0,0,2,0,B,F,1,281,25.0,17,47.0,81,,20,M
10007,0,42,25.0,18.29,311.0,0,1,1,B,S,1,290,25.0,137,61.0,68,4.0,11,F
32604,0,36,16.0,10.23,133.0,0,2,0,P,A,3,204,14.0,77,68.0,70,2.0,16,M
51185,1,45,21.0,9.33,56.0,0,2,1,B,A,1,186,16.0,89,,56,5.0,21,M
16670,0,40,17.0,4.5,54.0,0,2,0,N,S,6,383,6.0,41,,85,,17,F
58075,0,39,16.0,9.5,133.0,0,2,0,P,A,1,173,15.0,101,77.0,73,,16,F
32594,0,36,16.0,7.6,38.0,0,2,0,P,A,4,204,10.0,29,41.0,70,,16,M
144110,1,03,17.0,9.78,88.0,0,1,0,B,A,1,533,25.0,113,62.0,29,8.0,17,F
184459,0, .,19.0,7.47,112.0,0,?,0,P,A,4,453,20.0,113,50.0,84,7.0,19,F
92312,1,13,20.0,10.33,62.0,0,1,0,P,A,2,1245,18.0,65,65.0,99,9.0,20,F
11641,1,13,21.0,6.85,89.0,1,1,0,N,S,4,463,12.0,65,,92,4.0,21,F
133884,1,40,18.0,3.91,136.8,0,2,0,P,S,3,250,20.0,137,,76,6.0,18,F
35159,0,14,18.0,9.38,75.0,0,1,1,P,A,4,643,10.0,41,48.0,92,9.0,18,F
102871,0,43,18.0,16.56,149.0,0,2,1,B,A,1,272,20.0,137,81.0,80,3.0,18,F
70969,0,44,21.0,5.83,105.0,0,2,1,B,A,2,391,10.0,113,58.0,93,8.0,21,F
126893,0,35,16.0,20.0,60.0,0,1,0,M,A,3,593,20.0,29,33.0,88,,16,M
190553,0,11,16.0,15.56,140.0,1,1,1,B,A,3,331,15.0,113,84.0,57,4.0,16,M
155602,1,24,21.0,20.14,141.0,0,1,1,B,A,1,435,25.0,89,77.0,86,7.0,21,M
185957,0,24,22.0,11.74,223.0,1,1,0,M,A,4,380,25.0,101,64.0,88,4.0,10,M
49085,0,36,19.0,15.33,46.0,0,2,0,N,A,3,240,20.0,29,66.0,64,,19,M
65339,0,02,20.0,7.71,108.0,0,1,1,B,A,3,404,12.0,113,80.0,90,8.0,20,U
158454,1,04,16.0,12.15,158.0,0,2,0,B,A,8,506,6.0,65,31.0,59,2.0,15,U
164713,0,14,23.0,20.0,20.0,0,1,0,B,N,1,840,20.0,29,77.0,91,,23,U
188738,0,40,19.0,6.07,91.0,1,2,0,N,A,4,282,10.0,137,77.0,75,2.0,5,U
80109,0,49,18.0,15.0,135.0,0,2,1,B,A,2,327,15.0,101,57.0,85,7.0,18,M
151629,1,08,19.0,9.5,76.0,0,3,0,N,A,4,308,15.0,65,61.0,46,3.0,19,F
173953,0,18,20.0,8.75,35.0,0,2,1,P,A,2,470,5.0,41,65.0,62,,20,F
155426,0,08,17.0,15.0,15.0,0,3,0,M,F,1,243,15.0,17,56.0,75,,17,F
62111,0,41,18.0,9.0,54.0,0,3,1,B,A,5,262,20.0,41,74.0,78,,18,F
40637,1,31,22.0,12.5,250.0,0,3,0,P,S,6,371,24.0,125,65.0,54,,22,F
2291,0,41,11.0,4.18,117.0,0,3,0,B,S,10,209,2.0,65,,72,3.0,11,M
125501,1,08,23.0,13.0,130.0,0,3,0,B,A,7,276,10.0,41,49.0,87,,23,F
32735,0,16,23.0,18.33,55.0,0,2,1,B,A,2,340,10.0,29,79.0,88,,17,F
91835,1,18,17.0,5.0,35.0,0,2,0,B,A,5,301,5.0,29,47.0,55,,17,F
9923,1, .,,11.24,191.0,0,?,1,N,A,0,363,5.0,101,52.0,66,8.0,5,F
147777,0,11,18.0,25.0,25.0,0,1,0,P,F,1,413,25.0,17,45.0,49,,18,M
89750,0,18,18.0,15.0,15.0,0,2,0,P,F,1,347,15.0,17,43.0,93,,18,M
33359,1,20,15.0,8.43,118.0,0,2,1,M,S,6,357,10.0,137,61.0,74,8.0,15,F
165620,1,08,15.0,3.15,72.5,0,3,0,B,S,5,346,5.0,125,69.0,56,5.0,15,U
81659,0,25,18.0,9.5,57.0,0,2,1,M,A,5,288,10.0,41,38.0,62,8.0,18,F
141209,1,18,20.0,15.33,92.0,0,2,0,N,S,4,203,20.0,41,,28,,20,M
102037,0,49,26.0,15.0,105.0,0,2,0,P,A,2,304,25.0,77,32.0,87,6.0,26,F
139033,0,37,17.0,20.0,20.0,0,2,0,P,F,1,290,20.0,17,67.0,73,,17,M
48660,0,27,18.0,25.0,25.0,0,2,1,B,F,1,228,25.0,17,69.0,65,,18,M
41715,1,09,18.0,3.3,33.0,0,3,0,N,A,7,272,5.0,41,,83,,18,U
138443,1, .,17.0,15.0,15.0,0,?,0,P,F,1,174,15.0,17,47.0,72,,17,F
19786,0,40,17.0,20.0,20.0,0,2,0,B,F,1,181,20.0,17,31.0,76,,17,M
187968,0,18,18.0,10.33,217.0,0,2,0,N,E,6,452,15.0,89,,88,6.0,18,F
169106,1,40,20.0,8.0,160.0,0,2,1,M,S,1,397,5.0,113,52.0,56,6.0,18,F
137636,0,53,21.0,10.0,40.0,0,3,1,B,A,2,194,15.0,53,78.0,63,2.0,21,F
144430,0,08,16.0,20.0,20.0,0,3,0,B,F,1,451,20.0,17,40.0,81,,16,F
130460,0,04,17.0,17.5,70.0,0,2,1,P,N,4,1287,15.0,29,87.0,96,,17,F
36507,0,10,18.0,14.0,182.0,0,4,0,B,A,6,303,20.0,125,83.0,53,0.0,18,F
148658,0,08,18.0,11.5,23.0,0,3,0,M,A,1,287,20.0,65,,68,,18,F
130568,0,18,19.0,15.5,124.0,0,2,1,B,A,1,420,22.0,113,62.0,90,6.0,19,M
82495,0,22,18.0,15.14,106.0,0,1,0,P,A,5,221,25.0,65,67.0,61,5.0,18,F
125607,0,14,18.0,12.57,88.0,0,1,1,B,A,5,591,10.0,41,73.0,90,,18,F
46746,0,21,22.0,12.8,64.0,0,3,1,B,A,2,240,17.0,89,27.0,58,6.0,22,M
103082,0,42,21.0,17.0,187.0,0,1,1,N,A,3,348,30.0,137,,79,4.0,21,F
132616,0,51,17.0,8.08,97.0,0,3,1,N,S,5,715,12.0,89,78.0,98,4.0,17,F
117618,0,14,16.0,8.25,33.0,0,1,0,B,A,4,712,13.0,29,66.0,72,,16,M
172597,1,34,18.0,7.15,93.0,0,1,0,P,A,2,243,20.0,137,71.0,58,2.0,18,F
183013,1,16,15.0,10.0,40.0,0,2,1,B,A,4,317,8.0,29,67.0,72,,15,M
170341,0,30,25.0,9.95,199.0,0,3,0,P,A,2,318,30.0,113,45.0,71,3.0,25,F
150342,0,08,15.0,22.5,45.0,0,3,0,P,A,2,263,25.0,29,,79,,15,F
98232,0,36,19.0,16.5,198.0,0,2,1,B,A,4,203,26.0,113,78.0,66,2.0,19,M
116372,0,12,16.0,5.17,62.0,0,1,0,P,S,9,483,5.0,41,33.0,92,,16,F
59240,1,14,16.0,9.0,45.0,0,1,1,N,A,2,575,15.0,89,,94,,16,F
71491,1,27,17.0,17.5,35.0,0,2,0,P,A,1,381,25.0,41,,72,,17,F
170813,0,18,22.0,13.0,26.0,0,2,0,B,A,2,333,16.0,29,62.0,80,,22,M
98331,0,31,19.0,10.0,50.0,0,3,1,M,A,1,120,25.0,65,34.0,14,1.0,19,F
122363,0,38,24.0,12.3,123.0,0,2,0,P,A,2,254,15.0,137,76.0,23,5.0,24,F
144539,0,02,17.0,5.76,98.0,0,1,0,P,S,6,332,6.0,89,69.0,51,8.0,17,F
971,1,39,15.0,7.5,150.0,0,2,1,B,S,10,222,8.0,29,57.0,67,,4,F
51394,0,36,17.0,11.11,100.0,0,2,0,N,A,2,0,15.0,137,51.0,0,1.0,17,U
121266,0,21,17.0,11.71,82.0,0,3,0,B,A,2,245,20.0,101,55.0,86,3.0,17,F
103283,0,25,18.0,15.0,30.0,0,2,0,B,A,2,192,15.0,29,67.0,37,,18,F
121259,0,32,20.0,25.0,25.0,0,3,1,B,F,1,133,25.0,17,60.0,74,,20,F
90031,1,24,17.0,3.72,67.0,0,1,1,B,S,4,417,5.0,137,81.0,71,7.0,17,F
31211,0,35,18.0,17.83,107.0,0,1,1,B,A,2,461,25.0,77,69.0,95,7.0,18,F
3608,1,04,19.0,19.88,477.0,1,2,1,M,A,3,205,30.0,137,,3,4.0,6,M
130976,1,26,16.0,8.14,228.0,0,2,0,M,S,4,289,10.0,137,82.0,51,6.0,16,F
31239,1,47,24.0,9.67,29.0,0,2,1,B,A,2,248,15.0,29,,73,,24,F
104331,0,25,16.0,8.89,169.0,0,2,0,N,A,2,127,17.0,113,75.0,18,0.0,16,M
60738,1,12,19.0,5.25,42.0,0,1,0,N,S,6,419,7.0,41,48.0,74,,19,F
152783,0,35,24.0,6.45,71.0,0,1,0,N,A,2,551,16.0,137,,90,,24,F
88097,0,12,17.0,8.17,49.0,0,1,0,B,A,3,540,12.0,101,71.0,84,,17,M
23930,1,24,15.0,4.28,38.5,0,1,1,B,S,4,489,5.0,65,76.0,91,,15,M
158881,0,34,18.0,17.5,35.0,0,1,1,B,A,1,481,25.0,29,,76,,18,M
105038,0,43,19.0,9.0,144.0,0,2,1,B,A,1,292,15.0,77,48.0,79,3.0,19,F
164989,1,13,23.0,13.38,107.0,0,1,0,B,A,2,1032,20.0,53,65.0,93,9.0,23,F
109017,0,25,19.0,11.64,163.0,0,2,0,B,S,5,269,15.0,101,57.0,47,7.0,19,F
30978,0,44,21.0,15.0,15.0,0,2,0,P,F,1,316,15.0,17,,63,,21,F
114405,0,43,24.0,14.33,86.0,0,2,1,N,A,1,174,15.0,77,,85,5.0,24,M
79389,1,36,21.0,10.14,71.0,0,2,1,B,S,5,316,13.0,41,66.0,63,,21,M
22170,0,38,19.0,6.94,222.0,0,2,1,B,S,3,236,13.0,137,47.0,59,0.0,19,M
162117,0,02,15.0,10.2,51.0,0,1,1,B,A,4,448,15.0,41,73.0,83,,15,F
145323,0,01,17.0,16.0,16.0,0,1,0,P,F,1,397,16.0,17,51.0,12,,17,F
26979,0,41,24.0,10.5,147.0,0,3,1,B,S,2,404,15.0,137,83.0,90,0.0,18,F
157298,0,11,17.0,20.0,20.0,0,1,0,N,F,1,467,20.0,17,,41,,17,M
87632,0,46,18.0,7.62,99.0,0,2,1,P,A,6,189,10.0,77,85.0,70,,18,F
51469,1,25,15.0,7.33,44.0,0,2,1,B,A,5,295,10.0,29,43.0,45,,15,F
185593,0,36,21.0,30.0,120.0,1,2,0,P,A,2,248,35.0,29,63.0,79,,4,M
156485,1,03,26.0,6.27,94.0,0,1,1,B,A,1,403,12.0,137,56.0,43,,26,F
46296,0,40,20.0,6.44,116.0,0,2,1,B,S,6,352,8.0,77,42.0,86,,20,F
188304,1,36,17.0,10.55,211.0,1,2,1,B,S,7,263,25.0,89,73.0,61,4.0,6,F
117329,1,13,19.0,12.83,77.0,0,1,1,N,A,2,408,15.0,53,70.0,56,9.0,19,F
110769,0,51,23.0,13.2,66.0,0,3,0,N,A,2,210,20.0,53,59.0,77,3.0,23,F
142691,0,08,17.0,15.0,15.0,0,3,0,P,F,1,203,15.0,17,75.0,44,,17,M
97227,0,43,15.0,21.0,504.0,0,2,0,P,A,1,194,15.0,137,73.0,73,3.0,15,M
151150,0,06,18.0,9.92,119.0,0,2,0,B,S,4,388,11.0,65,55.0,64,6.0,18,M
11378,0,18,17.0,5.76,98.0,1,2,0,B,A,1,429,10.0,137,,76,,17,M
40350,0,30,15.0,4.35,74.0,0,3,0,N,S,5,272,5.0,101,84.0,69,5.0,15,M
24302,0,47,24.0,10.69,342.0,0,2,0,P,S,5,203,11.0,137,40.0,77,2.0,24,F
147913,0,12,17.0,20.0,20.0,0,1,0,N,F,1,364,20.0,17,,39,,17,M
122543,0,44,,14.92,179.0,0,2,1,B,S,0,363,20.0,77,32.0,87,,23,F
162342,0,23,15.0,5.75,46.0,0,1,0,B,A,5,414,5.0,41,63.0,68,,15,F
