CONTROL_NUMBER,DONATED,CLUSTER_CODE,RECENT_STAR_STATUS,CARD_PROM_12,FREQUENCY_STATUS_97NK,DONOR_GENDER,MONTHS_SINCE_LAST_GIFT,LIFETIME_GIFT_RANGE,LIFETIME_PROM,PCT_OWNER_OCCUPIED,MEDIAN_HOUSEHOLD_INCOME,RECENT_RESPONSE_COUNT,LIFETIME_GIFT_AMOUNT,WEALTH_RATING,LIFETIME_MAX_GIFT_AMT,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_PROP,FILE_AVG_GIFT,RECENT_CARD_RESPONSE_PROP
62764,0,43,1,6,3,F,16,11.0,30,43,157,4,57.0,,15.0,8.5,0.222,11.4,0.222
1779,1,41,4,8,1,M,7,15.0,71,27,131,4,104.0,,20.0,12.33,0.211,13.0,0.333
21771,0,43,0,4,1,M,26,11.0,46,84,260,2,81.0,5.0,16.0,14.0,0.105,11.57,0.111
162321,0,13,1,6,2,M,16,19.0,53,94,1500,4,74.0,9.0,20.0,9.0,0.235,6.17,0.444
131193,0,18,0,6,4,F,17,15.0,29,75,424,4,101.0,,25.0,18.0,0.286,16.83,0.286
137798,0,49,0,5,1,F,15,0.0,13,54,171,1,20.0,,20.0,0.0,0.2,20.0,0.0
67703,0,01,0,5,1,F,24,10.0,38,28,264,1,36.0,,15.0,15.0,0.056,9.0,0.143
150282,0,17,1,6,2,M,17,11.0,60,34,352,2,138.0,4.0,16.0,16.0,0.125,10.62,0.167
12415,0,21,0,6,4,M,15,30.0,79,52,249,11,493.0,8.0,40.0,31.0,0.55,29.0,0.636
65489,0,13,1,5,2,F,15,10.0,47,96,624,2,53.0,,15.0,0.0,0.118,7.57,0.0
163861,0,13,0,6,3,M,16,5.0,20,73,639,2,25.0,,10.0,10.0,0.25,8.33,0.25
91804,0,12,0,6,3,F,15,6.0,25,97,541,3,36.0,,11.0,0.0,0.231,9.0,0.0
47371,1,32,0,5,4,F,16,9.0,57,52,129,5,74.0,1.0,10.0,7.0,0.227,5.29,0.273
14394,1,39,0,5,1,M,18,25.0,18,70,273,1,25.0,,25.0,0.0,0.143,25.0,0.0
3613,0,03,0,7,2,F,4,11.0,67,53,334,4,93.0,9.0,16.0,10.0,0.211,9.3,0.222
153501,0,05,0,6,1,F,18,10.0,44,52,385,3,55.0,5.0,15.0,15.0,0.143,11.0,0.1
164486,0,11,0,5,4,F,16,4.0,59,51,341,7,80.0,,7.0,5.75,0.35,5.0,0.364
28150,0,13,0,5,1,F,26,21.0,68,90,1008,1,196.0,9.0,26.0,0.0,0.056,17.82,0.0
150578,0,23,0,4,1,F,18,0.0,22,89,424,2,40.0,,20.0,20.0,0.143,20.0,0.167
149970,1,19,0,3,1,F,23,0.0,16,65,385,1,15.0,,15.0,15.0,0.1,15.0,0.25
24646,0,40,0,5,1,M,16,0.0,14,76,327,1,20.0,,20.0,0.0,0.2,20.0,0.0
123266,0,16,0,4,1,M,18,10.0,29,81,370,2,27.0,,15.0,0.0,0.182,9.0,0.0
137636,0,53,0,5,1,F,21,12.0,38,63,194,2,40.0,2.0,15.0,15.0,0.111,10.0,0.25
97757,0,28,4,6,1,M,19,15.0,78,50,277,5,242.0,5.0,25.0,15.0,0.238,14.24,0.273
35363,0,29,0,6,2,F,17,17.0,69,95,272,2,92.0,4.0,20.0,10.0,0.105,10.22,0.111
109624,0,41,1,6,2,M,18,25.0,41,73,227,3,130.0,0.0,30.0,18.33,0.136,16.25,0.273
180991,0,30,1,6,4,F,18,7.0,34,51,271,11,115.0,,11.0,9.0,0.611,7.67,0.7
129939,0,10,0,4,3,F,18,11.0,50,30,162,4,158.0,1.0,16.0,16.0,0.267,9.29,0.286
139906,0,49,0,6,2,F,18,12.0,42,83,275,3,69.0,6.0,17.0,15.0,0.15,11.5,0.1
20954,0,41,0,5,2,F,15,15.0,66,29,157,2,138.0,0.0,20.0,20.0,0.125,7.26,0.167
83959,1,11,1,6,3,F,18,10.0,83,71,545,5,242.0,9.0,15.0,0.0,0.227,9.68,0.0
97842,0,51,0,6,1,M,19,20.0,23,81,235,2,30.0,,25.0,5.0,0.154,15.0,0.167
89033,0,19,0,6,4,M,16,45.0,37,65,356,5,227.0,7.0,50.0,35.0,0.278,32.43,0.25
84359,0,51,1,6,3,M,18,20.0,75,77,230,3,180.0,,25.0,9.0,0.176,12.86,0.143
81045,0,46,7,6,3,M,19,20.0,77,86,235,4,245.0,8.0,25.0,25.0,0.182,14.41,0.182
166396,0,03,0,3,1,F,20,0.0,14,43,308,1,15.0,,15.0,15.0,0.143,15.0,0.333
142007,0,13,1,6,4,F,18,4.0,58,93,415,10,96.0,8.0,6.0,4.33,0.476,4.17,0.545
147930,0,11,0,5,3,F,18,5.0,42,27,318,2,39.0,,10.0,10.0,0.167,6.5,0.25
104359,0,27,0,5,1,M,24,0.0,22,26,188,2,100.0,,25.0,25.0,0.2,25.0,0.4
139314,0,21,1,4,3,F,19,7.0,61,85,284,3,70.0,,8.0,5.0,0.231,4.12,0.2
147690,0,31,0,4,1,F,19,0.0,14,19,214,1,15.0,,15.0,15.0,0.167,15.0,0.333
115374,0,49,1,6,3,U,18,17.0,74,58,390,3,151.0,6.0,20.0,0.0,0.143,10.07,0.0
38280,0,08,0,6,2,F,18,10.0,59,87,332,2,66.0,7.0,15.0,0.0,0.125,9.43,0.0
156101,0,39,1,6,2,M,15,37.0,78,77,342,4,399.0,3.0,40.0,38.33,0.182,19.0,0.273
90899,1,21,0,4,1,F,15,12.0,46,75,279,1,48.0,3.0,17.0,17.0,0.071,12.0,0.2
165367,0,35,0,4,1,M,18,0.0,12,97,1094,1,25.0,,25.0,25.0,0.25,25.0,0.5
59596,0,37,0,6,3,F,17,7.0,57,60,257,5,87.0,,12.0,9.5,0.238,8.7,0.4
70834,0,51,1,6,4,M,18,4.0,56,73,198,6,59.0,,7.0,5.67,0.375,4.92,0.375
129225,0,18,0,5,3,M,22,5.0,60,80,371,4,48.0,,6.0,5.5,0.19,2.82,0.2
143490,0,04,0,3,1,M,21,0.0,12,4,185,1,15.0,,15.0,15.0,0.167,15.0,0.333
174186,0,02,0,4,1,U,21,0.0,16,87,621,1,20.0,,20.0,20.0,0.143,20.0,0.333
42958,0,23,1,5,3,M,15,5.0,27,76,352,5,34.0,,10.0,6.0,0.357,6.8,0.333
79562,1,20,0,7,1,M,17,12.0,57,50,272,2,90.0,6.0,17.0,15.0,0.118,11.25,0.125
66160,0,48,13,4,1,F,17,23.0,61,64,344,2,130.0,7.0,25.0,22.5,0.133,6.84,0.25
156591,0,02,3,4,1,M,22,11.0,65,79,624,3,94.0,8.0,16.0,12.5,0.167,9.4,0.25
121479,0,18,12,7,1,M,18,13.0,65,89,358,2,93.0,6.0,15.0,15.0,0.1,6.2,0.111
74784,0, .,0,6,2,F,21,10.0,55,92,588,4,82.0,,13.0,7.67,0.25,6.83,0.375
53995,0,51,0,4,1,F,19,0.0,12,83,222,0,20.0,,20.0,0.0,0.0,20.0,0.0
172839,0,27,0,6,1,F,20,6.0,44,91,338,1,58.0,2.0,16.0,16.0,0.056,11.6,0.125
114265,0,49,8,5,1,F,26,17.0,73,80,246,2,442.0,2.0,20.0,15.0,0.091,11.05,0.091
56404,0,45,0,4,1,M,16,0.0,13,82,193,1,15.0,,15.0,15.0,0.2,15.0,0.5
42907,0,23,0,4,1,F,24,10.0,23,78,535,2,20.0,,15.0,10.0,0.133,10.0,0.333
25147,1,34,1,5,3,M,18,3.0,70,62,214,6,119.0,,6.0,3.75,0.316,3.97,0.4
148906,1,27,1,6,4,F,18,2.0,30,33,371,6,29.0,,5.0,4.33,0.333,4.14,0.667
79868,1,49,11,4,1,M,15,10.0,64,75,274,2,95.0,3.0,15.0,0.0,0.111,9.5,0.0
82457,1,09,1,5,3,F,17,5.75,72,29,230,5,87.25,,7.0,5.4,0.278,4.59,0.714
13404,0, .,1,1,4,F,17,8.0,36,78,333,7,101.0,,10.0,5.75,0.875,5.61,1.0
112167,0,53,0,4,1,F,18,0.0,12,88,145,1,20.0,,20.0,0.0,0.2,20.0,0.0
99051,0,36,0,6,2,F,19,10.0,26,67,194,3,42.0,,20.0,0.0,0.214,14.0,0.0
149680,0,01,0,4,1,F,17,0.0,21,34,228,2,30.0,,15.0,15.0,0.167,15.0,0.333
180074,0,18,0,6,2,F,19,5.0,35,84,423,3,55.0,7.0,15.0,15.0,0.188,13.75,0.143
75810,0,53,0,4,1,F,24,12.0,23,76,249,2,28.0,,20.0,20.0,0.143,14.0,0.2
25558,1,27,0,6,1,M,18,17.0,52,91,489,2,63.0,8.0,20.0,15.0,0.1,10.5,0.111
119635,0,25,0,3,1,F,15,10.0,52,16,249,2,92.0,6.0,15.0,15.0,0.111,10.22,0.125
101302,0,51,0,5,1,M,24,10.0,60,90,374,2,121.0,2.0,15.0,15.0,0.1,11.0,0.222
124328,0,24,4,5,1,F,23,10.0,75,80,512,4,150.0,8.0,12.0,10.0,0.19,6.52,0.2
22467,0,49,0,4,1,M,18,12.0,61,92,322,1,97.0,2.0,17.0,0.0,0.063,9.7,0.0
174947,1,49,0,5,4,F,15,5.0,21,77,267,6,34.0,,7.0,5.67,0.545,4.86,0.6
144034,0,10,0,6,1,M,25,25.0,67,24,230,2,117.0,1.0,30.0,30.0,0.1,11.7,0.1
25916,0,14,0,4,1,M,21,2.0,26,92,612,2,32.0,,17.0,16.0,0.125,16.0,0.286
19233,0,39,1,6,2,M,18,15.0,58,81,271,5,123.0,4.0,20.0,15.0,0.227,12.3,0.182
149881,1,31,0,6,3,U,16,4.0,24,37,217,4,32.0,,11.0,7.0,0.286,8.0,0.167
173968,0,10,0,4,1,U,23,0.0,15,4,50,1,25.0,,25.0,25.0,0.143,25.0,0.333
34897,0,27,5,6,1,M,25,10.0,42,90,321,4,72.0,3.0,15.0,11.67,0.182,9.0,0.273
39395,0,21,0,6,4,M,16,7.0,30,52,249,6,64.0,,12.0,9.5,0.333,9.14,0.444
91955,0,18,1,4,4,F,21,9.0,45,73,401,7,116.0,8.0,11.0,9.2,0.438,6.82,0.556
7485,0,33,0,6,1,M,18,20.0,58,66,434,2,93.0,0.0,25.0,0.0,0.095,15.5,0.0
168049,0,14,0,6,2,F,20,10.0,44,93,772,2,50.0,9.0,15.0,10.0,0.1,8.33,0.111
52021,0,43,1,6,2,F,17,7.0,70,82,217,4,135.0,1.0,12.0,6.67,0.25,8.44,0.375
75550,0,45,0,4,1,F,23,6.0,32,73,235,2,36.0,4.0,16.0,16.0,0.125,12.0,0.167
52230,0,51,1,5,4,F,15,4.0,51,83,208,6,136.0,2.0,8.0,6.0,0.316,5.91,0.2
131229,0,30,0,3,1,M,15,0.0,11,51,212,1,25.0,,25.0,0.0,0.5,25.0,0.0
22416,0,47,0,5,3,M,15,15.0,18,78,279,2,45.0,,25.0,17.5,0.286,15.0,0.667
187639,1,23,0,2,4,M,21,5.0,18,73,527,3,50.0,,10.0,10.0,0.375,8.33,0.5
87127,1,26,0,5,2,F,19,10.0,22,49,248,2,30.0,,15.0,0.0,0.154,10.0,0.0
119209,0,36,0,6,2,M,18,8.0,41,86,393,3,56.0,5.0,15.0,12.0,0.167,11.2,0.286
102022,0,40,0,6,1,F,20,15.0,55,78,461,1,61.0,8.0,25.0,25.0,0.063,15.25,0.143
136857,0,18,1,6,2,F,18,7.0,46,24,226,7,86.0,9.0,10.0,8.33,0.35,6.62,0.3
88329,0,14,15,6,1,M,16,15.0,49,85,689,2,72.0,9.0,18.0,17.0,0.1,10.29,0.2
179025,0,12,0,6,1,F,24,0.0,39,88,463,2,150.0,7.0,50.0,0.0,0.091,50.0,0.0
83079,0,14,0,5,1,F,16,0.0,14,91,353,1,20.0,,20.0,20.0,0.2,20.0,0.5
178772,0,11,0,5,2,M,15,10.0,23,57,401,3,46.0,,20.0,10.0,0.214,15.33,0.167
16861,0,25,0,5,1,F,27,15.0,33,23,128,3,60.0,,20.0,15.0,0.143,15.0,0.1
141228,0,18,0,6,1,F,18,45.0,55,85,205,3,184.0,6.0,50.0,24.0,0.136,20.44,0.091
15697,1,43,0,6,1,U,19,10.0,35,84,283,2,42.0,4.0,20.0,0.0,0.118,14.0,0.0
33827,0,30,0,3,1,F,21,0.0,13,63,311,1,15.0,,15.0,15.0,0.143,15.0,0.333
182243,1,16,1,6,3,F,19,9.0,50,69,335,4,83.0,6.0,12.0,10.0,0.19,8.3,0.2
105546,0,34,11,5,1,F,18,15.0,52,51,398,2,92.0,8.0,18.0,0.0,0.105,11.5,0.0
111833,1,41,1,6,4,F,15,4.0,61,57,173,7,75.0,,6.0,5.0,0.333,5.0,0.3
1742,0,36,0,5,1,F,19,5.0,38,80,304,3,35.0,,15.0,10.0,0.214,11.67,0.333
117866,1,30,7,6,1,F,23,15.0,76,44,204,2,169.0,2.0,20.0,18.0,0.1,11.27,0.2
165366,1,35,0,4,1,M,23,0.0,21,97,1094,1,25.0,,25.0,25.0,0.091,25.0,0.2
184901,0,25,1,6,3,F,18,20.0,40,55,469,4,85.0,,25.0,25.0,0.19,17.0,0.1
112221,0,41,0,6,3,F,18,5.0,28,51,189,4,50.0,,15.0,13.0,0.25,12.5,0.143
19770,0,24,0,6,1,M,20,15.0,26,81,564,2,35.0,,25.0,0.0,0.143,17.5,0.0
120045,0,53,0,5,1,M,16,0.0,14,75,151,1,20.0,,20.0,20.0,0.2,20.0,0.5
175803,0,11,0,5,1,F,24,22.0,69,85,422,3,142.0,9.0,25.0,12.0,0.15,11.83,0.3
139062,1, .,1,6,2,F,24,15.0,58,85,227,3,134.0,1.0,20.0,16.0,0.136,10.31,0.091
83151,0,40,0,4,1,F,16,0.0,13,96,480,1,15.0,,15.0,15.0,0.2,15.0,0.5
112595,0,36,0,5,3,F,15,7.0,20,79,218,2,23.0,,10.0,0.0,0.25,5.75,0.0
122944,0,39,0,5,1,F,15,0.0,30,65,314,1,50.0,,25.0,0.0,0.059,25.0,0.0
21702,0,37,0,6,4,F,15,9.0,40,65,206,6,53.0,,11.0,6.33,0.3,5.89,0.3
112101,0,51,0,4,1,F,24,12.0,36,74,192,1,28.0,,15.0,0.0,0.1,7.0,0.0
16102,1,40,0,4,1,F,19,0.0,14,84,337,1,15.0,,15.0,15.0,0.167,15.0,0.333
86053,0,45,1,6,4,F,20,7.0,82,89,322,8,196.0,2.0,10.0,10.0,0.381,8.52,0.364
118346,0,36,0,4,1,M,26,22.0,51,69,199,1,66.0,,25.0,0.0,0.083,8.25,0.0
154315,0,46,0,6,1,F,19,12.0,42,75,236,2,47.0,3.0,17.0,15.0,0.111,11.75,0.111
171507,0,44,1,6,4,M,17,25.0,62,85,342,6,359.0,3.0,30.0,29.0,0.3,17.95,0.182
38894,0,10,0,6,3,F,18,15.0,29,63,221,4,42.0,,20.0,10.67,0.267,10.5,0.429
94349,0,05,0,4,1,F,24,10.0,21,81,386,2,20.0,,15.0,10.0,0.167,10.0,0.4
30539,0,49,0,5,1,M,16,12.0,72,70,305,3,117.0,5.0,15.0,12.0,0.15,9.0,0.222
76097,0,45,0,6,4,F,15,4.0,34,78,251,5,37.0,,7.0,6.0,0.294,5.29,0.25
154544,1,36,7,6,1,F,17,16.93,81,57,194,3,238.07,2.0,17.0,15.0,0.143,7.94,0.091
108638,0,41,0,6,2,F,19,12.0,72,88,249,2,150.0,5.0,20.0,0.0,0.111,12.5,0.0
130397,0,17,1,6,3,F,22,27.0,74,82,418,6,260.0,3.0,30.0,13.17,0.3,7.88,0.545
24299,0,47,0,6,2,F,15,15.0,44,85,294,3,85.0,2.0,25.0,20.0,0.15,17.0,0.111
145436,1,02,0,5,1,M,21,0.0,18,75,494,1,25.0,,25.0,25.0,0.143,25.0,0.333
112118,0,43,0,4,1,F,19,0.0,12,79,140,0,20.0,,20.0,0.0,0.0,20.0,0.0
47821,0,49,0,5,1,M,18,18.0,62,87,349,2,99.0,7.0,23.0,19.0,0.111,14.14,0.125
43549,0,10,0,5,1,M,18,5.0,39,0,0,1,47.0,,15.0,0.0,0.059,11.75,0.0
143535,1,08,0,5,2,M,17,10.0,23,64,309,2,30.0,,15.0,5.0,0.133,10.0,0.143
86083,0,39,0,6,3,F,22,7.0,38,73,191,5,42.0,,10.0,5.8,0.227,5.25,0.455
63622,0,39,11,4,1,M,16,7.0,69,87,298,1,89.0,5.0,10.0,0.0,0.056,4.94,0.0
48490,0,46,1,6,2,M,18,9.0,58,85,392,4,154.0,,11.0,10.5,0.25,7.7,0.222
97941,0,49,0,4,1,F,18,15.0,36,82,340,2,59.0,4.0,20.0,20.0,0.1,11.8,0.111
92293,1,14,0,6,4,F,16,7.0,24,96,878,4,29.0,,10.0,4.67,0.4,5.8,0.6
171566,1,40,0,6,4,M,18,9.0,29,82,272,6,82.0,,15.0,10.0,0.333,10.25,0.444
90112,0,16,0,5,1,F,26,16.0,51,88,396,1,90.0,5.0,21.0,0.0,0.048,12.86,0.0
105867,0,30,0,5,1,F,16,0.0,14,34,136,1,20.0,,20.0,0.0,0.2,20.0,0.0
112370,0,40,1,6,4,M,16,4.0,66,82,350,5,74.0,8.0,6.0,4.5,0.238,3.89,0.2
18633,0,34,0,6,2,U,16,15.0,75,80,321,2,179.0,9.0,25.0,22.5,0.1,16.27,0.222
75403,0,51,1,5,2,M,22,12.0,69,72,218,2,118.0,2.0,15.0,15.0,0.111,8.43,0.125
86658,0,40,0,4,1,F,19,0.0,12,80,360,0,20.0,,20.0,0.0,0.0,20.0,0.0
6070,0,35,0,6,1,F,14,10.0,118,89,493,2,377.0,7.0,35.0,30.0,0.1,26.93,0.091
50677,0,43,0,4,1,M,19,0.0,13,73,215,1,20.0,,20.0,20.0,0.2,20.0,0.5
19499,1,22,0,6,1,F,16,5.0,27,62,382,1,45.0,,25.0,25.0,0.071,22.5,0.167
165630,0,05,0,6,2,F,16,10.0,24,88,439,2,30.0,,15.0,15.0,0.154,10.0,0.2
93024,0,08,0,4,1,U,21,9.0,72,48,228,1,171.0,4.0,12.0,12.0,0.059,7.43,0.143
72820,0,53,0,5,1,F,16,0.0,14,76,125,1,20.0,,20.0,20.0,0.2,20.0,0.5
42624,0,51,0,6,4,F,17,4.0,25,76,232,5,36.0,,7.0,5.5,0.417,5.14,0.667
146695,1,14,0,5,1,F,16,0.0,14,97,870,1,20.0,,20.0,20.0,0.2,20.0,0.5
185904,1,14,6,5,1,F,9,12.0,65,95,651,2,92.0,,15.0,12.0,0.125,7.08,0.286
190681,0,36,0,4,1,F,26,12.0,29,67,183,1,22.0,,17.0,0.0,0.053,11.0,0.0
12666,1,35,0,6,1,M,10,100.0,39,98,274,1,344.0,,100.0,0.0,0.2,68.8,0.0
83129,0,44,0,6,4,M,21,0.0,28,86,316,4,100.0,,20.0,20.0,0.308,20.0,0.429
142022,0,44,0,4,1,M,24,6.0,22,72,341,2,26.0,,16.0,13.0,0.154,13.0,0.333
114539,1,53,1,6,4,F,16,7.0,32,81,209,6,71.0,,13.0,11.0,0.333,10.14,0.556
139,0,46,0,4,1,F,26,16.0,25,77,219,1,103.0,,21.0,0.0,0.071,14.71,0.0
173550,0,16,0,6,2,F,19,15.0,42,53,433,2,60.0,1.0,20.0,0.0,0.1,15.0,0.0
161757,0,23,0,4,1,F,19,10.0,52,81,578,1,56.0,6.0,15.0,0.0,0.063,9.33,0.0
124384,0,53,0,6,3,M,19,20.0,60,82,210,3,127.0,,25.0,22.5,0.167,14.11,0.25
103868,0,45,0,6,3,F,16,15.0,42,80,155,4,75.0,9.0,25.0,18.33,0.19,15.0,0.3
11956,0,02,1,5,2,F,17,11.0,86,95,383,4,155.0,4.0,13.0,9.0,0.19,8.61,0.273
52415,0,51,0,4,1,M,16,12.0,49,79,164,2,58.0,2.0,15.0,0.0,0.105,11.6,0.0
77442,0,40,0,6,3,M,18,5.0,24,79,414,4,32.0,,10.0,7.33,0.308,8.0,0.5
34417,0,43,0,6,3,F,15,13.0,53,88,202,5,133.0,1.0,18.0,14.33,0.227,12.09,0.273
95806,0,27,0,6,2,M,17,15.0,44,60,222,3,52.0,2.0,20.0,20.0,0.158,8.67,0.125
61078,0,44,1,6,4,M,18,5.0,37,80,366,8,119.0,,10.0,9.0,0.444,7.93,0.5
128352,0,27,1,6,4,M,20,7.0,40,68,318,8,77.0,,12.0,6.0,0.381,7.0,0.4
58792,0,43,0,6,2,F,19,10.0,20,78,237,2,30.0,,20.0,10.0,0.182,15.0,0.2
23730,0,39,5,6,1,M,21,30.0,56,91,235,3,177.0,5.0,40.0,32.5,0.143,22.13,0.182
109429,1,40,0,4,1,U,17,0.0,13,84,378,1,16.0,,16.0,16.0,0.2,16.0,0.5
108626,0,39,1,6,2,F,17,45.0,64,79,234,3,170.0,0.0,50.0,50.0,0.15,15.45,0.1
185925,1,22,1,5,2,M,5,13.0,45,67,418,3,81.0,,14.0,12.5,0.231,7.36,0.333
121634,0,17,0,6,2,M,19,22.0,55,53,402,4,136.0,4.0,25.0,19.0,0.2,17.0,0.111
156217,0,35,0,4,1,M,26,10.0,47,86,495,1,50.0,,20.0,0.0,0.059,16.67,0.0
118292,0,45,0,6,4,F,15,2.0,29,80,223,8,45.0,,7.0,5.33,0.471,5.63,0.375
70939,0,49,1,4,4,F,19,15.0,53,90,341,6,286.0,3.0,20.0,20.0,0.353,15.05,0.333
180005,0,07,0,6,2,M,18,10.0,54,51,171,3,90.0,4.0,20.0,0.0,0.143,15.0,0.0
24436,0,40,0,5,1,F,18,15.0,25,88,322,2,48.0,,25.0,10.0,0.167,16.0,0.2
71000,0,12,0,5,1,F,24,2.0,35,92,552,1,47.0,8.0,17.0,15.0,0.053,15.67,0.125
126329,0,27,0,6,1,M,18,15.0,40,75,195,3,85.0,,25.0,20.0,0.136,17.0,0.182
123179,0,35,0,6,3,M,19,5.0,41,93,869,4,55.0,9.0,10.0,10.0,0.211,9.17,0.125
88547,0,13,0,4,1,F,16,0.0,13,88,494,1,15.0,,15.0,0.0,0.2,15.0,0.0
134134,0,18,0,4,1,F,26,15.0,28,86,337,1,25.0,,20.0,0.0,0.056,12.5,0.0
170341,0,30,0,6,1,F,25,25.0,72,71,318,2,199.0,3.0,30.0,0.0,0.091,9.95,0.0
179388,0,10,0,4,1,F,18,13.0,38,1,102,1,49.0,4.0,15.0,0.0,0.071,9.8,0.0
42292,0,37,1,6,4,M,17,8.0,71,87,498,6,120.0,4.0,10.0,6.8,0.333,4.62,0.455
70969,0,44,11,4,1,F,21,8.0,68,93,391,2,105.0,8.0,10.0,10.0,0.111,5.83,0.25
160471,0,42,0,6,3,M,17,17.0,50,68,316,3,93.0,4.0,20.0,15.0,0.158,13.29,0.111
171702,0,01,8,6,1,M,18,12.0,82,0,282,1,212.0,2.0,15.0,14.0,0.045,7.85,0.091
171756,0,23,0,5,1,F,15,20.0,47,81,393,2,83.0,6.0,25.0,20.0,0.1,16.6,0.111
103775,0,37,0,4,1,M,24,10.0,25,80,204,2,30.0,,20.0,10.0,0.118,15.0,0.143
151828,1,10,0,6,2,M,18,17.0,53,67,190,2,87.0,2.0,20.0,10.0,0.1,9.67,0.111
104091,0,30,0,6,4,M,18,7.0,29,66,295,6,55.0,,12.0,8.5,0.353,7.86,0.25
12677,0, .,0,9,2,F,4,20.0,76,75,284,5,198.0,,20.0,10.0,0.238,9.9,0.091
180734,0,44,0,6,2,F,16,9.0,58,83,360,3,82.0,5.0,12.0,10.0,0.158,7.45,0.111
154672,0, .,0,5,1,F,17,0.0,14,64,417,1,20.0,,20.0,20.0,0.2,20.0,0.5
98176,0,45,0,6,1,M,17,15.0,33,76,239,2,55.0,,25.0,0.0,0.1,18.33,0.0
2525,0,14,0,9,1,F,8,17.0,29,96,633,4,49.0,,20.0,9.0,0.8,9.8,0.5
73441,0,41,10,4,1,F,19,7.0,65,82,241,3,129.0,2.0,10.0,8.0,0.167,6.79,0.143
171126,0,12,0,6,3,M,16,9.0,53,61,482,3,85.0,6.0,14.0,14.0,0.158,10.63,0.125
140988,0,10,0,6,1,M,18,10.0,32,4,139,2,40.0,,20.0,0.0,0.105,13.33,0.0
13234,0,30,1,7,2,M,13,14.0,87,31,186,4,192.0,0.0,19.0,0.0,0.211,10.11,0.0
161753,0,23,0,3,1,F,21,0.0,14,81,578,1,20.0,,20.0,20.0,0.143,20.0,0.333
41312,1,09,0,6,1,F,18,27.0,71,34,157,1,122.0,5.0,30.0,0.0,0.053,11.09,0.0
51319,0,49,0,5,3,F,16,5.0,38,92,243,4,75.0,,15.0,10.0,0.182,10.71,0.273
9138,0,29,0,6,2,F,18,17.0,123,84,378,1,248.0,6.0,27.0,0.0,0.05,17.71,0.0
162179,0,34,0,3,1,U,21,0.0,13,65,530,0,15.0,,15.0,0.0,0.0,15.0,0.0
138182,1,25,1,6,2,F,18,8.0,59,31,204,3,84.0,2.0,10.0,5.0,0.143,6.0,0.1
126446,0,24,1,6,2,F,18,10.0,72,81,447,3,169.0,8.0,13.0,10.0,0.143,8.45,0.1
140723,1,23,0,5,1,M,26,18.0,39,47,402,1,53.0,7.0,28.0,28.0,0.053,17.67,0.111
44912,0,30,0,4,1,F,16,0.0,14,86,257,1,15.0,,15.0,15.0,0.2,15.0,0.5
118186,0,23,0,5,2,F,16,0.0,15,89,372,1,50.0,,25.0,25.0,0.25,25.0,0.5
143205,0,22,5,6,1,M,25,10.0,47,66,481,3,105.0,5.0,20.0,15.0,0.136,15.0,0.091
82920,1,11,0,5,2,F,18,7.0,69,78,469,1,105.0,,10.0,0.0,0.077,5.53,0.0
174940,0,12,3,9,2,F,23,20.0,76,95,530,4,191.0,8.0,25.0,15.0,0.19,11.24,0.182
99276,1,11,0,6,1,F,19,16.0,56,70,654,2,122.0,9.0,21.0,19.5,0.095,13.56,0.182
9770,0,24,1,6,2,F,9,21.0,81,86,446,2,157.0,8.0,21.0,20.0,0.105,12.08,0.222
56585,0,10,0,6,4,M,17,3.0,26,5,50,5,32.0,,6.0,4.33,0.333,4.57,0.429
29010,1,45,0,4,1,M,16,0.0,13,88,354,1,18.0,,18.0,18.0,0.2,18.0,0.5
51903,0,41,1,6,3,F,25,4.0,70,76,255,7,85.25,3.0,5.0,3.25,0.333,2.37,0.364
28237,0,10,1,6,3,F,16,7.0,53,7,50,6,94.0,0.0,12.0,8.33,0.286,7.23,0.3
141441,0,18,0,6,3,F,17,22.0,70,76,372,3,240.0,6.0,32.0,18.33,0.15,21.82,0.3
5770,0,40,0,6,1,F,20,12.0,81,77,290,1,139.0,6.0,17.0,0.0,0.05,12.64,0.0
127843,0,31,1,6,2,F,18,7.0,64,31,140,4,81.0,,10.0,5.0,0.182,5.06,0.182
135017,0,33,0,6,2,F,15,22.0,56,80,137,3,187.0,3.0,37.0,35.0,0.15,26.71,0.091
25374,0,27,1,6,2,F,16,35.0,44,52,318,2,115.0,5.0,40.0,0.0,0.095,19.17,0.0
84891,0,45,1,5,4,F,18,3.0,70,78,220,6,88.0,,6.0,4.0,0.286,3.67,0.3
171615,0,20,0,6,2,F,18,10.0,51,58,300,3,89.0,5.0,15.0,0.0,0.158,9.89,0.0
67966,0,08,1,6,3,F,18,16.0,56,79,313,2,195.0,6.0,21.0,10.0,0.1,15.0,0.1
44500,1,48,0,6,4,F,16,10.5,64,84,169,7,121.5,0.0,13.0,8.0,0.333,7.59,0.4
182617,0,48,1,6,3,F,21,12.0,53,87,343,4,121.0,0.0,15.0,14.0,0.2,12.1,0.3
65423,1,13,1,6,3,F,17,2.0,33,88,488,6,62.0,,12.0,10.0,0.316,10.33,0.444
138289,0,25,2,3,2,F,15,8.0,69,44,218,3,85.0,,10.0,0.0,0.167,6.07,0.0
107279,1,12,0,6,4,F,17,4.0,30,73,417,4,24.0,,6.0,5.5,0.222,4.0,0.286
