CONTROL_NUMBER,DONATED,CLUSTER_CODE,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,FREQUENCY_STATUS_97NK,INCOME_GROUP,RECENT_CARD_RESPONSE_PROP,LIFETIME_CARD_PROM,DONOR_AGE,URBANICITY,LAST_GIFT_AMT,LIFETIME_PROM,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,MEDIAN_HOME_VALUE,HOME_OWNER,PCT_ATTRIBUTE4,MONTHS_SINCE_LAST_PROM_RESP,RECENT_RESPONSE_COUNT
63123,0,51,0,27,1,7.0,0.0,29,,R,25.0,68,269,86,431,H,26,24.0,2
37772,0,10,0,6,1,,0.333,6,,U,20.0,14,151,43,568,U,16,19.0,1
64481,0,37,0,36,1,3.0,0.0,18,41.0,T,20.0,44,300,77,422,U,58,28.0,1
162213,1,13,0,33,3,7.0,0.182,25,75.0,S,6.0,59,665,74,5000,H,45,16.0,4
83530,1,08,0,29,1,,0.273,25,75.0,U,36.0,63,272,68,656,U,35,21.0,3
115192,0,53,1,30,1,1.0,0.273,26,75.0,R,20.0,63,170,69,195,U,35,24.0,3
15650,0,32,0,31,2,5.0,0.364,32,66.0,C,10.0,73,236,49,398,H,23,16.0,5
156959,0,07,2,12,1,,0.091,23,,U,40.0,56,367,16,2188,U,15,18.0,2
88213,1,14,0,19,1,7.0,0.0,16,76.0,S,15.0,46,1012,99,3157,H,35,26.0,1
102207,0,31,0,29,4,2.0,0.625,20,79.0,C,5.0,54,0,0,0,H,54,16.0,6
136310,0,46,0,31,4,,0.444,14,,R,6.0,36,217,75,617,U,17,16.0,9
148360,0,20,0,37,3,,0.091,23,30.0,S,40.0,55,324,90,2369,U,44,22.0,2
67338,0,17,0,25,2,1.0,0.0,10,78.0,S,20.0,27,485,70,951,H,0,16.0,2
70881,1,51,0,27,3,3.0,0.375,14,40.0,R,20.0,36,182,90,331,H,25,16.0,3
53480,0,18,0,37,1,2.0,0.0,6,38.0,S,20.0,14,360,66,682,U,17,20.0,1
132341,0,22,0,32,1,2.0,0.0,5,84.0,C,15.0,13,374,72,942,U,50,16.0,1
102988,0, .,0,0,4,,0.5,22,42.0,?,9.0,57,267,83,419,U,0,16.0,7
186060,0,39,0,35,2,5.0,0.364,26,50.0,T,15.0,67,313,69,450,H,21,19.0,5
155567,0,19,0,19,1,,0.091,24,56.0,S,25.0,55,329,45,1391,U,20,18.0,3
110822,1,24,0,34,2,,0.125,13,,C,18.0,36,284,87,576,U,52,15.0,3
95601,0,20,0,20,2,2.0,0.3,25,78.0,S,13.0,60,273,31,600,U,35,16.0,4
190515,0,40,0,30,2,5.0,0.286,20,64.0,T,15.0,54,420,84,720,U,26,15.0,3
7169,0,03,0,42,2,,0.286,32,,U,5.0,85,247,87,987,U,49,18.0,2
66987,0,35,0,33,1,7.0,0.333,7,45.0,T,25.0,15,508,86,1389,H,11,20.0,1
54850,0, .,0,0,1,,0.111,13,,?,25.0,29,143,80,339,U,0,18.0,2
46844,1,51,0,29,2,1.0,0.143,23,,R,10.0,54,219,76,453,U,36,18.0,3
32282,0,28,0,51,1,3.0,0.2,29,51.0,C,15.0,66,344,86,1153,H,55,24.0,2
180428,1,40,0,37,1,6.0,0.0,24,49.0,T,20.0,53,426,88,1390,H,27,18.0,2
85658,0,49,0,27,2,1.0,0.4,31,,R,10.0,70,246,87,310,U,33,17.0,5
159208,0,34,0,27,3,6.0,0.091,24,53.0,T,50.0,62,424,69,5000,H,36,18.0,5
183932,0,45,0,36,2,6.0,0.3,28,42.0,R,15.0,71,206,81,534,H,39,18.0,4
3964,0, .,0,0,3,2.0,0.091,27,,?,50.0,120,251,22,938,U,0,18.0,4
145105,0,01,1,39,1,5.0,0.333,9,,U,21.0,25,509,95,1446,H,31,23.0,2
86480,0,25,8,47,2,2.0,0.143,10,28.0,C,15.0,25,178,50,423,U,76,18.0,3
112480,0,30,0,27,2,,0.364,28,,C,35.0,73,154,47,345,U,18,24.0,6
37304,1,12,0,29,1,5.0,0.3,27,58.0,S,10.0,63,244,83,640,H,11,18.0,4
115125,0,51,0,30,4,,0.5,16,,R,17.0,42,151,81,260,U,32,20.0,5
99599,0,16,0,39,3,5.0,0.143,28,63.0,S,6.0,70,364,92,659,H,34,21.0,2
48114,0,51,0,26,2,2.0,0.0,22,76.0,R,14.0,57,221,78,415,U,39,15.0,3
133101,0,35,0,38,1,5.0,0.0,10,51.0,T,16.0,27,413,90,774,H,54,18.0,1
142032,0,44,0,28,1,6.0,0.25,7,61.0,R,15.0,21,345,62,753,H,23,17.0,2
47643,0,50,0,26,2,,0.0,17,,R,20.0,51,203,77,381,U,45,19.0,2
52461,0,36,0,32,4,4.0,0.625,24,85.0,T,5.0,58,204,59,575,H,49,20.0,6
70411,0,43,0,36,1,3.0,0.111,18,77.0,R,20.0,47,175,82,330,U,35,24.0,1
154360,0,23,1,65,2,5.0,0.222,24,64.0,C,13.0,60,338,92,2393,H,76,16.0,2
21373,1,39,0,22,4,4.0,0.667,10,38.0,T,5.0,24,243,75,498,U,24,16.0,4
164593,0,11,1,18,1,5.0,0.333,6,37.0,S,15.0,15,481,63,2540,U,22,20.0,1
2244,0,17,0,34,1,5.0,0.375,25,53.0,S,20.0,70,290,48,843,H,18,21.0,3
161763,1,41,0,0,2,1.0,0.2,25,50.0,T,10.0,66,578,81,4058,U,0,23.0,2
139135,0,51,1,12,3,1.0,0.25,8,,R,5.0,18,65,86,150,U,0,15.0,2
162294,0,11,0,21,2,6.0,0.182,25,39.0,S,40.0,59,524,73,4445,H,23,15.0,3
59985,0,13,0,45,2,3.0,0.143,13,31.0,S,16.0,37,558,95,851,U,24,16.0,1
176591,0,43,0,46,1,2.0,0.25,6,58.0,R,20.0,16,217,60,539,H,17,24.0,1
110875,0,50,0,23,1,2.0,0.143,11,,R,25.0,25,153,74,258,U,27,18.0,2
188133,1,41,0,0,4,,1.0,13,,T,3.0,32,478,85,828,U,0,17.0,5
147119,0,24,0,25,4,5.0,0.4,14,73.0,C,8.0,33,428,66,3124,H,16,18.0,5
12428,0,31,0,22,4,,0.455,22,,C,28.0,83,156,14,375,U,44,16.0,8
163656,0,01,0,41,1,3.0,0.0,31,,U,20.0,71,447,32,5667,H,46,30.0,1
109778,1,24,0,12,4,4.0,0.375,13,79.0,C,10.0,32,413,79,944,H,71,16.0,5
74810,0,40,0,29,1,3.0,0.1,20,49.0,T,15.0,51,309,78,557,H,33,32.0,1
33077,0,39,52,30,1,1.0,0.0,20,75.0,T,20.0,48,278,27,662,H,3,26.0,1
64418,0,24,0,32,1,4.0,0.0,21,85.0,C,15.0,57,696,96,1174,H,37,20.0,1
90494,0,24,0,31,1,7.0,0.0,29,45.0,C,15.0,62,466,97,1209,H,24,18.0,2
188170,1, .,0,0,2,,0.5,19,,?,10.0,41,374,79,1098,U,0,21.0,2
183427,0,52,0,28,3,2.0,0.125,18,81.0,R,10.0,45,190,57,455,H,46,17.0,3
172288,0, .,0,0,1,,0.3,23,,?,17.0,60,454,78,1513,U,0,21.0,4
165799,0,21,0,0,4,,0.333,19,41.0,S,11.0,56,0,67,875,U,0,17.0,4
84220,0,46,0,36,1,5.0,0.5,31,74.0,R,10.0,73,219,79,579,H,43,25.0,6
22170,0,38,0,38,2,1.0,0.222,32,47.0,T,13.0,83,236,59,687,U,22,19.0,3
186162,0,02,0,25,4,7.0,0.8,34,72.0,U,3.0,79,622,97,1961,H,55,16.0,9
59249,1,14,0,26,1,6.0,0.5,5,22.0,S,15.0,13,762,96,1781,H,22,16.0,1
60373,0,17,1,27,2,,0.2,30,81.0,S,10.0,66,250,19,754,U,17,23.0,3
2058,0,43,3,32,4,6.0,0.5,13,,R,15.0,42,218,67,605,H,13,19.0,5
35417,0,22,0,41,4,,0.364,29,,C,5.0,73,334,74,1238,U,44,16.0,6
161693,0,27,5,26,1,4.0,0.0,13,61.0,C,20.0,34,327,45,1528,H,16,19.0,2
133721,0, .,0,0,2,2.0,0.25,12,79.0,?,16.0,28,228,58,674,H,0,20.0,3
21240,0,42,0,34,1,4.0,0.182,20,53.0,R,40.0,46,232,74,828,H,37,25.0,2
160424,1,40,0,23,1,5.0,0.0,15,65.0,T,17.0,42,299,73,1582,H,46,18.0,1
107195,1,27,0,32,1,4.0,0.5,5,49.0,C,15.0,13,254,67,480,U,0,16.0,1
82548,1,08,2,28,2,2.0,0.182,23,59.0,U,10.0,56,251,61,634,H,24,18.0,4
42348,0,30,0,32,1,2.0,0.25,26,37.0,C,10.0,65,207,56,498,U,43,21.0,2
48006,1,43,0,33,4,2.0,0.286,11,,R,10.0,24,237,83,486,U,34,16.0,4
165308,0,02,0,33,1,6.0,0.0,6,41.0,U,20.0,15,699,89,2848,H,19,20.0,1
186109,1,40,1,30,3,3.0,0.222,31,84.0,T,10.0,88,353,74,590,U,21,16.0,5
137945,0,20,2,41,3,3.0,0.182,17,59.0,S,14.0,38,322,63,1028,H,47,21.0,4
94349,0,05,0,20,1,4.0,0.4,8,59.0,U,15.0,21,386,81,706,H,54,24.0,2
22622,0,40,0,32,1,2.0,0.1,32,77.0,T,18.0,82,418,86,710,U,17,24.0,2
128332,0,36,1,33,1,,0.0,5,,T,15.0,13,199,78,347,U,37,,0
69488,0,40,0,35,1,1.0,0.222,29,65.0,T,10.0,74,406,87,740,U,19,21.0,2
76758,1,45,0,24,3,3.0,0.4,31,69.0,R,10.0,77,282,78,275,H,38,16.0,5
13477,0,49,0,31,2,2.0,0.273,36,81.0,R,10.0,92,296,85,514,H,22,17.0,4
88206,0,13,0,41,3,4.0,0.1,15,,S,20.0,40,491,95,1390,H,58,17.0,4
112837,0,47,0,32,2,1.0,0.25,11,63.0,R,15.0,30,257,79,411,U,34,16.0,3
25312,0,42,0,34,2,3.0,0.182,23,65.0,R,10.0,56,292,61,475,H,38,24.0,3
1006,1,46,0,25,1,5.0,0.364,44,66.0,R,15.0,115,207,78,385,H,38,16.0,7
115369,0,49,1,33,1,,0.2,8,,R,15.0,21,274,81,521,U,31,16.0,2
71491,1,27,0,36,1,2.0,0.0,13,,C,25.0,28,381,72,786,U,37,17.0,1
110988,0,50,0,26,1,7.0,0.0,17,,R,25.0,42,235,73,493,H,52,,0
37861,1,06,0,15,1,3.0,0.125,30,69.0,U,15.0,64,273,77,934,H,44,26.0,2
72005,0,49,2,34,2,5.0,0.0,33,59.0,R,16.0,71,286,74,446,H,30,17.0,3
175782,1,17,0,38,1,6.0,0.333,5,,S,15.0,13,319,34,953,U,17,21.0,1
21264,0,51,1,24,1,,0.143,10,,R,20.0,21,271,88,556,U,13,18.0,2
77630,0,35,0,24,3,7.0,0.1,26,47.0,T,15.0,69,518,95,1026,U,15,17.0,3
159472,1,52,1,14,1,5.0,0.222,15,82.0,R,15.0,31,231,75,621,H,20,18.0,4
10570,0,48,0,40,2,1.0,0.2,28,66.0,R,15.0,106,243,54,563,U,48,15.0,3
162,0,20,0,47,1,2.0,0.182,37,76.0,S,15.0,99,255,48,813,U,23,20.0,4
118715,0,30,0,18,2,4.0,0.111,21,46.0,C,8.0,58,452,67,788,H,10,21.0,2
50081,0,38,1,28,1,4.0,0.5,6,40.0,T,20.0,14,285,48,844,U,26,16.0,1
86353,0,37,0,26,2,4.0,0.143,11,67.0,T,20.0,24,151,39,655,H,61,19.0,2
45518,0,37,0,45,4,3.0,0.667,13,70.0,T,7.0,29,227,90,882,H,61,18.0,8
174947,1,49,0,35,4,3.0,0.6,8,83.0,R,3.0,21,267,77,533,U,36,15.0,6
90626,0,01,0,32,1,5.0,0.2,15,,U,15.0,36,155,49,450,H,21,24.0,3
168725,0,30,0,16,1,2.0,0.0,27,77.0,C,20.0,62,194,52,567,H,44,30.0,2
50882,0,31,0,0,1,4.0,0.273,24,60.0,C,12.0,62,228,34,912,H,0,24.0,5
18508,1,36,0,26,3,4.0,0.111,14,,T,10.0,35,301,63,635,U,31,20.0,4
57928,1,51,0,28,3,,0.222,20,74.0,R,13.0,48,215,76,453,U,31,18.0,4
94799,0,03,0,16,1,,0.5,6,,U,23.0,16,310,45,1094,U,29,17.0,1
154859,0,18,0,22,2,4.0,0.222,14,28.0,S,11.0,34,483,91,1419,H,18,16.0,4
122576,0,34,0,52,1,7.0,0.25,27,77.0,T,17.0,61,548,77,1136,U,45,21.0,2
45201,1,04,0,28,3,,0.333,7,,U,11.0,16,282,31,817,U,67,15.0,3
170489,1,35,0,29,1,,0.0,9,,T,20.0,23,470,93,2128,U,18,18.0,2
190408,1,28,0,45,2,,0.5,17,66.0,C,10.0,36,255,90,713,U,66,19.0,3
12350,0,35,0,0,2,5.0,0.091,27,47.0,T,50.0,85,425,98,1074,H,0,19.0,3
91707,1,35,0,26,1,5.0,0.333,5,,T,25.0,10,550,94,1852,H,31,19.0,1
73762,1,18,0,25,2,7.0,0.222,30,51.0,S,25.0,74,430,64,840,H,15,17.0,2
11737,0,45,0,40,2,2.0,0.182,23,,R,31.0,74,197,74,417,U,38,20.0,3
168389,1,01,0,13,1,,0.0,5,,U,15.0,13,372,24,2930,U,21,,0
33773,1,42,0,58,1,7.0,0.286,10,,R,16.0,22,308,73,915,H,47,24.0,2
133793,0,38,0,36,1,5.0,0.182,23,51.0,T,20.0,57,141,48,468,H,43,32.0,2
63742,0,51,0,36,1,3.0,0.0,5,78.0,R,20.0,12,401,94,708,H,34,18.0,1
83094,1,39,0,33,2,3.0,0.0,18,85.0,T,18.0,48,246,65,699,U,21,18.0,2
119843,1,45,0,32,1,1.0,0.111,24,85.0,R,15.0,63,185,52,417,U,41,24.0,1
150548,0,12,1,20,2,6.0,0.0,6,,S,20.0,16,616,71,3625,H,18,15.0,2
101033,1,39,0,17,1,4.0,0.167,18,40.0,T,17.0,45,387,94,696,H,6,18.0,1
59982,0,10,0,24,1,2.0,0.0,8,80.0,U,15.0,23,111,29,352,U,57,26.0,2
154122,0,39,0,18,3,5.0,0.333,10,46.0,T,13.0,24,334,65,740,H,38,19.0,3
156473,1,07,0,16,4,4.0,0.5,23,81.0,U,3.0,59,315,29,2130,H,34,17.0,7
138999,1,41,0,48,4,3.0,0.273,27,81.0,T,10.0,68,284,76,624,H,55,17.0,6
171998,0,03,1,45,1,,0.0,8,,U,25.0,19,514,75,1795,U,46,26.0,1
69979,0,49,0,33,3,2.0,0.333,13,45.0,R,10.0,31,373,92,561,H,9,18.0,6
77925,0,35,0,34,1,4.0,0.1,15,56.0,T,50.0,36,443,98,857,H,28,20.0,2
12011,1,31,0,0,1,5.0,0.167,25,69.0,C,6.0,90,691,91,3514,H,0,21.0,1
170553,0,02,0,48,2,6.0,0.5,8,67.0,U,15.0,19,488,84,1464,H,44,16.0,2
122295,0,10,0,8,1,,0.1,17,,U,16.0,43,0,0,0,U,0,21.0,2
161726,1,35,5,41,3,4.0,0.545,26,51.0,T,7.0,61,438,89,2453,H,45,23.0,6
12954,0, .,0,0,2,2.0,0.0,22,87.0,?,35.0,64,189,99,521,H,0,18.0,2
89512,0,25,0,15,1,2.0,1.0,4,39.0,C,20.0,10,254,42,810,U,31,15.0,1
163161,0,06,0,16,2,5.0,0.2,28,75.0,U,15.0,72,366,65,2250,H,23,21.0,2
182890,0,44,0,27,1,5.0,0.2,21,63.0,R,15.0,51,342,86,582,H,34,17.0,2
52188,0,36,0,25,1,,0.125,23,,T,18.0,59,197,71,439,U,36,18.0,1
185514,0,10,0,10,3,4.0,0.2,20,40.0,U,0.0,50,174,35,967,H,0,20.0,4
180501,0,40,1,47,3,5.0,0.25,21,45.0,T,21.0,54,257,85,755,H,41,19.0,4
11147,0,30,0,39,3,2.0,0.5,8,17.0,C,10.0,44,222,92,390,H,45,15.0,3
184140,0,12,1,46,1,,0.0,14,,S,15.0,34,410,94,811,U,41,26.0,1
151352,0,12,0,29,1,,0.333,6,,S,20.0,15,470,72,2386,U,40,21.0,1
129641,0,14,1,33,1,5.0,0.0,31,68.0,S,40.0,66,755,89,1579,H,29,17.0,1
108463,0,03,1,37,1,,0.25,6,,U,15.0,17,212,61,651,U,48,23.0,1
62629,0,36,0,34,3,5.0,0.2,28,63.0,T,10.0,66,220,67,589,U,15,19.0,4
4644,0,11,0,28,2,5.0,0.3,21,74.0,S,6.0,87,461,62,1072,H,21,16.0,4
146241,1,02,0,24,1,6.0,0.0,11,63.0,U,50.0,24,655,92,3196,H,22,19.0,2
71312,1,44,0,20,4,4.0,0.5,31,59.0,R,3.0,68,350,90,497,H,12,18.0,8
107709,0,40,0,35,1,3.0,0.0,15,,T,30.0,35,260,67,441,U,36,26.0,2
170708,0,22,0,21,1,5.0,0.0,23,73.0,C,25.0,58,375,50,2277,H,60,17.0,2
109950,0,32,0,12,3,4.0,0.143,10,,C,5.0,26,0,0,0,U,41,15.0,4
30154,0,34,0,36,1,,0.167,20,78.0,T,15.0,52,368,85,1014,U,62,19.0,2
184155,0,33,0,36,4,1.0,0.364,28,,C,5.0,70,166,90,463,H,59,15.0,9
94205,0,05,0,36,3,5.0,0.3,23,59.0,U,5.0,53,361,90,919,H,50,21.0,4
159003,0,13,0,38,1,,0.0,16,58.0,S,100.0,41,437,60,4233,U,32,18.0,1
113155,0,32,0,20,1,2.0,0.5,6,63.0,C,20.0,14,327,86,577,H,0,16.0,1
9945,0,43,0,22,1,1.0,0.0,19,47.0,R,20.0,73,228,81,506,U,19,,0
79389,1,36,3,27,3,5.0,0.4,16,66.0,T,13.0,37,316,63,492,H,68,21.0,5
138991,0,41,0,48,1,1.0,0.0,14,55.0,T,20.0,34,173,78,480,U,55,15.0,1
31953,1,34,1,26,1,4.0,0.2,24,,T,15.0,54,471,73,1210,U,38,25.0,2
76613,0,27,0,33,1,4.0,0.5,6,47.0,C,25.0,13,271,65,496,H,32,16.0,1
74701,1,53,0,41,1,,0.125,17,78.0,R,20.0,44,206,80,360,U,52,29.0,1
17664,0,32,0,30,1,1.0,0.0,4,59.0,C,20.0,10,163,30,574,H,29,15.0,1
155423,0,10,0,45,1,,0.5,6,,U,25.0,14,215,37,940,U,20,17.0,1
185505,0,33,0,36,2,,0.2,38,,C,10.0,97,215,62,641,U,51,18.0,3
183925,0,46,0,32,1,5.0,0.111,20,41.0,R,30.0,47,258,65,363,H,40,18.0,2
55462,0,47,2,31,3,,0.143,11,,R,10.0,26,185,78,402,U,46,18.0,4
185248,0,08,5,21,1,6.0,0.111,28,48.0,U,15.0,86,364,98,788,H,23,18.0,3
13949,0,36,0,47,3,4.0,0.4,15,,T,10.0,62,375,86,844,H,27,17.0,6
15945,0,36,0,25,1,2.0,0.4,8,67.0,T,20.0,19,155,59,405,H,33,23.0,2
45503,1,33,0,42,3,5.0,0.1,26,60.0,C,10.0,64,212,69,616,H,62,19.0,5
56779,0,26,0,36,3,1.0,0.444,14,83.0,C,10.0,34,167,37,770,U,63,15.0,5
7700,0,27,0,31,2,1.0,0.1,24,76.0,C,15.0,78,282,49,641,H,23,16.0,2
165696,0,22,1,22,1,,0.286,15,,C,15.0,38,639,54,3567,U,12,22.0,2
65415,0,13,0,38,3,5.0,0.5,8,61.0,S,16.0,20,425,98,1083,H,48,16.0,3
183793,1,24,3,32,2,,0.333,10,,C,15.0,25,373,79,747,U,13,19.0,3
109567,0,41,0,28,1,7.0,0.111,21,44.0,T,20.0,55,241,90,591,U,35,16.0,1
95246,0,35,0,30,1,5.0,0.0,25,84.0,T,10.0,71,493,90,991,U,23,18.0,2
178597,1,14,0,43,1,3.0,0.0,9,65.0,S,16.0,26,632,92,2132,H,20,18.0,1
185437,0,21,0,7,1,,0.25,6,,S,5.0,25,233,47,568,U,75,24.0,1
58043,0,51,0,22,1,7.0,0.0,12,47.0,R,20.0,28,138,75,300,H,38,15.0,2
131032,1,39,0,28,1,5.0,0.333,18,39.0,T,20.0,39,264,67,524,H,20,23.0,2
17561,0,22,1,24,4,5.0,0.111,27,,C,14.0,65,384,48,1046,H,32,23.0,3
172018,0,04,0,15,1,2.0,0.143,25,73.0,U,10.0,71,252,30,1188,U,19,21.0,2
129223,0,12,0,42,1,,0.0,17,78.0,S,15.0,48,173,40,652,U,25,18.0,1
185460,0,13,2,34,1,7.0,0.1,33,80.0,S,25.0,85,798,85,2083,H,39,21.0,1
119083,0,40,0,46,2,6.0,0.2,9,79.0,T,17.0,20,314,88,875,H,50,19.0,2
33011,0,12,8,33,2,5.0,0.5,5,36.0,S,6.0,13,453,84,894,H,10,17.0,1
79694,0,20,1,31,1,,0.125,23,81.0,S,16.0,61,292,54,694,U,42,17.0,1
133770,0,42,0,39,1,2.0,0.111,20,36.0,R,15.0,50,251,78,515,H,38,15.0,2
148981,0,24,0,25,2,4.0,0.5,8,65.0,C,20.0,19,586,72,2651,H,18,16.0,2
7238,1,36,0,31,2,,0.0,30,,T,10.0,68,234,85,374,U,66,18.0,3
33393,1,35,0,47,1,4.0,0.125,11,46.0,T,25.0,27,473,85,1571,H,27,26.0,2
176261,0,40,0,34,1,,0.333,5,,T,15.0,13,281,76,639,U,28,20.0,1
14740,0,19,0,21,3,3.0,0.143,30,79.0,S,9.0,109,372,70,1679,H,27,19.0,3
53522,0,13,1,48,1,7.0,0.222,20,34.0,S,15.0,48,515,82,1191,H,65,18.0,3
68352,0,08,0,35,1,2.0,0.125,20,52.0,U,25.0,50,329,65,325,U,14,21.0,1
190099,0,12,0,41,1,,0.5,6,,S,16.0,11,342,90,1503,U,25,23.0,2
100265,0,12,0,37,4,3.0,0.3,14,49.0,S,12.0,34,423,91,885,H,50,19.0,5
78199,1,24,0,28,1,7.0,0.222,25,51.0,C,15.0,65,0,0,0,H,26,21.0,2
186448,1,13,0,31,3,,0.333,24,,S,10.0,73,610,68,5725,U,76,19.0,6
119664,0,34,2,36,4,,0.444,16,,T,25.0,47,594,74,1366,U,24,20.0,6
14973,0, .,0,0,3,,0.333,7,,?,11.0,17,0,0,0,U,0,21.0,1
85595,0,36,0,36,4,,0.5,8,,T,6.0,19,197,71,470,U,38,17.0,2
86985,1,27,0,30,2,5.0,0.273,24,53.0,C,10.0,62,419,84,832,U,14,16.0,4
77700,0,44,0,20,3,2.0,0.5,12,45.0,R,8.0,29,377,83,708,H,23,21.0,5
182398,0,27,0,46,2,2.0,0.111,27,50.0,C,10.0,71,391,84,883,H,28,15.0,3
82580,1,30,0,25,3,2.0,0.1,33,87.0,C,7.0,76,209,54,575,H,24,18.0,4
145905,1,11,0,26,1,5.0,0.333,13,86.0,S,20.0,30,346,40,2328,H,37,21.0,4
136025,0,21,0,53,4,,0.364,22,73.0,S,15.0,52,241,90,558,U,58,16.0,5
106862,1,18,11,36,3,4.0,0.222,30,46.0,S,5.0,68,362,83,600,H,21,15.0,5
34767,0,51,0,34,4,3.0,0.273,33,66.0,R,8.0,86,199,84,463,H,43,18.0,7
34068,0,26,26,34,4,4.0,0.429,11,32.0,C,5.0,26,297,39,889,H,28,15.0,6
142478,0,09,0,6,3,5.0,0.5,6,62.0,U,10.0,14,246,19,3989,H,34,15.0,2
166760,0,24,0,32,2,,0.222,13,82.0,C,13.0,28,549,60,4411,U,38,18.0,4
190488,1,34,1,20,4,7.0,0.545,27,48.0,T,19.0,77,359,15,1182,U,9,19.0,8
181034,0,36,0,50,2,4.0,0.5,8,33.0,T,25.0,19,231,74,598,H,27,16.0,2
100174,0,08,0,34,2,1.0,0.25,8,71.0,U,20.0,20,364,92,659,H,55,16.0,2
24212,1,36,3,48,3,7.0,0.333,10,53.0,T,10.0,24,767,97,2817,H,39,20.0,2
49860,1,18,0,40,4,4.0,0.455,29,62.0,S,4.0,72,318,67,670,H,0,15.0,7
151596,0,10,8,37,1,1.0,0.1,33,65.0,U,17.0,78,186,44,675,U,43,17.0,4
143177,0,02,0,24,2,3.0,0.273,22,80.0,U,10.0,54,664,98,5813,H,67,24.0,4
185703,0,11,0,56,1,,0.167,27,67.0,S,5.0,75,177,96,613,U,83,21.0,1
52547,1,43,2,27,4,4.0,0.6,15,57.0,R,5.0,32,147,85,309,H,21,18.0,9
96729,0,30,0,24,4,,0.333,15,,C,8.0,36,302,70,462,U,44,17.0,5
64501,0,43,1,29,2,2.0,0.0,6,,R,6.0,18,258,77,264,U,49,20.0,1
32857,1,27,9,38,2,4.0,0.4,22,55.0,C,15.0,55,352,84,540,H,26,16.0,2
66087,1,38,0,26,1,5.0,0.1,31,47.0,T,15.0,66,414,56,554,H,13,22.0,2
51892,0,38,0,28,1,,0.091,21,,T,20.0,55,92,42,295,U,35,20.0,2
55755,0,23,1,66,4,5.0,0.444,13,66.0,C,12.0,29,429,89,970,H,60,17.0,7
79747,1,51,0,21,2,2.0,0.2,9,83.0,R,15.0,21,211,76,329,H,37,19.0,2
44715,1,28,0,55,1,2.0,0.0,23,71.0,C,10.0,52,241,89,646,H,70,17.0,1
12676,0,40,0,33,3,2.0,0.182,26,78.0,T,25.0,89,364,77,809,U,37,15.0,5
162762,0,20,0,35,1,4.0,0.167,15,,S,15.0,44,421,80,2727,H,29,18.0,2
21133,1,46,5,48,4,,0.4,15,,R,7.0,34,238,75,863,U,33,15.0,8
66698,0,41,2,33,4,1.0,0.545,33,75.0,T,20.0,80,192,54,534,H,26,21.0,7
132145,1,46,0,47,1,7.0,0.286,27,,R,12.0,66,200,74,589,U,36,21.0,2
52592,1,39,1,35,3,6.0,0.273,23,55.0,T,10.0,55,313,89,667,H,40,18.0,4
131954,0,46,0,42,1,,0.0,26,,R,25.0,63,77,15,335,U,39,19.0,1
27753,0,12,0,33,1,5.0,0.0,21,54.0,S,18.0,49,532,78,1121,H,14,26.0,1
109330,0,24,0,39,1,5.0,0.0,15,63.0,C,15.0,44,498,91,775,H,46,26.0,1
97933,0,48,0,46,1,4.0,0.0,30,,R,25.0,72,210,70,391,H,44,15.0,1
149199,1,02,0,18,3,,0.111,14,,U,10.0,35,481,75,2667,U,41,22.0,4
188828,0,53,0,30,3,,0.273,32,51.0,R,10.0,81,140,79,217,U,47,18.0,5
43010,1,42,0,31,1,5.0,0.111,15,52.0,R,25.0,46,220,61,560,H,40,22.0,2
18155,0,46,2,24,2,4.0,0.1,23,66.0,R,13.0,60,254,81,494,H,46,19.0,3
20821,1,36,0,30,3,2.0,0.273,26,45.0,T,10.0,67,286,72,631,U,36,20.0,5
163494,0,01,0,33,2,,0.125,20,,U,6.0,51,399,13,5733,U,35,18.0,4
112304,0,39,0,35,1,7.0,0.333,5,46.0,T,15.0,13,310,61,622,H,24,21.0,1
114109,0,23,0,53,4,6.0,0.182,37,80.0,C,37.0,79,395,87,579,H,57,18.0,3
173378,0,38,0,28,2,,0.091,30,27.0,T,20.0,69,274,37,1148,U,29,15.0,5
81700,0,27,0,22,4,3.0,0.273,31,76.0,C,5.0,75,292,59,576,H,30,16.0,7
7402,1,03,1,25,1,7.0,0.1,23,59.0,U,75.0,72,309,53,2915,H,53,21.0,1
37318,0,18,0,31,4,3.0,0.5,21,63.0,S,20.0,52,443,79,1116,H,22,15.0,6
60638,0,17,2,17,4,1.0,0.222,16,78.0,S,6.0,36,223,11,876,U,27,17.0,5
31489,0,50,0,13,1,4.0,0.0,26,,R,10.0,68,206,73,412,U,65,26.0,1
102706,1,24,1,37,3,7.0,0.7,27,42.0,C,5.0,66,401,80,835,H,35,21.0,7
85637,0,53,0,34,1,1.0,0.0,31,,R,25.0,73,114,65,346,U,42,18.0,2
91042,0,21,0,40,1,4.0,0.0,13,,S,25.0,34,233,51,480,H,57,20.0,1
27650,0,18,0,34,4,5.0,0.667,7,,S,7.0,23,418,88,904,H,13,16.0,3
117137,1,20,0,27,3,2.0,0.667,10,31.0,S,10.0,27,587,94,988,H,43,16.0,4
164424,0,14,0,37,1,5.0,0.0,18,68.0,S,15.0,46,880,92,4922,H,36,16.0,1
129906,0,21,0,0,3,,0.3,33,62.0,S,3.0,74,160,25,575,U,0,23.0,4
