CONTROL_NUMBER,DONATED,CLUSTER_CODE,RECENT_RESPONSE_COUNT,RECENCY_STATUS_96NK,LIFETIME_MIN_GIFT_AMT,LIFETIME_GIFT_COUNT,MONTHS_SINCE_LAST_GIFT,LIFETIME_CARD_PROM,LIFETIME_MAX_GIFT_AMT,RECENT_AVG_GIFT_AMT,LIFETIME_PROM,DONOR_AGE,MONTHS_SINCE_FIRST_GIFT,MONTHS_SINCE_LAST_PROM_RESP,URBANICITY,CARD_PROM_12,FILE_AVG_GIFT,LAST_GIFT_AMT,LIFETIME_AVG_GIFT_AMT
169678,1,12,3,A,10.0,5,18,16,16.0,13.33,35,73.0,40,18.0,S,6,13.0,16.0,13.0
107516,0,49,3,A,3.0,5,16,14,10.0,7.33,35,62.0,50,16.0,R,6,6.0,10.0,6.0
140592,0,41,1,A,1.5,22,16,26,14.0,14.0,64,63.0,99,16.0,T,5,3.98,14.0,3.98
74085,0,51,1,A,10.0,3,21,12,15.0,15.0,34,,45,21.0,R,4,12.33,15.0,12.33
83922,0,18,2,A,5.0,5,19,17,15.0,15.0,44,54.0,77,19.0,S,5,11.4,15.0,11.4
153450,1,09,3,S,5.0,10,18,27,50.0,30.0,62,,84,18.0,U,6,24.5,35.0,24.5
48650,0,49,2,S,5.0,10,19,26,15.0,11.0,60,62.0,122,19.0,R,6,8.8,12.0,8.8
104049,1,53,5,S,3.0,12,17,17,5.0,3.4,46,,69,17.0,R,6,3.17,5.0,3.17
115945,0,09,2,N,15.0,2,16,7,17.0,16.0,18,,20,16.0,U,5,16.0,17.0,16.0
168315,0,02,1,A,20.0,3,25,16,30.0,30.0,36,48.0,56,25.0,U,4,25.0,30.0,25.0
144415,0,15,1,A,20.0,15,17,31,40.0,30.0,77,,116,17.0,S,6,27.8,30.0,27.8
77157,0,48,12,S,2.0,34,17,28,5.0,2.92,69,76.0,105,17.0,R,6,2.82,3.0,2.82
37768,0,28,2,A,3.0,10,19,24,14.0,13.0,60,33.0,101,19.0,C,6,8.1,14.0,8.1
134159,1,40,1,E,20.0,1,15,4,20.0,20.0,10,,15,15.0,T,3,20.0,20.0,20.0
90572,0,24,6,A,5.0,12,18,28,10.0,7.33,57,73.0,123,18.0,C,6,6.75,7.0,6.75
78840,0,16,8,S,5.0,17,18,21,12.0,9.13,55,53.0,68,18.0,S,6,7.76,12.0,7.76
73623,0,17,1,A,5.0,13,19,21,15.0,15.0,60,73.0,112,19.0,S,2,11.85,15.0,11.85
137695,0,53,2,E,3.0,3,15,8,20.0,12.5,22,49.0,33,15.0,R,3,9.33,20.0,9.33
3937,0,51,1,A,5.0,14,14,15,20.0,20.0,70,,119,22.0,R,4,10.5,10.0,10.5
101410,0,27,2,A,3.0,22,23,30,20.0,15.0,63,51.0,127,23.0,C,5,8.27,20.0,8.27
112521,0,26,7,S,5.0,21,25,22,29.0,25.14,57,48.0,68,25.0,C,4,21.05,29.0,21.05
70165,0,28,2,A,20.0,2,17,12,25.0,22.5,30,73.0,33,17.0,C,6,22.5,25.0,22.5
138291,0,23,2,A,10.0,6,24,20,20.0,17.5,45,34.0,80,24.0,C,6,13.33,20.0,13.33
43149,0,26,3,S,5.0,19,17,31,20.0,15.67,78,72.0,127,17.0,C,6,12.89,17.0,12.89
106199,0,46,1,F,15.0,1,16,5,15.0,15.0,13,75.0,16,16.0,R,4,15.0,15.0,15.0
67047,0,21,3,A,5.0,10,18,19,10.0,8.33,47,55.0,57,21.0,S,6,7.5,10.0,7.5
97687,0,24,3,N,5.0,3,18,9,20.0,11.67,23,40.0,23,18.0,C,6,11.67,10.0,11.67
25214,1,35,2,A,10.0,6,25,20,15.0,15.0,46,46.0,57,25.0,T,6,12.0,15.0,12.0
64346,0,27,1,F,25.0,1,20,6,25.0,25.0,16,83.0,20,20.0,C,5,25.0,25.0,25.0
92079,1,12,4,A,5.0,13,18,25,20.0,15.25,64,82.0,81,18.0,S,6,12.31,20.0,12.31
73400,0,30,6,A,3.0,11,21,20,20.0,11.0,52,85.0,76,21.0,C,6,8.45,12.0,8.45
44428,0,28,5,N,5.0,5,17,9,7.0,5.4,22,75.0,24,17.0,C,6,5.4,7.0,5.4
133774,0,42,2,A,3.0,8,18,17,16.0,15.0,49,73.0,77,18.0,R,4,8.25,16.0,8.25
170370,0,40,4,A,10.0,4,16,10,20.0,14.5,26,61.0,32,16.0,T,6,14.5,20.0,14.5
27473,0,41,1,A,3.0,10,18,27,21.0,20.0,63,62.0,119,18.0,T,6,10.9,20.0,10.9
379,0, .,2,A,5.0,10,18,22,15.0,12.5,51,,85,18.0,?,6,8.5,15.0,8.5
93980,0,05,1,A,10.0,4,26,18,15.0,15.0,43,37.0,81,26.0,U,4,11.25,15.0,11.25
110721,0,36,1,A,20.0,2,18,12,20.0,20.0,30,,41,18.0,T,4,20.0,20.0,20.0
9138,0,29,1,A,10.0,14,18,27,27.0,20.0,123,87.0,105,18.0,C,6,17.71,20.0,17.71
123210,0,44,4,A,5.0,14,18,29,18.0,10.5,68,63.0,127,18.0,R,6,9.0,12.0,9.0
187911,0,34,2,E,5.0,4,19,10,15.0,14.0,23,,75,19.0,T,2,11.0,15.0,11.0
151504,1,12,3,A,10.0,3,24,11,15.0,12.33,27,53.0,34,24.0,S,4,12.33,15.0,12.33
154979,0,18,2,A,20.0,5,18,20,25.0,25.0,46,54.0,57,30.0,S,6,24.0,25.0,24.0
90182,0,34,3,A,1.0,11,17,14,10.0,8.33,37,85.0,113,17.0,T,4,6.82,5.0,6.82
183935,0,43,4,A,2.0,14,26,28,25.0,22.5,67,,104,26.0,R,5,15.14,20.0,15.14
172214,1,18,5,A,5.0,10,24,20,13.0,11.0,50,49.0,77,24.0,S,4,9.8,11.0,9.8
168456,0,02,2,N,10.0,2,19,9,20.0,15.0,20,,24,19.0,U,6,15.0,20.0,15.0
67077,0,16,2,A,2.0,14,20,28,12.0,11.0,71,36.0,125,20.0,S,6,7.21,12.0,7.21
118362,0,48,1,F,20.0,1,16,6,20.0,20.0,14,67.0,16,16.0,R,5,20.0,20.0,20.0
153445,0,03,1,A,4.0,2,16,9,50.0,50.0,24,75.0,53,16.0,U,6,27.0,50.0,27.0
182636,0,49,1,E,3.0,13,15,20,25.0,25.0,58,64.0,91,15.0,R,3,11.15,25.0,11.15
87405,0,44,2,A,5.0,2,26,10,15.0,10.0,23,,33,26.0,R,4,10.0,15.0,10.0
80996,0,53,2,E,3.0,17,15,24,14.0,12.0,64,87.0,115,15.0,R,3,6.41,14.0,6.41
40470,0,35,3,A,5.0,15,26,29,12.0,11.0,66,43.0,120,26.0,T,4,7.0,11.0,7.0
191530,0, .,3,A,5.0,8,15,18,11.0,9.67,48,63.0,65,15.0,?,6,7.38,11.0,7.38
15471,0,32,2,A,10.0,4,18,15,25.0,17.5,35,57.0,42,29.0,C,6,17.5,25.0,17.5
17988,0,50,3,S,5.0,15,18,29,30.0,25.67,71,,117,19.0,R,5,19.73,20.0,19.73
68644,0,12,2,A,10.0,6,24,21,25.0,20.0,52,43.0,80,24.0,S,3,15.0,15.0,15.0
31959,1,34,0,F,25.0,1,19,4,25.0,0.0,12,63.0,19,,T,4,25.0,25.0,25.0
164733,0,14,2,A,3.0,7,18,22,15.0,13.5,52,52.0,90,18.0,S,6,8.71,15.0,8.71
173080,0,46,2,A,5.0,16,23,27,25.0,20.0,73,41.0,105,23.0,R,6,14.69,20.0,14.69
18498,0,41,3,A,3.0,4,16,10,20.0,11.0,26,71.0,29,16.0,T,6,9.0,20.0,9.0
55761,0,35,3,A,5.0,17,19,24,45.95,25.32,66,71.0,97,19.0,T,6,16.0,16.0,16.0
83129,0,44,4,A,20.0,5,21,12,20.0,20.0,28,,28,21.0,R,6,20.0,20.0,20.0
154427,0,23,2,A,10.0,3,19,11,16.0,12.5,26,,29,24.0,C,6,13.67,16.0,13.67
92611,0,12,5,S,10.0,11,17,25,16.0,13.6,64,77.0,93,17.0,S,6,12.0,12.0,12.0
126035,1,52,3,A,3.0,16,22,31,18.0,17.0,78,84.0,130,22.0,R,6,10.06,17.0,10.06
54248,0,36,7,S,1.0,27,17,40,5.0,5.0,90,73.0,127,17.0,T,7,2.54,5.0,2.54
148918,1,25,1,A,10.0,3,19,11,15.0,15.0,30,,42,19.0,C,4,12.33,15.0,12.33
130460,0,04,4,N,10.0,4,17,10,25.0,17.5,26,87.0,25,17.0,U,6,17.5,15.0,17.5
124062,0,34,6,A,5.0,10,16,17,5.0,5.0,41,,45,16.0,T,6,5.0,5.0,5.0
142203,1,25,2,A,5.0,4,17,17,30.0,27.5,41,51.0,53,17.0,C,6,17.75,30.0,17.75
152418,1,46,4,S,5.0,16,16,29,17.0,12.75,70,66.0,125,16.0,R,6,11.63,13.0,11.63
97931,0,45,3,S,10.0,10,19,27,50.0,36.67,57,49.0,113,19.0,R,6,27.0,40.0,27.0
144437,0,04,4,A,5.0,4,15,10,14.0,9.5,23,,30,15.0,U,6,9.5,14.0,9.5
135275,0,13,4,S,3.0,8,16,18,13.0,11.25,53,67.0,69,16.0,S,6,8.25,13.0,8.25
30551,0,42,1,N,25.0,1,23,6,25.0,25.0,15,56.0,23,23.0,R,4,25.0,25.0,25.0
150011,0,12,3,A,6.0,4,16,15,25.0,12.33,36,53.0,44,16.0,S,6,11.75,25.0,11.75
178345,0,24,1,F,15.0,1,16,5,15.0,15.0,13,45.0,16,16.0,C,4,15.0,15.0,15.0
87471,1,30,4,A,3.0,9,15,15,15.0,7.75,39,57.0,52,15.0,C,4,6.33,15.0,6.33
107046,0,15,1,F,20.0,1,17,5,20.0,20.0,12,,17,17.0,S,4,20.0,20.0,20.0
133495,0,40,1,A,5.0,5,17,16,20.0,20.0,40,57.0,53,17.0,T,6,9.0,20.0,9.0
316,0,41,10,A,5.0,23,4,32,20.0,20.0,82,77.0,87,12.0,T,11,16.52,20.0,16.52
32577,0,28,3,S,5.0,13,20,21,10.0,10.0,58,81.0,68,20.0,C,6,8.69,10.0,8.69
27566,1,31,1,A,10.0,2,16,9,20.0,20.0,22,,31,16.0,C,5,15.0,20.0,15.0
9877,0,08,1,S,0.0,16,11,29,15.0,14.0,101,68.0,116,17.0,U,6,8.94,0.0,8.94
123157,0,12,2,A,5.0,18,26,31,15.0,14.0,77,52.0,126,26.0,S,4,10.89,13.0,10.89
123693,0,24,3,A,10.0,3,26,13,22.0,16.0,29,,36,26.0,C,5,16.0,22.0,16.0
152132,0,31,6,A,3.0,8,20,13,14.0,11.67,30,,35,20.0,C,6,10.38,12.0,10.38
110308,1,24,3,A,5.0,4,18,13,10.0,9.0,31,60.0,41,18.0,C,6,8.0,10.0,8.0
14370,1,16,1,A,0.0,48,18,28,16.0,5.0,113,54.0,144,27.0,S,5,4.5,0.0,4.5
35914,1,16,5,S,2.0,10,17,16,10.0,5.6,39,69.0,64,17.0,S,4,4.3,3.0,4.3
151587,0,07,2,S,3.0,16,16,25,16.0,13.0,58,58.0,125,16.0,U,4,6.69,16.0,6.69
49195,0,49,3,A,10.0,10,15,24,15.0,15.0,63,,76,15.0,R,6,12.7,15.0,12.7
168574,1,08,2,N,25.0,2,18,9,30.0,27.5,24,,24,18.0,U,6,27.5,30.0,27.5
34608,1,12,7,S,5.0,15,15,19,25.0,12.71,50,55.0,53,15.0,S,6,9.33,16.0,9.33
177453,0,45,2,A,3.0,5,20,17,20.0,20.0,44,54.0,69,20.0,R,6,13.0,20.0,13.0
187612,1,15,3,E,10.0,10,18,7,16.0,14.67,16,,39,18.0,S,2,13.4,15.0,13.4
17420,0,17,3,A,10.0,4,20,10,20.0,16.67,27,26.0,31,20.0,S,6,15.0,20.0,15.0
70565,1,48,4,A,3.0,12,23,23,15.0,14.0,61,73.0,88,23.0,R,5,10.83,13.0,10.83
46844,1,51,3,S,5.0,13,18,23,10.0,10.0,54,,125,18.0,R,4,7.0,10.0,7.0
18343,0,47,2,A,5.0,5,19,13,10.0,8.0,35,45.0,67,19.0,R,6,7.6,9.0,7.6
51645,0,41,2,A,5.0,3,17,13,20.0,12.5,28,63.0,35,17.0,T,6,11.67,20.0,11.67
150776,1,09,5,S,3.0,21,18,31,12.0,9.4,74,55.0,129,18.0,U,6,6.62,10.0,6.62
113309,0,12,7,S,2.0,29,15,34,10.0,6.43,75,80.0,127,15.0,S,6,5.17,3.0,5.17
69889,0,53,4,A,10.0,8,22,19,32.0,25.0,47,57.0,53,22.0,R,6,21.5,32.0,21.5
55156,0,38,10,S,10.0,10,15,14,13.0,11.6,32,43.0,36,15.0,T,6,11.6,13.0,11.6
25090,0,35,8,S,5.0,9,17,12,7.0,5.5,29,37.0,32,17.0,T,6,5.56,5.0,5.56
127346,1,14,1,E,15.0,1,19,4,15.0,15.0,10,47.0,19,19.0,S,2,15.0,15.0,15.0
66107,0,40,3,A,10.0,3,15,12,25.0,15.67,28,56.0,33,15.0,T,5,15.67,25.0,15.67
8855,0, .,2,A,2.0,28,6,33,22.0,19.0,118,,123,24.0,?,9,9.39,20.0,9.39
38958,0,21,8,S,3.0,24,18,21,10.0,7.5,54,41.0,57,21.0,S,6,5.96,5.0,5.96
97526,0,43,3,A,5.0,4,18,11,10.0,9.0,33,75.0,45,18.0,R,6,8.0,10.0,8.0
160899,0,35,3,A,5.0,12,20,22,15.0,8.33,58,57.0,77,20.0,T,6,9.17,10.0,9.17
137072,0,40,2,A,10.0,3,21,12,25.0,17.5,28,64.0,29,21.0,T,6,15.0,25.0,15.0
31239,1,47,2,A,4.0,3,24,11,15.0,12.5,28,,33,24.0,R,4,9.67,15.0,9.67
136236,0,17,1,A,5.0,4,5,14,15.0,15.0,38,76.0,52,21.0,S,5,11.25,15.0,11.25
158960,0,19,2,A,15.0,3,20,15,20.0,20.0,35,69.0,40,20.0,S,6,18.33,20.0,18.33
44517,0,37,2,S,2.0,24,23,32,12.0,10.0,76,81.0,129,23.0,T,6,7.29,10.0,7.29
61632,0,45,2,A,5.0,3,19,13,30.0,18.5,33,,44,19.0,R,6,14.0,30.0,14.0
171978,0,08,5,A,10.0,9,18,16,20.0,10.0,35,,41,18.0,U,6,11.11,10.0,11.11
149831,0,03,2,A,15.0,13,17,30,25.0,22.0,68,65.0,116,17.0,U,6,19.54,22.0,19.54
119433,0,20,5,S,3.0,18,22,23,16.0,14.2,56,77.0,63,22.0,S,6,10.11,14.0,10.11
110325,0,32,1,F,20.0,1,20,6,20.0,20.0,15,,20,20.0,C,4,20.0,20.0,20.0
91507,1,12,4,A,5.0,4,16,10,10.0,8.75,23,61.0,29,16.0,S,6,8.75,10.0,8.75
94913,0,07,5,A,8.0,9,18,19,12.0,10.8,45,49.0,56,18.0,U,6,9.78,10.0,9.78
76087,0,51,2,A,5.0,4,19,17,20.0,20.0,47,43.0,64,19.0,R,6,14.0,20.0,14.0
131419,0,35,3,A,3.0,6,15,14,15.0,7.67,37,,44,15.0,T,6,9.67,10.0,9.67
99741,0,40,2,A,5.0,7,15,20,16.0,13.0,50,51.0,81,15.0,T,5,8.57,16.0,8.57
28988,0,45,6,A,3.0,9,17,18,8.0,6.67,44,,56,17.0,R,6,6.22,8.0,6.22
28069,0,37,1,A,10.0,3,24,12,15.0,13.0,33,,44,27.0,T,5,12.67,15.0,12.67
123847,0,40,2,A,15.0,2,19,11,25.0,20.0,25,,29,19.0,T,6,20.0,15.0,20.0
45367,1,02,1,N,25.0,1,23,7,25.0,25.0,19,32.0,23,23.0,U,4,25.0,25.0,25.0
161590,1,11,3,A,5.0,5,18,11,10.0,10.0,25,,28,18.0,S,6,8.2,10.0,8.2
113453,0,24,2,A,10.0,9,18,31,25.0,22.5,68,64.0,112,18.0,C,6,17.78,25.0,17.78
64201,0,33,3,S,5.0,20,19,31,13.0,12.0,77,,128,19.0,C,6,8.5,13.0,8.5
186204,1, .,3,A,2.0,10,5,19,20.0,8.33,51,55.0,51,21.0,?,7,7.5,20.0,7.5
16990,0,32,1,A,5.0,5,15,12,15.0,13.0,36,47.0,57,19.0,C,5,9.2,15.0,9.2
105455,0,53,3,A,5.0,7,18,19,17.0,16.33,49,51.0,75,18.0,R,6,11.0,17.0,11.0
41136,0,10,1,F,20.0,1,20,6,20.0,20.0,14,,20,20.0,U,4,20.0,20.0,20.0
143095,0,10,0,A,5.0,5,25,18,15.0,0.0,44,25.0,57,,U,6,10.8,15.0,10.8
122423,0,24,4,A,20.0,4,26,12,36.0,27.0,29,55.0,35,26.0,C,5,27.0,36.0,27.0
87417,0,43,4,A,5.0,20,27,23,25.0,21.25,64,47.0,75,27.0,R,5,17.15,25.0,17.15
12005,0,23,1,A,5.0,7,18,24,50.0,50.0,81,7.0,90,18.0,C,6,25.0,50.0,25.0
167121,0,34,1,F,20.0,1,20,6,20.0,20.0,14,51.0,20,20.0,T,4,20.0,20.0,20.0
45737,0,18,8,S,3.0,34,18,33,15.0,10.63,84,67.0,128,18.0,S,6,8.82,13.0,8.82
92447,0,12,3,A,5.0,5,17,15,15.0,13.67,34,48.0,40,17.0,S,6,10.6,15.0,10.6
117882,1, .,3,A,2.0,6,18,19,20.0,17.67,42,68.0,59,18.0,?,6,11.67,20.0,11.67
162386,0,15,1,A,3.0,5,17,17,20.0,20.0,43,32.0,56,17.0,S,6,8.8,20.0,8.8
33717,1,45,3,A,5.0,10,22,23,15.0,15.0,57,34.0,77,22.0,R,6,10.3,15.0,10.3
170215,1,40,8,S,3.0,11,22,16,6.0,4.5,36,77.0,45,22.0,T,6,4.45,4.0,4.45
10398,0,01,9,S,2.0,20,23,22,18.0,13.78,73,,76,23.0,U,6,10.75,14.0,10.75
68881,0,13,1,F,15.0,1,16,5,15.0,15.0,13,51.0,16,16.0,S,4,15.0,15.0,15.0
100610,0,13,2,A,5.0,4,24,14,15.0,12.5,32,49.0,45,24.0,S,5,10.25,15.0,10.25
130763,0,35,2,S,5.0,14,16,28,15.0,12.5,68,55.0,119,16.0,T,5,7.43,15.0,7.43
148946,1,08,1,F,6.0,2,15,5,20.0,20.0,13,,17,17.0,U,4,13.0,6.0,13.0
182439,0,27,7,S,3.0,10,18,16,15.0,10.71,34,73.0,41,18.0,C,6,9.4,15.0,9.4
25576,1,11,1,A,3.0,11,16,13,15.0,15.0,34,83.0,92,16.0,S,2,7.82,15.0,7.82
57031,0,49,5,S,5.0,22,15,31,20.0,19.2,83,7.0,125,15.0,R,6,12.0,20.0,12.0
59249,1,14,1,F,15.0,1,16,5,15.0,15.0,13,22.0,16,16.0,S,4,15.0,15.0,15.0
12281,0,34,4,A,3.0,11,7,14,100.0,31.25,55,32.0,40,24.0,T,6,29.0,25.0,29.0
107192,0,31,3,A,10.0,9,17,19,30.0,23.33,46,,52,17.0,C,6,16.67,30.0,16.67
4732,0,36,3,A,2.0,19,19,25,10.0,7.0,95,84.0,85,26.0,T,4,5.21,6.0,5.21
126961,1,42,3,A,3.0,17,15,24,17.0,16.0,63,75.0,81,15.0,R,6,11.12,16.0,11.12
70679,0,30,2,A,5.0,4,26,14,50.0,27.5,38,51.0,68,26.0,C,5,27.5,30.0,27.5
159394,0,13,3,S,5.0,13,19,29,15.0,10.0,68,,104,19.0,S,6,9.31,10.0,9.31
83530,1,08,3,A,15.0,10,21,25,42.0,33.0,63,75.0,77,21.0,U,6,28.6,36.0,28.6
6997,0, .,1,A,10.0,16,18,30,15.0,10.0,77,67.0,123,18.0,?,5,10.68,10.0,10.68
112501,0,40,6,A,5.0,7,18,15,15.0,11.33,36,58.0,44,18.0,T,6,10.43,13.0,10.43
5180,1,16,2,S,3.0,33,5,30,16.0,15.0,108,78.0,110,17.0,S,9,9.39,10.0,9.39
117266,0,16,2,A,5.0,10,18,21,12.0,11.0,53,40.0,89,18.0,S,6,7.4,10.0,7.4
167376,0,15,1,A,5.0,5,17,16,17.0,17.0,45,51.0,62,17.0,S,5,9.8,17.0,9.8
108788,0,35,2,A,5.0,4,18,17,25.0,22.5,42,,52,18.0,T,6,15.0,25.0,15.0
133126,0,49,6,A,5.0,6,19,9,8.0,6.17,25,70.0,31,19.0,R,6,6.17,5.0,6.17
116350,0,39,2,A,5.0,3,18,13,20.0,17.5,31,51.0,41,18.0,T,6,13.33,20.0,13.33
40006,0,23,11,S,5.0,16,16,19,10.0,5.0,44,40.0,52,16.0,C,6,5.31,5.0,5.31
80035,0,48,2,A,5.0,9,18,20,16.0,15.0,57,78.0,75,18.0,R,5,11.78,16.0,11.78
53480,0,18,1,F,20.0,1,20,6,20.0,20.0,14,38.0,20,20.0,S,4,20.0,20.0,20.0
96606,0,31,3,S,5.0,15,21,25,25.0,20.33,59,86.0,80,21.0,C,6,10.47,20.0,10.47
14155,0,35,1,A,3.0,12,16,33,25.0,25.0,87,,124,16.0,T,6,16.67,25.0,16.67
82307,0,37,2,A,10.0,4,24,15,20.0,20.0,34,,53,24.0,T,4,15.0,20.0,15.0
191056,1,01,1,A,20.0,6,26,16,44.0,32.0,65,17.0,44,26.0,U,5,28.83,32.0,28.83
71404,0,42,3,S,5.0,7,18,16,25.0,18.67,37,49.0,40,19.0,R,6,14.0,25.0,14.0
74867,1,53,7,S,2.0,12,18,14,6.0,3.43,34,,40,19.0,R,6,3.17,3.0,3.17
30976,1,39,3,S,5.0,15,17,29,17.0,15.67,66,,111,17.0,T,6,11.0,17.0,11.0
169690,0,27,1,S,3.0,14,15,22,12.0,12.0,58,,76,17.0,C,6,8.29,12.0,8.29
95806,0,27,3,A,5.0,6,17,17,20.0,11.67,44,17.0,57,17.0,C,6,8.67,20.0,8.67
62482,0,25,2,S,3.0,12,20,25,10.0,10.0,58,41.0,124,20.0,C,4,8.17,10.0,8.17
32241,0,17,4,S,2.0,8,19,16,20.0,12.5,38,39.0,44,19.0,S,6,8.13,10.0,8.13
177762,0,46,3,A,10.0,7,16,20,39.0,27.0,56,27.0,66,16.0,R,6,19.57,39.0,19.57
157198,0,23,4,A,10.0,13,15,29,20.0,11.5,72,,126,15.0,C,5,11.62,10.0,11.62
155158,0,08,2,A,10.0,2,15,9,15.0,12.5,20,41.0,27,15.0,U,4,12.5,15.0,12.5
181746,0,28,3,A,10.0,4,18,13,29.0,25.67,31,,33,19.0,C,6,21.75,10.0,21.75
141742,1,40,2,N,5.0,3,19,8,10.0,7.5,17,69.0,21,20.0,T,6,8.33,10.0,8.33
2063,0,31,6,A,10.0,7,17,20,20.0,14.0,52,57.0,29,17.0,C,11,13.43,20.0,13.43
84027,0,18,2,A,5.0,3,21,11,15.0,15.0,30,45.0,45,21.0,S,5,11.67,15.0,11.67
15833,0,25,2,A,3.0,3,15,10,16.0,13.0,24,37.0,34,15.0,C,5,9.67,16.0,9.67
184154,0,27,4,L,5.0,16,15,26,10.0,10.0,60,76.0,103,15.0,C,4,8.75,10.0,8.75
163178,0,02,2,S,3.0,14,20,29,11.0,11.0,72,,126,20.0,U,5,7.93,11.0,7.93
31491,0,47,2,A,3.0,12,20,15,19.0,19.0,39,77.0,126,20.0,R,4,10.5,19.0,10.5
131729,0,24,1,A,5.0,27,18,29,20.0,20.0,71,79.0,129,18.0,C,4,10.59,20.0,10.59
189934,0,42,2,A,20.0,3,16,15,20.0,20.0,34,67.0,40,16.0,R,5,20.0,20.0,20.0
77630,0,35,3,S,5.0,14,17,26,15.0,13.33,69,47.0,92,17.0,T,6,11.29,15.0,11.29
186690,0,21,6,A,2.0,8,8,13,7.0,4.67,34,73.0,32,18.0,S,7,4.5,5.0,4.5
99524,0,18,5,S,3.0,18,17,27,6.0,5.0,70,44.0,110,17.0,S,5,4.06,5.0,4.06
107106,0,51,1,A,5.0,12,19,25,20.0,20.0,61,60.0,126,19.0,R,4,10.0,20.0,10.0
4820,0,01,5,A,5.0,30,4,32,33.0,19.8,123,44.0,93,19.0,U,9,16.3,33.0,16.3
106910,0,25,4,S,5.0,6,18,15,20.0,13.75,35,,40,23.0,C,6,13.33,20.0,13.33
46751,0,40,2,A,2.0,16,17,32,20.0,20.0,72,17.0,127,17.0,T,6,10.38,20.0,10.38
152893,0,18,2,A,5.0,5,16,17,25.0,16.0,46,,56,27.0,S,6,14.6,25.0,14.6
148852,0,24,4,A,3.0,4,17,8,10.0,5.75,22,43.0,31,17.0,C,6,5.75,10.0,5.75
44638,0,40,2,A,3.0,17,19,27,10.0,10.0,67,82.0,128,19.0,T,3,6.18,10.0,6.18
55092,0,51,2,A,5.0,2,20,8,15.0,10.0,22,59.0,28,20.0,R,4,10.0,15.0,10.0
111138,0,41,3,S,3.0,12,16,29,10.0,10.0,67,,123,16.0,T,5,5.92,10.0,5.92
40329,0,18,1,F,15.0,1,20,4,15.0,15.0,14,66.0,20,20.0,S,3,15.0,15.0,15.0
139547,0,14,5,A,10.0,8,20,20,16.0,11.2,43,51.0,51,20.0,S,6,11.0,10.0,11.0
28951,0,45,1,A,3.0,7,17,19,15.0,15.0,51,66.0,88,17.0,R,4,8.29,15.0,8.29
133596,0,46,2,A,5.0,7,17,19,15.0,12.5,53,,85,17.0,R,4,8.86,15.0,8.86
119541,1,30,3,A,5.0,20,26,29,11.0,10.33,68,,129,26.0,C,4,7.05,11.0,7.05
80587,0, .,1,A,3.0,13,27,26,20.0,20.0,65,,119,27.0,?,4,6.46,20.0,6.46
1709,0,31,5,A,10.0,6,17,18,30.0,17.0,51,78.0,33,17.0,C,8,17.5,30.0,17.5
150711,0,27,4,S,10.0,12,18,29,25.0,16.25,66,57.0,113,18.0,C,6,15.42,25.0,15.42
106598,0,36,4,A,10.0,4,15,9,12.0,11.0,19,27.0,28,15.0,T,4,11.0,12.0,11.0
105448,0,45,1,A,5.0,12,21,29,20.0,20.0,69,76.0,129,21.0,R,4,12.08,20.0,12.08
23459,1,16,3,A,5.0,6,18,14,25.0,14.0,33,,42,22.0,S,6,13.17,25.0,13.17
8330,1,29,1,A,3.0,11,5,17,12.0,5.0,70,72.0,92,26.0,C,4,5.73,5.0,5.73
81817,0,45,2,A,5.0,11,21,28,75.0,50.0,72,56.0,104,21.0,R,6,28.45,25.0,28.45
30444,0,39,4,A,5.0,5,17,11,15.0,8.75,28,57.0,33,17.0,T,6,8.2,15.0,8.2
1006,1,46,7,S,3.0,35,6,44,26.0,15.29,115,66.0,127,16.0,R,11,15.14,15.0,15.14
102134,0,01,4,A,3.0,10,25,21,15.0,13.75,48,35.0,65,25.0,U,6,10.1,15.0,10.1
166886,0,23,1,A,5.0,6,23,19,20.0,20.0,52,79.0,93,23.0,C,4,11.67,20.0,11.67
57488,0,34,2,A,3.0,4,18,14,20.0,13.5,35,45.0,53,18.0,T,6,8.75,20.0,8.75
28723,0,15,2,A,15.0,12,26,25,35.0,35.0,65,7.0,86,26.0,S,5,27.83,35.0,27.83
110289,0,32,2,N,10.0,2,15,8,15.0,12.5,20,47.0,26,15.0,C,4,12.5,15.0,12.5
75152,0,26,2,A,5.0,8,26,21,20.0,17.5,51,62.0,65,26.0,C,5,11.75,20.0,11.75
61004,0,16,3,A,3.0,9,17,24,10.0,7.67,59,,102,17.0,S,6,6.89,5.0,6.89
132131,1,42,2,A,5.0,8,26,28,25.0,25.0,65,38.0,103,26.0,R,5,14.88,25.0,14.88
109525,0,39,3,A,5.0,8,22,19,15.0,12.33,42,49.0,51,22.0,T,6,10.25,15.0,10.25
15704,0,40,3,A,5.0,3,18,11,15.0,10.33,25,51.0,32,18.0,T,6,10.33,15.0,10.33
9736,0,35,2,A,5.0,7,22,28,15.0,15.0,68,67.0,95,22.0,T,4,12.86,15.0,12.86
87121,1,28,1,F,20.0,1,17,6,20.0,20.0,15,71.0,17,17.0,C,4,20.0,20.0,20.0
105615,0,45,6,S,2.0,16,17,20,8.0,7.17,55,84.0,129,17.0,R,6,5.56,8.0,5.56
46296,0,40,6,S,3.0,18,20,24,10.0,8.33,57,42.0,75,20.0,T,6,6.44,8.0,6.44
