CONTROL_NUMBER,DONATED,CLUSTER_CODE,LIFETIME_MIN_GIFT_AMT,SES,LIFETIME_PROM,PCT_ATTRIBUTE1,LIFETIME_AVG_GIFT_AMT,NUMBER_PROM_12,RECENT_AVG_CARD_GIFT_AMT,LAST_GIFT_AMT,RECENCY_STATUS_96NK,RECENT_RESPONSE_COUNT,FILE_AVG_GIFT,LIFETIME_CARD_PROM,PCT_ATTRIBUTE4,PER_CAPITA_INCOME,DONOR_GENDER,PEP_STAR,MEDIAN_HOME_VALUE
68965,0,18,10.0,2,35,0,16.25,12,20.0,20.0,A,3,16.25,15,30,14045,M,0,646
123847,0,40,15.0,2,25,0,20.0,14,25.0,15.0,A,2,20.0,11,22,15631,F,0,838
38924,1,08,10.0,3,23,0,15.0,10,10.0,20.0,A,2,15.0,9,44,11579,M,0,740
43952,0,27,5.0,2,50,0,11.0,9,16.0,18.0,A,2,11.0,20,33,15657,F,1,865
56485,0,07,20.0,2,13,0,20.0,10,20.0,20.0,F,1,20.0,5,50,15141,F,0,664
69455,0,35,3.0,1,59,0,18.31,9,56.67,100.0,S,3,18.31,25,21,12091,M,1,524
132907,0,44,3.0,2,74,0,7.82,11,0.0,13.0,A,1,7.82,30,69,16665,F,1,675
24716,0,38,20.0,2,16,0,20.0,10,20.0,20.0,F,1,20.0,6,35,12699,M,0,559
121654,1,24,5.0,1,51,0,9.14,13,0.0,15.0,A,1,9.14,19,23,23287,M,0,884
166035,0,03,5.0,1,21,1,10.0,14,5.0,15.0,N,2,10.0,9,25,26724,F,0,2328
110291,1,31,3.0,3,57,0,9.47,13,13.26,14.0,S,3,9.47,23,0,0,M,1,0
121639,0,25,5.0,2,73,0,14.93,12,23.0,21.0,A,4,14.93,31,51,13114,M,1,923
141297,0,12,10.0,1,36,9,15.0,12,10.0,20.0,A,3,15.0,15,15,23503,F,0,1506
26942,0,43,5.0,2,71,0,9.61,12,10.0,10.0,A,3,9.61,30,27,10263,F,1,430
65393,0,05,3.0,2,19,0,6.33,12,6.5,6.0,N,3,6.33,9,37,15209,M,0,655
2490,1,39,0.01,2,74,1,3.36,16,4.33,3.0,S,11,3.36,31,10,11492,M,1,620
67413,0,08,15.0,3,13,0,15.0,11,15.0,15.0,F,1,15.0,5,49,14902,F,0,496
102971,0,27,5.0,2,63,2,8.36,14,10.67,10.0,A,4,8.36,26,12,9476,M,1,345
3399,0, .,5.0,?,60,0,11.67,32,15.0,15.0,S,4,11.67,17,0,20764,F,1,2812
75550,0,45,10.0,2,32,0,12.0,10,16.0,16.0,A,2,12.0,11,49,12739,F,0,344
45442,0,33,10.0,3,50,0,18.14,13,15.67,15.0,A,4,18.14,21,62,13616,U,1,492
62998,0,43,5.0,2,51,0,9.29,13,11.33,12.0,A,4,9.29,19,29,11452,F,1,524
19129,1,36,5.0,2,57,0,11.33,13,10.0,10.0,S,3,11.33,20,40,13593,F,1,538
119906,0,53,3.0,3,72,0,9.29,13,13.33,15.0,S,3,9.29,31,41,9712,M,1,349
121166,0,03,20.0,1,16,2,20.0,10,0.0,20.0,F,1,20.0,5,52,29351,U,0,1247
113310,0,11,3.0,1,54,0,8.17,10,0.0,15.0,A,1,8.17,24,39,43476,F,0,2102
190212,0,12,5.0,1,19,1,9.2,4,0.0,15.0,E,2,9.2,10,19,9892,M,0,432
141505,0,11,3.0,1,33,0,7.0,14,10.0,15.0,A,3,7.0,12,22,19026,M,1,1241
181598,0,40,5.0,2,60,0,10.83,15,12.5,14.0,A,7,10.83,23,29,16589,M,1,1206
77751,0,20,10.0,2,42,0,33.33,15,36.5,48.0,A,4,33.33,17,50,16959,U,0,802
30068,1,47,3.0,2,62,0,7.15,12,13.0,13.0,A,3,7.15,27,30,9846,F,1,573
1400,0,11,2.0,1,88,1,5.41,17,7.0,9.0,S,8,5.41,36,21,31663,M,1,1805
92668,0,24,10.0,1,34,0,16.67,12,20.0,20.0,A,2,16.67,14,36,23891,F,0,1713
132003,1,46,3.0,2,21,0,5.57,7,8.0,8.0,A,3,5.57,10,58,14984,F,0,508
95399,0,49,15.0,2,22,0,16.0,10,0.0,17.0,A,2,16.0,9,8,11354,M,0,407
97641,0,21,3.0,3,76,0,5.45,12,9.33,5.0,S,5,5.45,33,32,10873,F,1,414
174422,1, .,3.0,?,37,0,4.17,14,5.0,6.0,S,7,4.17,16,0,22334,F,1,1036
73461,0,39,5.0,2,68,0,11.2,12,0.0,10.0,S,3,11.2,27,27,10438,F,1,454
141652,1,18,5.0,2,61,0,11.22,16,12.5,15.0,A,3,11.22,24,20,14118,F,0,997
19510,1,24,5.0,1,35,0,11.0,10,15.0,15.0,A,2,11.0,13,45,46160,M,0,2441
63742,0,51,20.0,3,12,0,20.0,10,0.0,20.0,F,1,20.0,5,34,14393,F,0,708
128701,0,26,25.0,2,14,2,25.0,11,25.0,25.0,F,1,25.0,6,28,10420,F,0,787
44362,0,29,3.0,2,72,0,8.94,16,14.0,15.0,S,6,8.94,27,66,12091,M,1,524
17921,1,28,5.0,2,34,1,7.29,13,8.33,9.0,A,5,7.29,15,58,17541,F,0,732
148778,0,14,20.0,1,16,0,20.0,8,20.0,20.0,N,1,20.0,6,32,52133,F,0,5305
120657,0,36,10.0,2,48,0,11.75,11,15.0,15.0,A,1,11.75,20,46,9343,F,0,340
103144,0,48,5.0,2,62,0,8.09,13,18.0,18.0,S,2,8.09,27,54,14386,F,1,576
147690,0,31,15.0,3,14,0,15.0,10,15.0,15.0,F,1,15.0,6,31,7820,F,0,1423
103679,0,45,25.0,2,16,0,25.0,11,0.0,25.0,F,1,25.0,6,42,13076,M,0,481
63106,0,44,3.0,2,57,0,5.24,10,9.5,16.0,A,4,5.24,27,10,16934,M,1,614
130375,0,11,3.0,1,58,0,14.14,13,25.0,25.0,A,2,14.14,25,46,20624,M,0,874
15756,0,41,5.0,3,40,0,5.78,12,5.0,5.0,A,4,5.78,16,35,10466,F,0,467
20094,0,49,10.0,2,31,1,20.33,12,25.5,36.0,A,2,20.33,13,25,7759,M,0,675
35700,1,17,3.0,2,50,0,7.84,8,7.25,3.0,S,4,7.84,20,10,16938,F,1,721
165958,0,24,5.0,1,61,2,18.56,13,0.0,50.0,A,1,18.56,26,26,19703,F,1,1795
11980,0,09,5.0,3,102,0,6.86,32,9.0,9.0,S,4,6.86,32,60,13187,F,1,520
38340,0,02,5.0,1,22,0,8.33,13,8.33,10.0,N,3,8.33,8,38,17051,M,1,1216
99717,0,11,20.0,1,15,1,20.0,7,20.0,20.0,N,1,20.0,6,33,17842,F,0,975
120298,0,39,1.25,2,65,39,11.03,14,25.0,25.0,A,3,11.03,29,10,11373,F,0,648
28988,0,45,3.0,2,44,0,6.22,13,6.8,8.0,A,6,6.22,18,38,11240,F,1,619
170902,0,11,20.0,1,15,0,20.0,7,20.0,20.0,N,1,20.0,6,18,26884,M,0,2432
52021,0,43,5.0,2,70,0,8.44,13,6.67,8.0,S,4,8.44,26,34,9370,F,1,424
142688,0,22,25.0,1,35,0,37.5,8,0.0,50.0,A,2,37.5,15,54,81272,M,0,6000
6070,0,35,25.0,1,118,0,26.93,35,30.0,25.0,A,2,26.93,31,26,19044,F,0,1663
75341,1,34,5.0,1,64,4,7.0,13,0.0,12.0,S,3,7.0,27,40,18202,F,1,595
35009,0,39,10.0,2,20,0,13.0,12,10.0,16.0,N,2,13.0,9,40,12154,F,0,626
37221,1,08,2.0,3,63,0,3.96,11,5.0,4.0,S,5,3.96,25,66,15628,M,1,775
149757,1,07,10.0,2,29,0,13.0,10,0.0,16.0,A,1,13.0,11,42,11264,F,0,4167
188401,0,22,10.0,1,76,1,15.5,14,0.0,25.0,A,1,15.5,27,49,23380,F,0,3289
161735,0,19,20.0,2,13,2,20.0,10,20.0,20.0,F,1,20.0,5,29,12936,F,0,2017
105867,0,30,20.0,3,14,0,20.0,12,0.0,20.0,F,1,20.0,6,18,8222,F,0,458
133491,1,39,43.0,2,26,1,46.33,13,43.0,46.0,A,3,46.33,10,32,10779,M,0,679
29564,0,39,2.0,2,80,0,7.54,15,11.0,10.0,S,1,7.54,31,23,13570,M,1,610
36682,0,13,5.0,1,30,0,8.75,12,15.0,15.0,A,3,8.75,13,41,29234,M,0,2042
100981,0,44,20.0,2,16,0,20.0,8,20.0,20.0,N,1,20.0,6,16,12542,M,0,974
177227,0,41,4.0,3,63,0,9.9,13,9.5,11.0,S,5,9.9,25,41,11179,U,1,526
130191,0,05,2.0,2,78,0,3.43,11,3.5,3.0,S,7,3.43,32,54,17216,F,1,820
98055,0,53,3.0,3,50,0,6.22,14,7.0,8.0,S,6,6.22,22,30,9760,M,1,296
90110,0,09,8.0,3,30,0,12.67,10,16.0,16.0,A,2,12.67,11,57,16680,M,0,904
82362,0,40,10.0,2,50,1,16.2,13,18.0,20.0,A,3,16.2,19,32,15800,M,0,935
172839,0,27,10.0,2,44,2,11.6,12,16.0,16.0,A,1,11.6,19,26,11099,F,0,929
154274,0,44,3.0,2,40,0,6.0,11,0.0,15.0,A,1,6.0,14,22,10281,M,0,711
150060,1,03,10.0,1,62,0,17.92,13,25.0,25.0,A,1,17.92,25,61,16115,F,1,2773
62875,0,51,3.0,3,32,0,4.8,12,5.25,5.0,A,9,4.8,14,42,8496,F,1,331
92891,1,10,1.0,4,61,0,5.27,5,5.0,5.0,S,4,5.27,26,44,9845,F,1,521
77023,1,31,5.0,3,21,0,12.5,12,12.5,20.0,N,2,12.5,9,29,8170,M,0,324
67090,0,39,20.0,2,16,2,20.0,8,20.0,20.0,N,1,20.0,6,20,15592,M,0,956
179454,1,09,5.0,3,48,0,9.5,14,15.0,15.0,A,3,9.5,19,13,9875,F,1,936
19222,0,35,15.0,1,22,0,15.0,10,15.0,15.0,A,2,15.0,9,41,17686,M,0,1074
286,0,49,10.0,2,45,0,15.57,12,0.0,25.0,A,1,15.57,18,26,9742,M,0,542
145436,1,02,25.0,1,18,0,25.0,13,25.0,25.0,F,1,25.0,7,26,14903,M,0,775
122348,0,43,3.0,2,42,0,5.71,13,0.0,7.0,S,3,5.71,16,34,9728,M,1,467
44672,0,30,10.0,3,20,0,11.67,14,15.0,15.0,N,2,11.67,7,21,7893,F,0,358
180510,1,34,0.07,1,77,0,7.67,14,14.0,13.0,A,3,7.67,30,49,19656,F,1,1625
158153,1,02,15.0,1,15,0,15.0,7,15.0,15.0,N,1,15.0,6,63,21965,F,0,2403
177131,1,27,10.0,2,24,0,12.25,14,13.0,10.0,N,3,12.25,9,41,12224,F,1,605
166496,0,03,3.0,1,59,0,9.63,15,13.0,10.0,S,7,9.63,24,23,16378,F,1,2182
140701,0,52,3.0,3,70,0,13.36,12,0.0,25.0,A,1,13.36,29,32,7070,F,1,424
170279,0,35,5.0,1,57,0,10.63,13,15.0,15.0,A,3,10.63,21,32,24766,M,1,2408
147592,0,03,10.0,1,31,0,21.67,12,0.0,35.0,A,2,21.67,12,38,23709,F,0,3644
173604,0,38,3.0,2,57,0,8.44,14,10.0,10.0,A,5,8.44,24,31,16624,M,0,2646
25981,0,14,25.0,1,14,0,25.0,12,0.0,25.0,F,1,25.0,6,7,22018,F,0,1481
156820,0,06,20.0,2,12,0,20.0,7,20.0,20.0,N,1,20.0,5,13,11972,M,0,1622
82235,0,24,5.0,1,49,0,6.55,14,6.67,10.0,A,6,6.55,20,6,16621,M,0,1178
117230,1,30,2.0,3,44,0,5.7,6,10.0,10.0,A,3,5.7,18,20,8797,M,1,406
135265,1,20,8.0,2,27,0,10.0,12,8.0,13.0,A,4,10.0,12,50,18423,F,0,815
75522,1,27,2.0,2,58,0,6.33,14,10.0,10.0,A,3,6.33,21,37,13988,M,1,600
174318,0,27,5.0,2,44,0,11.0,11,15.0,15.0,A,1,11.0,14,18,11276,M,0,669
97260,0,41,2.0,3,73,0,6.05,11,10.0,11.0,A,2,6.05,27,41,12915,F,1,346
147634,0,20,10.0,2,36,0,10.4,12,10.0,12.0,A,3,10.4,14,52,18199,F,0,2302
132543,1,31,5.0,3,23,0,10.25,13,11.0,15.0,A,4,10.25,10,0,0,M,1,0
85654,0,53,5.0,3,29,0,9.0,10,0.0,15.0,A,2,9.0,11,44,8855,F,0,376
79085,0,20,3.0,2,73,0,3.55,12,5.0,5.0,S,4,3.55,31,52,16813,F,1,760
42055,0,07,10.0,2,50,0,15.2,9,0.0,20.0,A,1,15.2,18,0,14915,F,1,690
26858,1,17,9.0,2,64,1,11.33,13,10.0,15.0,A,3,11.33,29,24,16480,M,1,871
151806,1,16,3.0,2,68,5,4.5,11,5.0,3.0,S,6,4.5,30,56,14537,M,1,1420
191296,1, .,5.0,?,69,0,9.07,14,10.0,10.0,S,6,9.07,30,42,35842,F,1,1024
85671,0,12,3.0,1,48,1,3.91,13,3.8,5.0,A,6,3.91,19,19,13940,F,1,782
170310,0,31,5.0,3,40,0,9.3,12,10.4,8.0,S,7,9.3,17,0,9687,M,1,739
36992,0,42,25.0,1,17,7,25.0,11,25.0,25.0,F,1,25.0,7,26,16610,M,0,2200
9390,1,10,0.0,4,112,0,8.09,37,0.0,5.0,A,0,8.09,33,69,7863,F,1,266
80336,1,27,5.0,2,66,0,6.93,13,8.0,5.0,A,3,6.93,30,25,15024,F,1,836
95917,0,44,3.0,2,37,0,6.2,13,5.33,5.0,S,7,6.2,15,23,18514,F,1,992
22425,1,43,10.0,2,66,4,13.82,11,0.0,10.0,A,1,13.82,25,35,9795,F,1,454
170066,0,46,10.0,2,34,0,14.0,10,20.0,20.0,A,1,14.0,12,41,11108,M,0,1011
15254,0,39,3.0,2,52,0,18.43,13,30.0,25.0,A,3,18.43,21,24,13245,F,0,641
178826,1,11,5.0,1,41,0,10.83,13,15.0,15.0,A,2,10.83,16,20,15287,U,0,872
89812,0,14,25.0,1,65,0,36.64,13,0.0,50.0,A,1,36.64,25,34,23480,F,0,1564
115179,1,40,10.0,2,23,0,15.0,11,0.0,20.0,A,2,15.0,10,39,13846,F,0,660
10248,0,49,5.0,2,91,0,12.0,26,0.0,20.0,A,0,12.0,29,32,9578,M,1,265
186014,1,53,3.0,3,65,0,5.0,22,5.67,5.0,A,6,5.0,26,0,6854,M,1,394
128857,1,30,26.0,3,14,4,26.0,12,26.0,26.0,F,1,26.0,6,24,7722,M,0,438
162531,1,13,5.0,1,32,0,9.0,10,15.0,15.0,A,1,9.0,12,38,30060,M,0,4433
84886,0,45,3.0,2,25,0,6.17,14,7.67,5.0,A,4,6.17,10,43,10919,M,1,393
41707,0,16,20.0,2,28,0,20.0,11,20.0,20.0,A,3,20.0,12,26,10940,M,0,559
110259,0,16,3.0,2,33,0,7.8,12,10.0,15.0,A,2,7.8,14,49,13195,F,0,686
124521,0,27,5.0,2,59,0,12.36,8,0.0,15.0,A,2,12.36,24,16,12960,F,1,575
70863,1,45,3.0,2,64,0,6.57,11,0.0,16.0,A,1,6.57,27,39,12815,M,1,494
123121,0,12,5.0,1,24,0,15.0,12,5.0,25.0,A,2,15.0,10,9,14521,F,0,626
170067,0,46,3.0,2,48,0,9.0,15,0.0,15.0,A,2,9.0,19,40,22186,M,0,1854
129244,0,17,5.0,2,32,3,13.0,12,7.0,20.0,A,3,13.0,15,18,16778,F,0,701
3612,0,23,5.0,1,71,0,10.8,28,11.67,25.0,A,3,10.8,23,83,40044,F,0,1345
135607,0,16,10.0,2,24,9,16.67,12,16.67,20.0,A,3,16.67,10,14,10655,M,1,571
110658,0,36,10.0,2,29,1,22.0,12,17.5,25.0,A,4,22.0,13,24,9763,F,0,503
3660,0,18,5.0,2,76,0,13.73,33,15.33,20.0,A,8,13.73,23,34,15395,M,0,1846
183046,0,18,5.0,2,24,1,11.67,12,5.0,20.0,A,2,11.67,12,27,13812,F,0,699
141504,0,18,5.0,2,31,4,9.25,11,7.0,15.0,A,3,9.25,13,9,12646,F,0,720
95408,1,46,5.0,2,22,0,10.0,12,15.0,15.0,A,2,10.0,9,46,17038,F,0,739
88222,0,13,5.0,1,61,0,12.91,14,15.0,25.0,A,3,12.91,26,40,20809,M,0,1846
146900,0,01,3.0,1,26,0,7.2,13,8.5,7.0,A,4,7.2,9,20,19193,M,1,2404
82602,0,20,5.0,2,38,0,5.0,13,5.0,5.0,A,6,5.0,15,31,14942,M,1,815
62687,0,51,5.0,3,51,0,8.44,14,14.0,7.0,A,3,8.44,18,28,10205,F,0,361
25854,0,33,25.0,3,14,0,25.0,12,25.0,25.0,F,1,25.0,6,65,11257,F,0,567
184964,0,44,5.0,2,34,0,13.33,14,25.0,25.0,A,1,13.33,13,11,13940,M,0,1188
134487,0,04,5.0,2,37,0,11.67,11,0.0,20.0,A,1,11.67,14,30,16838,F,0,854
116492,0,14,5.0,1,29,2,12.5,9,0.0,20.0,A,1,12.5,12,22,27704,M,0,1582
112778,0,36,3.0,2,46,2,9.24,14,11.0,24.0,S,8,9.24,18,50,11840,F,1,425
131488,0,15,15.0,1,13,30,15.0,10,15.0,15.0,F,1,15.0,5,37,17387,F,0,990
40579,0,23,2.0,1,71,0,5.95,15,10.0,15.0,S,4,5.95,27,54,26786,F,1,1604
138239,1,13,10.0,1,28,0,12.5,9,0.0,15.0,A,1,12.5,11,47,31520,F,0,2026
176092,0,27,3.0,2,63,1,8.0,12,10.67,10.0,A,5,8.0,25,22,11212,F,1,542
73243,0,35,3.0,1,68,0,8.82,13,14.0,17.0,A,3,8.82,26,22,20957,M,1,880
67789,1,10,5.0,4,32,0,13.0,12,7.0,20.0,A,3,13.0,14,80,10305,F,0,233
72209,0,40,5.0,2,56,0,7.07,11,7.83,9.0,S,6,7.07,23,38,18658,M,1,918
188893,1,36,5.0,2,74,0,15.5,15,0.0,25.0,A,1,15.5,32,23,15258,M,1,701
96273,0,31,3.0,3,36,0,12.2,13,10.0,15.0,A,3,12.2,16,19,10235,M,0,444
168244,0,03,5.0,1,25,0,8.5,14,8.33,10.0,A,5,8.5,10,50,28581,F,1,2979
89546,0,27,15.0,2,12,0,15.0,10,15.0,15.0,F,1,15.0,5,34,16414,F,0,2160
11459,1,40,0.07,2,88,1,5.26,14,5.0,5.0,S,7,5.26,34,29,15962,M,1,1967
176124,0,31,3.0,3,40,3,5.47,13,6.43,5.0,S,11,5.47,17,0,11052,F,1,463
109961,1,50,5.0,3,22,0,10.0,12,5.0,20.0,A,3,10.0,10,36,8103,F,0,304
21264,0,51,15.0,3,21,1,17.5,11,15.0,20.0,A,2,17.5,10,13,10658,F,0,556
125986,1,39,10.0,2,49,0,13.38,14,13.75,15.0,S,5,13.38,20,31,10096,M,1,533
180321,0,03,5.0,1,52,0,13.4,9,0.0,20.0,A,1,13.4,21,28,22696,M,0,1573
34563,0,17,5.0,2,23,0,8.0,13,7.0,11.0,N,4,8.0,10,12,11637,M,1,716
38175,0,10,5.0,4,75,0,10.7,13,10.5,10.0,S,3,10.7,30,58,8566,F,1,625
40335,0,30,6.25,3,27,0,7.0,14,6.25,6.25,A,4,7.0,10,35,9822,F,0,533
51390,0,41,4.0,3,59,0,8.38,13,9.5,11.0,S,8,8.38,24,10,8414,F,1,421
100652,0,16,2.0,2,63,3,6.56,10,7.5,5.0,A,3,6.56,27,42,16798,M,1,965
150970,1,06,20.0,2,16,0,20.0,8,20.0,20.0,N,1,20.0,6,36,17217,F,0,1851
120220,0,30,5.0,3,40,0,11.4,13,15.67,30.0,A,3,11.4,17,39,7955,F,1,375
93649,0,08,15.0,3,13,0,15.0,8,15.0,15.0,F,1,15.0,5,20,9028,F,0,502
162598,1,13,5.0,1,103,0,13.0,21,10.0,15.0,A,3,13.0,45,5,17063,F,1,2766
25272,0,35,5.0,1,27,0,8.6,14,11.0,12.0,A,3,8.6,12,63,17035,U,1,1054
176890,1,39,2.0,2,26,5,5.63,7,6.5,7.0,A,4,5.63,12,33,11035,F,0,470
184691,0,24,10.0,1,37,0,12.75,13,15.5,15.0,A,3,12.75,14,42,47850,F,1,1443
143489,0,04,20.0,2,14,0,20.0,9,20.0,20.0,F,1,20.0,6,38,14309,M,0,2375
65181,1,27,5.0,2,56,0,9.8,13,8.67,12.0,A,4,9.8,22,43,16309,M,1,626
114693,0,13,10.0,1,55,0,15.83,10,0.0,20.0,A,1,15.83,23,50,17979,M,0,811
148712,0,08,5.0,3,56,0,13.05,14,13.75,20.0,A,8,13.05,22,27,10503,U,1,1648
50294,0,41,25.0,3,14,0,25.0,12,0.0,25.0,F,1,25.0,6,33,5539,M,0,281
5281,0,28,5.0,2,108,3,12.46,20,0.0,10.0,A,1,12.46,32,48,14034,M,1,1171
25680,0,12,5.0,1,64,1,16.88,14,25.0,25.0,A,2,16.88,26,54,23837,M,0,1000
18689,0,40,5.0,2,50,0,10.0,15,7.5,10.0,A,3,10.0,20,35,13164,M,0,711
154489,0,43,10.0,2,22,19,12.5,10,0.0,15.0,A,2,12.5,9,19,11240,F,0,577
113776,0,39,5.0,2,29,97,16.25,14,20.0,20.0,A,4,16.25,11,4,8670,M,0,638
140429,1,41,6.0,3,64,0,21.72,14,12.0,6.0,S,3,21.72,25,0,0,M,1,0
181334,0,24,5.0,1,32,4,12.0,12,15.5,20.0,A,2,12.0,13,22,29913,F,0,1217
187518,1,12,10.0,1,15,0,14.5,7,15.0,15.0,E,4,14.5,6,20,17306,F,1,944
114987,0,45,3.0,2,33,0,4.71,12,5.67,5.0,A,5,4.71,14,46,9121,F,1,405
33186,0,27,5.0,2,59,0,13.25,12,17.5,5.0,S,4,13.25,23,21,28124,U,1,1513
180633,1,40,10.0,2,47,0,11.67,10,15.0,15.0,A,1,11.67,16,14,15387,F,0,949
118090,0,36,2.0,2,25,0,4.86,7,0.0,10.0,A,3,4.86,9,43,10258,F,0,432
92453,0,12,3.0,1,58,0,8.86,13,12.5,13.0,S,3,8.86,23,23,18109,M,1,1088
14547,1,12,10.0,1,45,0,16.0,17,20.0,20.0,N,3,16.0,9,25,19818,F,0,1884
146455,0,05,10.0,2,61,0,16.8,13,27.5,30.0,A,2,16.8,25,49,17680,M,1,2199
1254,1,14,25.0,1,36,0,25.0,11,0.0,25.0,A,1,25.0,14,5,20557,M,0,1102
20954,0,41,5.0,3,66,39,7.26,13,20.0,20.0,A,2,7.26,29,8,6622,F,1,346
23365,0,40,10.0,2,58,2,13.33,14,18.0,18.0,A,2,13.33,22,26,12820,F,1,636
35906,1,40,10.0,2,19,0,15.33,14,18.0,10.0,N,3,15.33,7,30,12396,F,0,683
153898,1,04,3.0,2,32,30,6.0,13,10.0,10.0,S,5,6.0,13,33,7095,F,1,875
98046,0,45,20.0,2,15,1,20.0,10,0.0,20.0,F,1,20.0,6,24,9555,M,0,266
75904,0,45,5.0,2,81,0,10.63,14,16.0,18.0,S,3,10.63,32,48,9966,F,1,396
160068,0,40,3.0,2,40,1,7.0,13,9.0,15.0,A,3,7.0,17,20,15700,M,1,1182
70566,0,51,25.0,3,14,0,25.0,12,0.0,25.0,F,1,25.0,6,29,11512,M,0,565
69504,0,12,5.0,1,70,0,11.56,14,13.0,15.0,S,6,11.56,28,26,18636,M,1,1120
90753,0,08,5.0,3,24,0,6.67,13,6.0,11.0,A,4,6.67,10,78,14143,F,1,951
20347,0,49,15.0,2,14,4,15.0,12,15.0,15.0,F,1,15.0,5,9,8941,M,0,518
155266,1,30,3.0,3,91,0,9.46,12,10.8,13.0,S,11,9.46,35,63,8046,F,1,641
83878,0,14,5.0,1,59,0,8.19,11,10.0,11.0,S,7,8.19,23,38,23710,M,1,1224
42958,0,23,5.0,1,27,0,6.8,12,6.0,10.0,S,5,6.8,10,70,23259,M,1,1667
102534,1,35,5.0,1,67,0,12.56,14,0.0,21.0,A,2,12.56,30,82,25272,M,0,1390
100324,1,13,20.0,1,13,0,20.0,8,20.0,20.0,N,1,20.0,5,56,26826,F,0,1783
147197,1,09,5.0,3,58,0,11.72,14,13.29,5.0,S,10,11.72,23,44,15111,M,1,2048
172273,0, .,20.0,?,16,0,20.0,10,20.0,20.0,F,1,20.0,6,0,15359,M,0,1513
9091,0,45,5.0,2,91,0,12.31,36,12.0,20.0,A,4,12.31,26,40,10260,F,0,509
42791,0,28,5.0,2,47,0,9.27,14,10.0,15.0,S,3,9.27,22,56,16411,F,1,1231
140456,1,45,3.0,2,70,3,6.35,12,10.0,10.0,S,3,6.35,29,33,6997,F,1,311
112939,0,24,10.0,1,47,0,12.0,13,14.0,10.0,A,3,12.0,19,47,34937,F,1,974
140767,0,12,10.0,1,21,2,13.0,12,13.0,16.0,N,2,13.0,9,27,17987,F,0,1181
89765,0,20,5.0,2,49,0,11.0,13,14.33,14.0,A,4,11.0,19,35,15426,M,0,1083
130684,1,35,3.0,1,45,1,4.5,14,4.8,6.0,S,9,4.5,17,14,22215,U,1,1175
37405,0,03,5.0,1,77,0,13.47,14,0.0,15.0,S,3,13.47,30,57,17804,F,1,914
21235,0,46,5.0,2,50,0,15.4,9,0.0,25.0,A,1,15.4,20,39,10010,F,0,653
150724,0,10,13.0,4,29,0,16.0,11,13.0,20.0,A,3,16.0,12,33,7818,M,0,1001
34079,1,27,3.0,2,35,14,4.9,13,5.83,6.0,S,7,4.9,15,28,19724,F,1,801
146395,0,05,10.0,2,30,1,15.0,12,15.0,20.0,A,3,15.0,13,37,21414,M,1,2108
31313,0,40,10.0,2,23,1,15.33,13,0.0,24.0,N,3,15.33,11,20,10447,M,0,580
84543,0,24,0.01,1,51,0,5.52,10,6.0,6.0,S,3,5.52,22,37,14150,M,1,590
108379,0,10,5.0,4,53,0,10.67,12,14.5,15.0,A,3,10.67,21,46,6933,M,0,550
31985,0,34,5.0,1,60,1,12.71,14,20.0,20.0,A,1,12.71,24,42,40741,M,1,1548
79468,0,44,5.0,2,32,0,10.0,12,11.0,15.0,A,3,10.0,13,30,12244,F,0,595
11870,0, .,5.0,?,52,0,77.5,22,0.0,150.0,A,1,77.5,12,0,18931,M,0,1285
185530,0,13,0.0,1,13,0,20.0,8,0.0,0.0,N,0,20.0,5,56,28704,M,0,3825
41068,0,24,5.0,1,32,9,11.0,13,13.0,13.0,A,2,11.0,13,17,19156,M,0,1365
142899,0,03,10.0,1,22,0,15.0,11,0.0,20.0,N,2,15.0,10,61,27692,F,0,3602
106633,1,46,4.0,2,45,0,5.29,13,5.0,5.0,S,8,5.29,18,39,12965,M,1,450
146135,0,19,10.0,2,71,0,16.25,13,0.0,21.0,A,2,16.25,32,16,11435,F,1,1577
42532,0,29,5.0,2,57,3,18.4,13,20.0,25.0,A,3,18.4,23,74,16842,F,1,774
124785,0,13,10.0,1,32,0,12.5,9,0.0,15.0,A,1,12.5,13,53,22269,F,0,916
27928,1,35,10.0,1,71,2,13.0,15,15.0,15.0,S,3,13.0,27,17,17688,M,1,1025
34612,0,30,10.0,3,72,0,21.6,29,24.0,25.0,A,2,21.6,22,43,8484,M,1,493
134724,0, .,3.0,?,56,0,6.88,10,10.0,10.0,A,2,6.88,21,0,12893,F,1,680
40977,0,36,5.0,2,62,0,11.44,13,0.0,25.0,A,1,11.44,27,52,11476,F,1,700
77465,0,30,3.0,3,40,0,6.25,12,7.0,7.0,A,6,6.25,16,42,10400,F,1,416
18568,0,41,15.0,3,12,0,15.0,9,15.0,15.0,F,1,15.0,5,21,10732,U,0,449
87395,1,42,5.0,1,62,0,15.1,13,19.0,21.0,A,5,15.1,23,32,15084,F,0,842
142705,0,07,10.0,2,28,3,13.5,6,16.0,16.0,A,3,13.5,14,45,7189,F,0,1318
123694,0,24,10.0,1,55,0,10.0,12,10.0,10.0,A,4,10.0,21,12,17340,F,1,1005
135171,0,15,5.0,1,68,0,12.44,13,0.0,20.0,A,2,12.44,28,35,21829,U,0,876
9576,0,07,3.0,2,73,2,8.4,18,11.5,13.0,S,4,8.4,14,23,13890,F,1,1619
15874,0,34,3.0,1,28,0,14.0,14,14.0,25.0,A,2,14.0,11,20,20521,M,0,1244
