CONTROL_NUMBER,DONATED,CLUSTER_CODE,LIFETIME_GIFT_AMOUNT,PCT_ATTRIBUTE4,FREQUENCY_STATUS_97NK,INCOME_GROUP,FILE_CARD_GIFT,MEDIAN_HOUSEHOLD_INCOME,RECENT_CARD_RESPONSE_PROP,MONTHS_SINCE_LAST_GIFT,WEALTH_RATING,PCT_OWNER_OCCUPIED,URBANICITY,RECENT_AVG_CARD_GIFT_AMT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_FIRST_GIFT,LIFETIME_GIFT_RANGE,RECENCY_STATUS_96NK,MOR_HIT_RATE
186396,1,36,92.0,32,1,5.0,4,277,0.111,8,6.0,66,T,20.0,1,75,20.0,A,0
80395,1,24,15.0,26,1,5.0,0,477,0.0,18,,81,C,0.0,0,18,0.0,F,0
158425,0,07,25.0,25,1,,1,457,0.25,24,,83,U,25.0,1,24,0.0,N,0
40388,0,40,88.0,47,2,5.0,5,410,0.167,22,,93,T,15.0,1,105,12.0,A,12
167318,0,35,274.0,14,2,,6,568,0.182,18,8.0,89,T,17.5,2,89,20.0,S,0
65556,0,08,90.0,57,2,3.0,3,272,0.111,21,3.0,92,U,20.0,1,81,15.0,A,0
166115,0,42,113.0,62,1,2.0,4,328,0.182,18,4.0,53,R,11.0,2,44,15.0,A,0
81404,0,45,23.0,33,1,1.0,1,203,0.2,23,,64,R,23.0,1,23,0.0,N,4
95180,0,45,20.0,46,1,5.0,1,254,0.5,17,,65,R,20.0,1,17,0.0,F,6
72682,0,42,40.0,28,1,3.0,1,406,0.0,18,3.0,95,R,0.0,0,57,10.0,A,39
58043,0,51,35.0,38,1,7.0,1,138,0.0,15,,75,R,0.0,0,40,18.0,A,0
80995,1,53,82.0,42,2,2.0,7,174,0.182,19,0.0,81,R,6.0,2,65,7.0,S,0
24310,0,42,81.0,56,1,5.0,7,307,0.0,16,7.0,81,R,0.0,0,100,12.0,A,0
125907,0,34,175.0,31,1,4.0,8,421,0.0,18,8.0,78,T,0.0,0,123,10.0,A,0
108788,0,35,60.0,38,1,,1,375,0.0,18,3.0,75,T,0.0,0,52,20.0,A,0
39665,0,21,317.0,26,1,3.0,7,314,0.182,18,5.0,65,S,36.5,2,81,19.0,A,31
24753,0,40,151.0,36,2,5.0,9,358,0.143,19,9.0,82,T,16.0,1,130,20.0,S,2
187882,0,36,160.0,29,1,,5,346,0.0,18,,77,T,0.0,0,67,15.0,E,0
14677,0,24,344.0,10,4,,15,633,0.545,18,3.0,91,C,13.33,6,69,10.0,S,0
74276,0,49,32.0,33,2,1.0,1,232,0.2,17,,92,R,20.0,1,31,15.0,A,20
133660,0,24,31.0,47,1,,2,201,0.143,23,,35,C,16.0,1,40,11.0,A,0
150248,1,18,57.0,24,1,6.0,1,555,0.0,18,8.0,92,S,0.0,0,53,10.0,A,1
11887,0, .,602.0,0,1,1.0,1,544,0.0,4,8.0,59,?,0.0,0,44,195.0,A,1
15737,0,40,69.0,29,1,3.0,4,352,0.222,19,7.0,90,T,14.0,2,53,15.0,A,0
36633,0,23,25.0,69,2,3.0,2,303,0.4,17,,44,C,12.5,2,25,15.0,N,0
103058,0,51,186.0,34,1,1.0,15,205,0.364,18,2.0,79,R,18.75,4,126,20.0,S,0
125636,0,28,20.0,58,1,,0,316,0.0,16,,93,C,0.0,0,16,0.0,F,0
73293,0,38,82.0,22,1,5.0,9,342,0.3,20,8.0,53,T,6.67,3,122,8.0,A,0
64480,1,36,50.0,35,3,,3,277,0.0,17,4.0,69,T,0.0,0,52,5.0,A,0
178523,0,12,201.0,6,4,2.0,9,535,0.3,19,9.0,91,S,15.67,3,130,15.0,S,3
71038,0,40,96.0,36,1,,6,364,0.111,17,6.0,78,T,15.0,1,125,10.0,A,0
115900,0,18,87.0,15,2,4.0,3,437,0.0,23,8.0,78,S,0.0,0,113,15.0,A,16
48865,0,51,52.0,37,1,,3,206,0.25,18,5.0,71,R,21.0,1,90,16.0,A,0
157574,0,24,231.0,40,2,6.0,9,609,0.182,24,8.0,83,C,15.0,2,131,20.0,A,17
46034,0,24,40.0,25,4,4.0,2,473,0.4,18,,96,C,12.0,2,24,8.0,N,5
74784,0, .,82.0,0,2,6.0,8,588,0.375,21,,92,?,7.67,3,113,10.0,A,1
101945,0,40,30.0,31,4,5.0,3,328,0.5,15,,70,T,6.67,3,29,5.0,A,0
25387,0,24,65.0,36,3,7.0,8,546,0.4,19,9.0,96,C,5.0,4,79,4.0,S,6
49425,0,27,135.0,39,1,3.0,7,276,0.125,16,9.0,64,C,10.0,1,63,27.0,A,1
86818,0,45,40.0,21,1,1.0,1,249,0.143,20,,71,R,20.0,1,33,0.0,A,0
38812,1,03,86.0,63,1,5.0,3,515,0.0,15,9.0,79,U,0.0,0,75,7.0,A,34
168352,0,19,71.0,43,4,2.0,7,339,0.667,16,,23,S,6.83,6,44,6.0,S,0
52251,0,36,135.0,52,2,3.0,15,229,0.111,21,,61,T,10.0,1,130,5.0,S,21
79627,1,14,75.0,25,3,,4,264,0.375,17,9.0,14,S,10.67,3,77,9.0,A,0
126975,0,14,125.0,36,2,7.0,3,586,0.429,15,,95,S,41.67,3,29,20.0,A,4
111827,0,50,125.0,38,2,5.0,2,174,0.1,16,,68,R,50.0,1,38,30.0,A,0
71193,0,39,211.0,11,3,7.0,18,215,0.545,24,3.0,56,T,6.67,6,120,12.0,S,7
104004,1,53,82.0,50,2,3.0,8,192,0.333,19,2.0,89,R,10.0,3,102,8.0,A,0
116739,0,40,49.0,23,3,7.0,5,394,0.333,17,,77,T,10.0,3,53,8.0,A,0
99066,1,50,102.0,43,4,3.0,11,116,0.556,15,0.0,56,R,5.4,5,88,6.0,S,0
35914,1,16,43.0,38,4,,6,373,0.222,17,8.0,87,S,3.5,2,64,8.0,S,0
21214,0,43,65.0,8,1,1.0,4,246,0.222,23,7.0,68,R,20.0,2,57,15.0,A,2
134032,1,49,210.0,24,1,,12,305,0.364,18,0.0,78,R,18.25,4,110,11.0,A,0
45442,0,33,127.0,62,2,,6,200,0.333,17,2.0,90,C,15.67,3,73,20.0,A,0
20889,0,43,41.0,25,3,3.0,2,203,0.167,19,,83,R,9.0,1,56,6.0,A,0
87680,1,46,185.0,39,3,1.0,16,236,0.5,18,5.0,78,R,11.2,5,127,10.0,S,2
36457,0,09,36.0,46,3,4.0,3,175,0.429,22,,41,U,10.0,3,28,4.0,A,0
99308,0,18,56.0,25,1,5.0,2,302,0.0,27,7.0,63,S,0.0,0,93,15.0,A,0
175504,0,05,155.0,44,2,1.0,15,344,0.182,18,3.0,88,U,8.5,2,111,14.0,S,6
188383,0,40,82.0,28,1,5.0,2,298,0.0,6,7.0,80,T,0.0,0,71,5.0,A,0
54959,0,50,33.0,35,1,5.0,0,196,0.0,20,,86,R,0.0,0,20,0.0,F,2
148157,0,24,102.0,20,1,,7,801,0.125,18,,92,C,26.0,1,126,21.0,A,0
97543,0,36,113.0,31,2,,8,220,0.273,17,2.0,69,T,15.0,3,113,22.0,S,0
184302,0,44,24.0,23,3,4.0,2,461,0.667,16,,92,R,9.0,2,21,4.0,N,1
63622,0,39,89.0,30,1,5.0,11,298,0.0,16,5.0,87,T,0.0,0,126,7.0,A,7
138000,1,31,126.0,33,4,,16,222,0.778,6,1.0,75,C,6.29,7,125,7.0,S,0
88535,1,35,84.0,11,1,7.0,5,772,0.0,17,9.0,92,T,0.0,0,130,18.0,A,24
49115,0,43,143.0,28,3,2.0,8,252,0.364,21,5.0,84,R,13.75,4,57,5.0,S,0
19280,0,44,20.0,19,1,3.0,2,315,0.4,24,,82,R,10.0,2,29,10.0,A,0
44419,1,28,96.0,70,4,3.0,4,211,0.125,15,,82,C,13.0,1,52,13.0,A,0
123672,0,53,100.0,55,3,2.0,4,166,0.375,16,,85,R,23.33,3,42,20.0,A,0
2464,1, .,266.0,0,4,4.0,14,195,0.545,6,2.0,72,?,8.0,6,77,6.0,S,0
121955,0,15,15.0,19,1,,0,472,0.0,23,,74,S,0.0,0,23,0.0,N,0
53963,0,48,57.0,47,2,5.0,1,239,0.0,15,,77,R,0.0,0,45,15.0,A,0
154935,0,40,50.0,33,1,4.0,0,321,0.0,18,,83,T,0.0,0,44,20.0,A,6
21178,0,40,25.0,30,1,5.0,1,332,0.167,19,,77,T,10.0,1,28,5.0,A,0
23542,0,12,15.0,21,1,5.0,1,393,1.0,15,,85,S,15.0,1,15,0.0,E,1
168038,1,14,180.0,11,3,6.0,7,1214,0.3,17,9.0,94,S,30.0,3,87,35.0,A,9
9759,0,43,144.0,34,1,5.0,7,226,0.0,9,4.0,74,R,0.0,0,113,13.0,A,1
163903,0,03,178.0,48,2,5.0,16,398,0.364,20,6.0,55,U,11.75,4,130,10.0,S,0
100775,0,13,117.0,51,3,7.0,6,542,0.25,16,9.0,83,S,27.5,2,80,28.0,A,19
62482,0,25,98.0,34,2,,8,314,0.0,20,6.0,33,C,0.0,0,124,7.0,S,0
105140,0,35,20.0,24,1,6.0,1,561,0.333,20,,83,T,20.0,1,20,0.0,F,13
38997,0,23,151.0,47,3,,8,479,0.125,17,9.0,84,C,12.0,1,92,10.0,S,0
27267,1,35,63.0,19,2,5.0,5,412,0.125,23,,79,T,25.0,1,92,23.0,A,8
157481,1,11,102.0,20,1,,4,521,0.273,25,,47,S,16.33,3,41,5.0,A,0
123604,0,24,36.0,8,4,7.0,4,519,0.429,16,,83,C,5.67,3,52,4.0,A,2
123819,0,18,57.0,28,1,6.0,1,407,0.111,26,,69,S,10.0,1,32,5.0,A,0
148061,0,11,75.0,45,1,,2,353,0.0,19,9.0,81,S,0.0,0,56,0.0,A,0
76851,1,49,65.0,24,2,3.0,3,224,0.222,21,,54,R,17.5,2,42,20.0,A,2
124251,0,32,23.0,37,1,1.0,1,191,0.5,16,,62,C,23.0,1,16,0.0,F,0
8136,0,30,128.0,28,4,1.0,9,211,0.444,15,,69,C,6.0,4,98,5.0,S,0
187611,0,40,66.0,20,2,,4,415,0.5,17,,89,T,12.0,2,41,10.0,E,0
22262,0,41,41.0,40,2,5.0,3,289,0.5,21,,61,T,13.67,3,29,15.0,A,2
94594,0,08,123.0,15,2,1.0,7,282,0.2,17,3.0,47,U,17.5,2,76,16.0,A,4
34849,0,28,112.0,54,1,7.0,6,226,0.182,17,5.0,74,C,25.0,2,88,20.0,A,0
38656,0,19,101.0,8,2,,2,408,0.091,16,,56,S,16.0,1,41,14.0,A,0
95165,0,46,45.0,44,2,,0,314,0.0,19,,69,R,0.0,0,32,15.0,A,0
179028,0,20,81.0,43,3,,3,396,0.125,17,,62,S,30.0,1,44,27.0,A,0
69196,0,31,132.0,27,1,,9,95,0.182,25,0.0,18,C,14.0,2,128,13.0,A,0
145284,0,01,242.0,42,3,5.0,8,333,0.091,15,4.0,5,U,30.0,1,123,40.0,S,0
74188,0, .,105.0,0,2,4.0,9,415,0.182,25,6.0,81,?,10.0,2,119,9.0,S,1
38340,0,02,25.0,38,3,7.0,3,456,0.75,15,,74,U,8.33,3,25,5.0,N,0
50870,0,20,102.0,43,1,2.0,11,320,0.0,18,7.0,55,S,0.0,0,130,7.0,A,6
141877,0,39,50.0,23,2,1.0,1,325,0.143,15,,71,T,20.0,1,27,10.0,N,0
89341,0,12,30.0,6,1,4.0,1,481,0.167,19,,89,S,10.0,1,30,10.0,A,0
47889,0,31,139.0,47,1,,7,282,0.0,18,6.0,76,C,0.0,0,130,8.0,A,0
28406,1,13,72.0,35,1,6.0,3,982,0.25,16,9.0,83,S,18.0,2,90,14.0,A,0
55156,0,38,116.0,25,4,6.0,7,179,0.7,15,,53,T,11.57,7,36,3.0,S,0
70076,1,21,183.0,56,2,3.0,13,327,0.182,18,4.0,60,S,10.0,2,130,6.0,S,1
31174,0,25,194.0,17,3,1.0,15,240,0.455,16,2.0,12,C,9.8,5,104,8.0,S,29
102328,0,32,60.0,31,2,2.0,2,84,0.25,19,,65,C,20.0,2,33,0.0,A,0
144456,0,08,44.0,23,4,4.0,2,266,0.286,20,,47,U,5.0,2,28,8.0,A,7
137613,0,36,70.0,42,1,4.0,1,232,0.143,19,,73,T,20.0,1,30,30.0,A,0
154166,1,28,25.0,41,1,4.0,1,352,0.333,20,,81,C,25.0,1,20,0.0,F,5
143714,0,10,40.0,32,3,1.0,4,93,0.5,15,,1,U,10.0,3,29,0.0,A,0
75442,0,45,101.0,38,3,1.0,8,251,0.111,15,4.0,64,R,6.0,1,114,5.0,S,1
85658,0,49,80.0,33,2,1.0,11,246,0.4,17,2.0,87,R,8.0,4,113,8.0,S,0
124208,0,39,272.0,35,4,4.0,15,251,0.182,18,4.0,79,T,12.5,2,127,25.0,S,0
177460,0,45,97.0,44,1,,7,146,0.0,18,0.0,69,R,0.0,0,125,17.0,A,0
118815,0,24,69.0,15,4,6.0,5,389,0.5,17,9.0,69,C,9.25,4,45,5.0,A,19
153765,0,14,82.0,34,1,6.0,3,138,0.0,18,9.0,72,S,0.0,0,68,31.0,A,3
114912,1,38,433.0,30,4,2.0,16,306,0.455,15,6.0,53,T,23.4,5,123,20.0,S,1
116878,0,02,15.0,48,1,7.0,1,578,0.5,17,,82,U,15.0,1,17,0.0,F,0
12011,1,31,142.0,0,1,5.0,8,691,0.167,18,,91,C,11.0,1,104,7.0,A,0
20754,0,28,40.0,54,3,2.0,4,161,0.444,21,,69,C,7.5,4,33,6.0,A,0
22150,1,41,57.0,45,3,4.0,10,228,0.3,16,,75,T,5.67,3,122,6.0,A,11
148131,1,24,40.0,20,1,6.0,1,801,0.0,26,,92,C,0.0,0,42,10.0,A,1
130537,0,18,29.0,36,4,5.0,4,367,0.444,17,,82,S,3.0,4,38,3.0,A,2
18752,0,24,57.0,4,1,6.0,3,481,0.286,16,9.0,92,C,16.0,2,53,15.0,A,0
44602,0,40,103.0,34,2,1.0,5,414,0.091,17,6.0,89,T,19.0,1,68,16.0,A,3
72310,0,44,90.0,43,1,6.0,4,403,0.111,18,7.0,91,R,20.0,1,104,10.0,A,1
163757,1,13,45.0,45,3,2.0,1,646,0.167,18,,74,S,5.0,1,29,25.0,A,0
65415,0,13,38.0,48,3,5.0,2,425,0.5,16,,98,S,13.0,2,23,6.0,N,3
4404,0,35,182.0,28,2,,5,616,0.091,18,8.0,94,T,25.0,1,113,20.0,A,0
190730,1, .,169.0,28,1,4.0,13,248,0.1,19,9.0,77,?,13.0,1,127,11.0,A,0
115737,0,24,21.0,23,1,,1,451,0.5,16,,65,C,21.0,1,16,0.0,F,0
58284,1,45,59.0,37,4,2.0,6,225,0.455,16,5.0,83,R,3.8,5,67,4.0,A,1
76758,1,45,142.0,38,3,3.0,15,282,0.4,16,4.0,78,R,8.0,4,128,8.0,S,0
157260,0,13,52.0,50,1,7.0,3,591,0.222,23,,86,S,15.0,2,41,5.0,A,42
115430,0,43,60.0,35,1,1.0,10,299,0.0,18,,88,R,0.0,0,113,9.0,A,0
48742,0,24,22.0,47,3,5.0,2,447,0.667,15,,91,C,8.0,2,21,6.0,N,0
101098,0,24,82.0,11,2,5.0,4,479,0.0,20,9.0,65,C,0.0,0,81,6.0,A,6
41614,0,17,97.0,20,2,5.0,5,315,0.25,21,5.0,57,S,19.0,2,112,10.0,A,0
113700,0,24,32.0,36,1,2.0,3,303,0.25,20,,59,C,13.5,2,39,15.0,A,1
83830,0,18,130.0,54,1,4.0,10,384,0.222,24,6.0,87,S,13.0,2,89,10.0,A,0
76010,1,21,49.0,32,3,1.0,3,140,0.2,23,,35,S,7.0,1,102,8.0,A,0
190726,1, .,160.0,57,2,4.0,7,391,0.2,16,6.0,90,?,16.5,2,124,13.0,A,1
182883,0,40,53.0,23,3,7.0,3,396,0.25,19,5.0,92,T,10.0,2,52,7.0,A,2
50200,1,24,65.0,32,4,4.0,2,482,0.222,18,,94,C,10.0,2,32,5.0,A,2
51486,1,30,140.0,26,4,5.0,13,119,0.455,17,5.0,42,C,6.0,5,92,6.0,S,14
88002,0,34,70.0,43,1,6.0,3,481,0.1,22,8.0,62,T,15.0,1,57,10.0,A,0
33477,0,35,174.0,27,3,5.0,10,780,0.333,15,9.0,92,T,15.0,3,128,14.0,S,1
171188,1,38,346.0,47,2,5.0,14,223,0.273,20,2.0,46,T,13.33,3,105,15.0,S,10
162254,1,13,115.0,60,1,7.0,3,839,0.0,18,9.0,91,S,0.0,0,104,15.0,A,13
101256,0,43,152.0,26,1,2.0,10,217,0.125,18,1.0,81,R,13.0,1,123,13.0,A,0
151730,1,05,55.0,50,4,,7,374,0.5,15,6.0,86,U,5.0,5,65,0.0,A,0
95151,1,51,23.0,53,3,3.0,1,202,0.2,18,,66,R,5.0,1,24,6.0,N,3
21919,0, .,49.0,0,1,5.0,10,208,0.167,21,,84,?,10.0,1,127,9.0,A,0
57982,0,39,176.0,30,1,5.0,13,375,0.222,18,8.0,86,T,9.0,2,130,8.0,A,12
118673,1,45,119.0,30,2,,9,321,0.222,18,3.0,89,R,8.5,2,100,10.0,A,0
63830,0,38,140.0,28,1,2.0,11,289,0.167,21,,62,T,10.0,1,124,12.0,A,1
90807,0,32,30.0,40,1,2.0,1,170,0.0,21,,69,C,0.0,0,40,10.0,A,0
163308,0,01,31.0,10,3,5.0,2,304,0.333,16,,8,U,7.0,2,29,5.0,A,0
84837,0,27,143.0,25,4,,7,485,0.364,15,0.0,87,C,13.25,4,80,12.0,S,0
184282,0,44,43.0,21,4,,1,366,0.125,18,,78,R,6.0,1,52,5.0,A,0
110876,0,50,105.0,27,2,,10,153,0.333,21,,74,R,10.0,1,130,5.0,S,0
34333,0,24,195.0,22,2,,10,233,0.111,18,6.0,91,C,10.0,1,130,9.0,S,0
186647,0,14,63.0,0,3,6.0,4,212,0.143,8,,79,S,5.0,1,92,17.0,A,0
32972,1,18,104.0,13,4,4.0,5,268,0.444,18,3.0,81,S,14.0,4,52,12.0,S,4
100265,0,12,58.0,50,4,3.0,3,423,0.3,19,,91,S,8.0,3,35,9.0,S,0
129184,1,44,100.0,36,4,,2,223,0.143,19,5.0,83,R,20.0,1,45,15.0,A,0
80179,0,49,48.0,37,1,2.0,2,260,0.125,24,5.0,86,R,15.0,1,45,7.0,A,0
82446,0,49,221.0,16,2,4.0,8,313,0.182,20,5.0,72,R,20.0,2,104,20.0,S,0
148227,1,12,43.0,35,1,7.0,2,564,0.0,17,,83,S,0.0,0,53,25.0,A,0
62704,1,36,51.0,46,3,5.0,4,312,0.375,21,4.0,78,T,11.33,3,45,8.0,A,2
17659,0,18,106.0,16,4,1.0,3,192,0.2,17,,11,S,20.5,2,39,15.0,A,0
173165,0,36,29.0,37,4,5.0,3,204,0.429,15,,67,T,5.67,3,33,2.0,A,0
92301,0,14,35.0,44,3,7.0,1,878,0.143,18,,96,S,10.0,1,32,5.0,A,0
68242,0,10,20.0,16,1,2.0,1,274,0.5,18,,69,U,20.0,1,18,0.0,F,0
171883,0,08,67.0,22,4,5.0,4,488,0.444,17,,51,U,8.75,4,35,7.0,A,3
4463,0, .,140.0,0,1,,3,221,0.111,6,,21,?,20.0,1,66,15.0,A,0
128522,1,34,435.0,38,4,,27,132,0.818,17,6.0,43,T,10.22,9,130,12.0,S,0
126133,0,05,90.0,52,3,6.0,2,273,0.333,18,,76,U,37.5,2,25,35.0,N,0
190727,1, .,104.0,99,1,3.0,8,236,0.222,26,0.0,78,?,8.0,2,98,10.0,A,2
161923,0,28,109.0,31,1,5.0,2,380,0.0,26,4.0,84,C,0.0,0,78,10.0,A,0
44505,0,37,25.0,38,2,6.0,1,194,0.2,15,,74,T,5.0,1,29,10.0,A,7
98382,0,30,76.0,17,4,2.0,12,121,0.364,18,0.0,59,C,6.0,4,126,5.0,S,5
2503,0,24,55.0,39,1,3.0,3,524,0.5,9,,88,C,15.0,1,20,5.0,N,4
63568,0,42,54.0,26,2,,5,314,0.333,21,8.0,81,R,11.67,3,78,13.0,A,0
109480,0,43,294.0,26,3,4.0,6,244,0.091,18,4.0,80,R,19.0,1,123,26.0,A,0
30780,0,35,118.0,35,1,4.0,6,276,0.0,17,7.0,79,T,0.0,0,86,10.0,A,9
142802,0,08,47.0,75,1,,3,319,0.25,15,,77,U,20.5,2,41,19.0,A,0
99042,0,34,74.0,74,1,,4,300,0.25,23,7.0,66,T,15.0,2,89,10.0,A,0
113776,0,39,65.0,4,3,1.0,1,253,0.143,15,,1,T,20.0,1,32,15.0,A,0
83767,0,16,164.0,40,1,5.0,12,380,0.182,18,3.0,95,S,8.0,2,105,13.0,A,3
44922,0,33,32.0,78,1,5.0,1,219,0.0,26,,79,C,0.0,0,42,12.0,A,4
14875,0,51,595.0,40,1,,4,216,0.0,16,1.0,83,R,0.0,0,104,80.0,A,0
15810,0,36,23.0,18,1,5.0,2,274,0.4,16,,65,T,11.5,2,29,7.0,A,0
18657,0,43,168.0,35,1,4.0,12,216,0.2,16,3.0,75,R,12.5,2,112,10.0,A,0
21170,0,34,196.0,48,2,7.0,18,338,0.364,19,8.0,75,T,8.75,4,119,10.0,S,12
21532,0,36,38.0,45,1,4.0,1,265,0.0,26,6.0,79,T,0.0,0,53,17.0,A,0
114987,0,45,33.0,46,4,1.0,3,161,0.333,18,,66,R,5.67,3,40,3.0,A,0
28717,0,13,205.0,49,4,7.0,15,978,0.182,18,9.0,97,S,15.0,2,122,18.0,S,0
142466,1,10,286.0,36,2,5.0,6,168,0.273,12,0.0,37,U,20.33,3,76,15.0,A,0
183160,0,18,62.0,19,1,2.0,4,327,0.222,16,4.0,84,S,16.0,2,53,12.0,A,2
6086,0,32,187.0,0,1,1.0,8,170,0.3,15,2.0,53,C,11.67,3,96,12.0,A,3
145588,0,22,98.0,49,2,5.0,12,407,0.167,16,,48,C,12.0,1,128,9.0,S,2
13125,0, .,172.2,0,3,1.0,13,195,0.273,19,,81,?,8.33,3,113,11.0,S,0
30030,0,47,15.0,34,1,,1,174,0.333,21,,72,R,15.0,1,21,0.0,F,0
104367,1,14,46.0,17,4,6.0,4,386,0.571,18,,90,S,7.0,4,28,7.0,A,1
160869,1,27,83.0,21,4,,12,328,0.545,18,3.0,60,C,4.17,6,91,3.0,S,0
64522,1,46,56.0,39,3,,6,304,0.444,23,6.0,84,R,9.5,4,44,7.0,S,0
163894,0,01,145.0,21,1,2.0,6,397,0.1,22,5.0,28,U,25.0,1,127,15.0,A,1
8232,1,45,161.0,45,1,7.0,5,190,0.0,4,3.0,68,R,0.0,0,121,20.0,A,0
177307,1,30,107.0,35,2,,6,216,0.25,16,3.0,59,C,15.0,2,86,15.0,S,0
48551,1,50,30.0,37,1,3.0,2,152,0.333,22,,66,R,15.0,2,29,10.0,A,5
64766,0,17,25.0,19,1,2.0,1,377,0.25,24,,57,S,25.0,1,24,0.0,N,6
112288,1,51,79.0,43,2,2.0,3,389,0.3,18,,87,R,16.0,3,39,15.0,S,0
40470,0,35,105.0,16,1,6.0,6,518,0.222,26,9.0,96,T,11.0,2,120,7.0,A,9
179653,0,03,98.0,40,2,3.0,4,313,0.1,19,5.0,46,U,10.0,1,63,10.0,S,3
77049,0,28,50.0,42,1,4.0,1,301,0.143,24,,91,C,25.0,1,28,0.0,A,31
57790,0,51,109.0,33,1,,6,198,0.1,16,4.0,70,R,15.0,1,103,10.0,A,0
27749,0,12,50.0,30,2,7.0,3,537,0.143,21,9.0,95,S,20.0,1,57,15.0,A,16
71425,1,38,66.0,31,4,3.0,7,300,0.444,18,,91,T,7.0,4,74,7.0,A,5
133925,1,42,220.0,35,1,5.0,5,213,0.0,15,3.0,70,R,0.0,0,114,15.0,A,6
12348,0,23,405.0,51,1,5.0,3,371,0.091,6,9.0,48,C,100.0,1,67,80.0,A,14
3412,0,27,74.0,16,4,2.0,5,327,0.556,15,,45,C,9.6,5,33,4.0,S,0
163534,0,02,65.0,27,2,,3,597,0.25,22,8.0,83,U,15.0,2,44,15.0,A,0
97842,0,51,30.0,30,1,3.0,1,235,0.167,19,,81,R,5.0,1,28,20.0,A,0
33545,0,47,25.0,32,2,5.0,2,268,0.5,16,,81,R,12.5,2,21,5.0,N,0
190839,1,08,25.0,60,1,4.0,1,352,0.167,18,,87,U,10.0,1,28,5.0,A,0
42940,0,34,83.0,68,3,3.0,7,704,0.6,21,,76,T,10.33,3,53,6.0,S,0
146584,0,08,174.0,29,1,5.0,7,380,0.0,26,5.0,82,U,0.0,0,128,22.0,A,3
169217,0,27,55.0,40,1,6.0,0,348,0.0,25,,63,C,0.0,0,44,45.0,A,9
152505,0,16,99.0,48,1,4.0,6,411,0.0,26,5.0,91,S,0.0,0,113,12.0,A,26
36008,0,22,114.0,60,2,1.0,10,304,0.222,18,5.0,64,C,11.5,2,104,7.0,S,0
136635,0,35,32.0,8,1,7.0,1,700,0.0,25,,92,T,0.0,0,41,2.0,A,0
151806,1,16,117.0,56,3,2.0,13,351,0.222,15,5.0,75,S,5.0,2,124,2.0,S,0
65930,0,22,40.0,32,2,4.0,2,295,0.5,16,,52,C,10.0,1,17,20.0,N,10
190614,1,14,81.0,11,4,,8,572,0.75,15,,96,S,7.33,3,49,5.0,E,0
72109,0,44,79.0,24,2,2.0,5,378,0.111,18,6.0,88,R,13.0,1,81,10.0,A,0
91924,0,20,117.0,34,1,5.0,5,366,0.1,21,6.0,69,S,18.0,1,81,13.0,A,6
47610,0,47,87.0,45,4,,3,147,0.333,18,,63,R,8.67,3,48,12.0,S,0
34632,1,12,45.0,26,4,7.0,3,377,0.5,17,,87,S,8.67,3,28,7.0,A,1
136207,0,39,25.0,32,1,4.0,1,283,0.5,19,,63,T,25.0,1,19,0.0,F,0
121328,0,01,118.0,13,2,6.0,6,239,0.273,22,3.0,4,U,10.0,3,53,8.0,S,4
7550,0,04,185.0,30,3,2.0,16,274,0.222,17,3.0,36,U,10.0,2,130,12.0,S,39
24841,0,41,130.0,40,1,5.0,14,236,0.1,19,3.0,89,T,7.0,1,130,7.0,A,3
119635,0,25,92.0,0,1,5.0,4,249,0.125,15,6.0,16,C,15.0,1,77,10.0,E,6
54025,0,43,47.0,49,1,5.0,2,208,0.0,24,5.0,85,R,0.0,0,76,15.0,A,0
30665,0,18,51.0,27,3,4.0,2,353,0.222,16,,77,S,11.5,2,44,8.0,A,1
32616,0,45,20.0,52,1,,1,201,0.333,21,,80,R,20.0,1,21,0.0,F,0
10666,0,18,35.0,10,2,4.0,0,399,0.0,18,,91,S,0.0,0,36,5.0,N,24
2168,0,12,101.0,26,3,3.0,6,538,0.364,18,8.0,85,S,10.25,4,45,7.0,A,2
85797,1,51,93.5,36,2,7.0,12,173,0.375,23,1.0,85,R,10.67,3,128,13.5,S,0
133454,0,49,25.0,47,3,,2,229,0.4,15,,65,R,5.0,2,28,5.0,A,0
1502,0,14,47.0,28,1,7.0,2,542,0.0,18,9.0,94,S,0.0,0,57,5.0,A,0
105754,0,11,54.0,33,2,,1,448,0.0,17,,79,S,0.0,0,41,10.0,S,0
147641,1,20,107.0,52,4,,10,313,0.5,19,6.0,56,S,8.4,5,75,6.0,S,0
100218,1,08,82.0,77,4,1.0,11,224,0.4,16,,82,U,6.0,2,126,4.0,S,1
135607,0,16,50.0,14,2,1.0,3,268,0.5,16,,77,S,16.67,3,28,10.0,A,0
118166,1,45,40.0,44,3,,2,195,0.4,15,,75,R,15.0,2,24,10.0,N,0
88347,0,11,105.0,66,1,5.0,5,337,0.125,17,7.0,51,S,15.0,1,105,5.0,A,1
31365,0,47,20.0,50,1,,1,245,0.5,17,,77,R,20.0,1,17,0.0,F,0
187362,0,27,35.0,33,2,,3,309,1.0,16,,66,C,11.67,3,28,10.0,E,0
139039,0, .,20.0,0,1,5.0,1,275,0.5,17,,87,?,20.0,1,17,0.0,F,25
81844,0,30,45.0,14,3,3.0,5,227,0.444,17,,37,C,7.5,4,41,5.0,A,0
151812,0,10,79.0,42,4,,5,193,0.4,18,,22,U,7.25,4,40,7.0,S,0
