CONTROL_NUMBER,DONATED,CLUSTER_CODE,RECENT_CARD_RESPONSE_COUNT,RECENT_RESPONSE_PROP,MONTHS_SINCE_FIRST_GIFT,LIFETIME_CARD_PROM,IN_HOUSE,HOME_OWNER,MEDIAN_HOUSEHOLD_INCOME,RECENT_RESPONSE_COUNT,PCT_ATTRIBUTE4,LIFETIME_GIFT_COUNT,RECENT_AVG_CARD_GIFT_AMT,LIFETIME_GIFT_RANGE,PUBLISHED_PHONE,LIFETIME_AVG_GIFT_AMT,PEP_STAR,LIFETIME_MAX_GIFT_AMT,LIFETIME_GIFT_AMOUNT
11961,1,12,3,0.143,119,33,1,H,644,3,14,20,25.0,20.0,0,21.6,1,25.0,432.0
5497,0,08,5,0.316,127,35,1,H,251,6,55,47,5.0,12.0,1,5.21,1,15.0,245.0
146491,0,10,3,0.308,29,10,0,H,315,4,40,4,8.67,6.0,0,9.0,1,11.0,36.0
130047,0,10,1,0.2,17,5,0,H,161,1,26,1,20.0,0.0,1,20.0,0,20.0,20.0
161108,1,07,5,0.333,76,21,0,H,277,7,2,16,5.2,8.0,1,5.25,1,10.0,84.0
90927,0,46,1,0.15,90,25,0,U,368,3,33,14,10.0,7.0,0,5.71,1,10.0,80.0
22942,1,27,2,0.308,27,10,0,H,324,4,47,4,8.0,6.0,1,8.5,1,11.0,34.0
27988,0,35,1,0.238,41,15,0,H,540,5,25,6,11.0,45.0,1,26.83,1,50.0,161.0
47531,1,25,0,0.053,65,19,0,H,110,1,50,6,0.0,10.0,1,10.67,1,15.0,64.0
149114,0,24,0,0.0,18,4,0,H,865,0,22,1,0.0,0.0,0,20.0,0,20.0,20.0
58460,0,51,2,0.25,41,14,0,H,178,5,46,6,4.5,8.0,1,7.17,1,11.0,43.0
90210,0,18,0,0.154,26,10,0,U,360,2,42,2,0.0,40.0,1,30.0,0,50.0,60.0
133647,1,26,3,0.273,80,25,0,H,244,6,36,23,4.67,4.0,1,4.83,1,7.0,111.0
47889,0,31,0,0.105,130,29,0,U,282,2,47,20,0.0,8.0,1,6.95,1,11.0,139.0
100691,1,31,4,0.368,122,32,0,H,196,7,20,24,4.5,4.0,1,4.0,1,6.0,96.0
96625,0,39,1,0.067,97,29,0,U,228,1,50,17,25.0,20.0,1,10.94,1,25.0,186.0
152816,1,20,0,0.125,31,12,0,H,301,2,26,3,0.0,10.0,1,15.0,0,20.0,45.0
174452,0,40,1,0.059,56,15,0,U,399,1,24,5,20.0,15.0,0,10.4,0,20.0,52.0
9055,0,27,1,0.111,133,31,1,U,356,2,36,22,10.0,10.0,0,11.64,1,20.0,256.0
59571,0,49,1,0.2,32,11,0,U,312,3,32,3,25.0,15.0,1,20.0,0,25.0,60.0
1348,0,01,2,0.235,57,21,0,U,599,4,51,8,10.0,6.0,0,9.63,0,11.0,77.0
9793,0,03,1,0.105,41,14,0,U,319,2,49,5,20.0,7.0,1,21.2,0,25.0,106.0
81180,0,49,1,0.118,41,13,0,U,253,2,21,3,15.0,6.0,1,13.67,0,16.0,41.0
127061,0,35,1,0.133,33,9,0,H,551,2,9,2,10.0,5.0,1,12.5,0,15.0,25.0
70435,0,28,1,0.1,41,14,0,H,260,2,43,4,25.0,20.0,1,19.25,0,25.0,77.0
80395,1,24,0,0.25,18,4,0,H,477,1,26,1,0.0,0.0,0,15.0,0,15.0,15.0
47970,0,43,0,0.143,28,10,0,U,277,2,32,3,0.0,3.0,0,14.67,0,16.0,44.0
124484,1,34,5,0.417,29,11,0,U,330,5,27,8,9.8,10.0,0,8.25,1,13.0,66.0
44940,0,37,1,0.2,17,6,0,U,307,1,57,1,25.0,0.0,0,25.0,0,25.0,25.0
105657,0,46,1,0.105,119,30,0,U,243,2,37,10,15.0,11.0,0,11.7,1,16.0,117.0
37318,0,18,5,0.286,56,21,0,H,443,6,22,17,13.6,15.0,0,9.24,1,20.0,157.0
175298,0,07,4,0.211,33,13,0,H,295,4,27,6,11.75,5.0,0,11.5,1,15.0,69.0
76105,0,49,2,0.25,44,13,0,H,303,4,32,5,15.5,11.0,1,12.2,0,16.0,61.0
41116,0,10,0,0.125,32,11,0,H,197,2,21,2,0.0,10.0,1,15.0,0,20.0,30.0
144206,0,10,0,0.083,38,8,0,U,0,1,0,2,0.0,12.0,0,9.0,0,15.0,18.0
88953,0,23,1,0.2,17,5,0,H,378,1,76,1,15.0,0.0,1,15.0,0,15.0,15.0
123938,0,35,1,0.056,110,28,0,H,433,1,50,16,12.0,9.0,1,8.5,1,12.0,136.0
153647,0,12,1,0.158,41,13,0,U,521,3,41,4,10.0,5.0,0,8.0,0,10.0,32.0
113267,0,31,0,0.167,20,5,0,H,137,1,41,1,0.0,0.0,1,15.0,0,15.0,15.0
141786,0,24,5,0.444,65,19,0,H,410,8,59,12,5.4,5.0,1,5.42,1,8.0,65.0
8163,0,49,3,0.25,105,28,1,H,269,5,26,18,9.67,13.0,0,8.22,1,16.0,148.0
16360,0,32,1,0.286,20,7,0,U,168,2,48,3,12.0,6.0,1,9.33,0,12.0,28.0
98374,1,28,3,0.25,125,30,0,H,268,5,53,23,9.0,10.0,1,6.22,1,15.0,143.0
6123,0,35,3,0.211,129,32,1,U,474,4,22,19,17.33,13.0,1,13.78,1,19.0,261.9
21135,1,48,1,0.235,111,26,0,U,251,4,43,34,8.0,11.0,0,7.24,1,14.0,246.0
187686,0, .,1,0.25,44,8,0,U,671,2,0,3,10.0,20.0,1,13.33,0,25.0,40.0
153445,0,03,0,0.25,53,9,0,H,339,1,32,2,0.0,46.0,0,27.0,0,50.0,54.0
19222,0,35,2,0.154,29,9,0,U,478,2,41,2,15.0,0.0,0,15.0,0,15.0,30.0
60417,0,40,4,0.421,74,24,0,U,425,8,23,18,8.25,6.0,0,7.06,1,10.0,127.0
59588,1,49,3,0.364,129,28,0,H,268,4,35,35,2.0,5.0,1,2.97,1,7.0,104.0
39020,1,14,1,0.063,41,10,0,U,327,1,17,2,15.0,5.0,0,12.5,0,15.0,25.0
35607,0,27,0,0.05,96,27,0,H,342,1,22,11,0.0,77.0,0,35.91,1,82.0,395.0
190064,1,10,2,0.333,28,5,0,U,149,2,24,2,10.0,10.0,0,10.0,0,15.0,20.0
169231,1,27,4,0.211,97,28,0,U,305,4,33,29,14.25,10.0,0,9.76,1,15.0,283.0
167165,1,03,3,0.158,57,15,0,H,345,3,21,5,14.33,12.0,1,11.0,0,17.0,55.0
162593,1,13,0,0.105,103,23,0,U,1500,2,27,7,0.0,10.0,1,9.29,0,15.0,65.0
123356,0,39,1,0.125,45,11,0,H,256,2,27,3,16.0,6.0,0,12.0,0,16.0,36.0
58993,0,49,2,0.143,29,9,0,H,0,2,32,2,20.0,0.0,0,20.0,0,20.0,40.0
189438,1,04,3,0.263,52,17,0,U,263,5,48,9,8.67,5.0,1,7.67,0,10.0,69.0
142962,0,07,2,0.1,74,24,0,H,316,2,52,5,18.0,10.0,0,16.0,0,20.0,80.0
115274,0,36,1,0.25,18,5,0,U,302,1,38,1,15.0,0.0,1,15.0,0,15.0,15.0
93883,1,08,3,0.412,41,13,0,H,289,7,27,9,3.0,3.0,0,3.56,1,5.0,32.0
118773,0,25,2,0.211,63,19,0,U,189,4,42,8,10.0,5.0,0,7.5,0,10.0,60.0
20054,0,39,2,0.125,45,12,0,H,332,2,4,3,15.5,15.0,0,12.0,0,20.0,36.0
124595,0,34,1,0.1,123,32,0,H,455,2,38,16,14.0,12.0,0,7.56,1,14.0,121.0
8276,1,14,1,0.045,122,35,1,H,1490,1,34,19,18.0,11.0,0,12.63,1,18.0,240.0
81350,1,49,0,0.143,19,6,0,U,272,1,32,1,0.0,0.0,0,20.0,0,20.0,20.0
177055,0,44,1,0.053,44,15,0,U,198,1,30,4,28.0,45.0,0,28.25,0,50.0,113.0
43001,1,28,0,0.5,15,3,0,U,267,1,77,1,0.0,0.0,0,15.0,0,15.0,15.0
136385,1,23,4,0.353,92,15,0,U,241,6,83,16,6.75,12.0,0,6.75,0,15.0,108.0
138632,0,43,1,0.067,126,30,0,H,209,1,49,18,10.0,15.0,1,12.0,1,20.0,216.0
113241,0,26,1,0.2,17,6,0,U,278,1,73,1,25.0,0.0,1,25.0,0,25.0,25.0
137636,0,53,2,0.111,53,15,0,H,194,2,56,4,15.0,12.0,1,10.0,0,15.0,40.0
55308,0,13,1,0.158,112,29,0,H,376,3,56,10,10.0,9.0,1,6.9,1,12.0,69.0
151455,1,10,2,0.105,40,15,0,U,301,2,0,3,18.0,10.0,0,15.33,0,20.0,46.0
105565,0,35,2,0.2,65,20,0,H,399,4,55,7,22.5,25.0,1,19.29,0,30.0,135.0
82711,0,17,2,0.091,101,30,0,H,265,2,40,14,25.0,22.0,1,17.71,1,27.0,248.0
141665,0,24,1,0.2,17,5,0,H,410,1,59,1,15.0,0.0,0,15.0,0,15.0,15.0
13288,1,28,5,0.316,41,16,1,H,392,6,59,10,19.0,20.0,0,15.3,1,25.0,153.0
189081,0,18,0,0.071,90,19,0,U,367,1,11,7,0.0,11.0,1,9.71,0,16.0,68.0
163267,0,02,1,0.091,76,25,0,H,443,2,33,16,20.0,15.0,0,11.81,1,20.0,189.0
6026,0,14,3,0.273,91,32,1,U,827,6,31,23,18.67,18.0,0,14.0,1,21.0,322.0
174578,0,28,1,0.273,63,14,0,U,262,3,43,5,15.0,10.0,0,11.0,0,15.0,55.0
156101,0,39,3,0.182,125,30,0,U,342,4,28,21,38.33,37.0,0,19.0,1,40.0,399.0
137915,0,51,4,0.5,29,10,0,H,213,6,36,8,4.5,2.0,1,3.75,1,5.0,30.0
111061,0,41,2,0.118,57,17,0,U,115,2,38,6,18.5,20.0,0,14.5,0,25.0,87.0
68221,0,08,0,0.143,63,20,0,H,274,3,12,9,0.0,15.0,0,13.56,0,25.0,122.0
23644,0,36,1,0.095,67,24,0,H,370,2,32,5,25.0,25.0,0,30.0,0,50.0,150.0
77011,1,36,2,0.294,32,13,0,H,257,5,35,5,9.0,10.0,1,11.6,1,15.0,58.0
179231,0,40,3,0.176,33,12,0,H,458,3,24,3,13.33,10.0,1,13.33,0,20.0,40.0
153400,0,02,0,0.2,16,5,0,U,248,1,88,1,0.0,0.0,1,18.0,0,18.0,18.0
185473,0,43,2,0.158,113,28,1,U,226,3,0,12,20.0,18.0,0,10.75,1,20.0,129.0
58553,0,39,1,0.1,45,16,0,H,229,2,0,3,30.0,10.0,0,25.0,0,30.0,75.0
191127,0,35,2,0.273,124,29,1,U,771,6,11,14,6.5,6.0,1,6.36,1,9.0,89.0
62704,1,36,3,0.25,45,14,0,H,312,4,46,5,11.33,8.0,0,10.2,0,13.0,51.0
10712,1,14,4,0.286,124,30,1,U,791,6,15,16,7.75,8.0,1,6.06,1,11.0,97.0
98998,0,51,2,0.19,36,14,0,H,178,4,37,4,12.5,18.0,0,17.25,1,28.0,69.0
174760,1,40,2,0.417,77,11,0,H,419,5,42,9,5.0,3.0,1,4.56,0,6.0,41.0
185937,1, .,3,0.375,93,16,1,U,279,3,47,12,8.67,6.0,0,8.5,1,11.0,102.0
149089,1,34,2,0.143,29,11,0,H,515,2,30,2,21.5,3.0,1,21.5,0,23.0,43.0
58269,0,40,0,0.067,126,28,0,U,357,1,22,14,0.0,12.0,0,8.57,1,15.0,120.0
72209,0,40,6,0.333,81,23,0,H,388,6,38,14,7.83,5.0,1,7.07,1,10.0,99.0
9049,1,30,0,0.111,53,16,0,H,323,2,1,11,0.0,13.0,0,8.82,1,18.0,97.0
122194,0,24,3,0.214,29,11,0,H,222,3,18,3,14.0,10.0,0,14.0,0,20.0,42.0
42856,0,31,1,0.1,88,17,0,H,224,1,9,4,30.0,20.0,1,20.0,0,30.0,80.0
43662,0,28,1,0.227,57,20,0,H,265,5,44,9,15.0,6.0,0,14.56,0,16.0,131.0
140489,0,27,1,0.048,111,29,0,U,343,1,58,13,20.0,15.0,0,12.15,1,20.0,158.0
62239,0,35,3,0.211,105,28,0,H,151,4,56,18,13.33,11.0,0,10.78,1,15.0,194.0
68466,0,08,0,0.211,126,28,0,U,163,4,31,11,0.0,7.0,0,8.73,0,12.0,96.0
158390,1,07,3,0.2,124,30,0,U,365,4,16,14,14.0,13.0,1,9.5,1,15.0,133.0
137279,0,43,0,0.071,44,11,0,U,205,1,25,2,0.0,75.0,0,62.5,0,100.0,125.0
125893,0,11,1,0.286,28,6,0,U,430,2,7,2,3.0,13.0,1,9.5,0,16.0,19.0
47525,1,32,0,0.167,32,12,0,H,161,3,43,3,0.0,8.0,1,14.0,0,18.0,42.0
171126,0,12,1,0.158,79,22,0,H,482,3,8,8,14.0,9.0,0,10.63,0,14.0,85.0
138443,1, .,1,0.2,17,5,0,H,174,1,0,1,15.0,0.0,0,15.0,0,15.0,15.0
147464,1,13,1,0.2,17,5,0,H,600,1,43,1,20.0,0.0,0,20.0,0,20.0,20.0
96461,0,30,2,0.308,28,10,0,U,196,4,26,4,10.5,7.0,1,9.5,1,12.0,38.0
175637,1,12,0,0.167,69,12,0,U,502,2,27,3,0.0,15.0,0,15.0,0,20.0,45.0
191775,0, .,0,0.053,129,31,1,U,421,1,0,24,0.0,20.0,1,18.33,1,25.0,440.0
131817,0,14,2,0.143,80,24,0,H,500,3,10,9,22.5,15.0,1,14.67,0,25.0,132.0
103593,1,53,1,0.056,113,28,0,U,203,1,41,18,12.0,12.0,0,8.5,1,15.0,153.0
73282,1,18,2,0.095,68,24,0,H,409,2,26,6,25.0,20.0,1,20.83,0,30.0,125.0
85390,1,42,3,0.19,76,24,0,H,388,4,18,22,11.0,12.0,1,9.5,1,15.0,209.0
161142,0,53,1,0.143,27,10,0,H,228,2,38,2,15.0,5.0,1,17.5,0,20.0,35.0
13125,0, .,3,0.273,113,34,1,U,195,6,0,21,8.33,11.0,1,8.2,1,16.0,172.2
74188,0, .,2,0.182,119,32,0,H,415,4,0,13,10.0,9.0,1,8.08,1,12.0,105.0
26646,0,36,2,0.1,45,16,0,U,318,2,29,4,32.5,30.0,0,23.75,0,40.0,95.0
61078,0,44,5,0.444,40,15,0,H,366,8,24,15,9.0,5.0,1,7.93,1,10.0,119.0
66743,0, .,1,0.2,17,5,0,H,455,1,0,1,15.0,0.0,1,15.0,0,15.0,15.0
32116,0,13,1,0.214,30,9,0,U,435,3,49,4,8.0,2.0,0,9.0,0,10.0,36.0
127823,1,31,4,0.318,64,21,0,U,64,7,82,20,6.0,4.0,1,5.45,1,7.0,109.0
91795,0,26,1,0.222,113,22,0,H,294,2,68,33,10.0,6.0,1,8.21,1,11.0,271.0
180501,0,40,2,0.222,79,21,0,H,257,4,41,8,16.0,11.0,1,15.25,1,21.0,122.0
13292,1,38,2,0.105,120,31,1,U,254,2,10,28,7.5,8.0,1,6.36,1,11.0,178.0
9218,0,37,4,0.2,126,34,1,H,241,4,54,28,15.0,11.0,0,9.25,1,16.0,259.0
159034,1,06,0,0.0,64,18,0,H,442,0,27,5,0.0,8.0,1,14.8,0,18.0,74.0
113261,1,31,5,0.35,77,22,0,U,222,7,35,13,8.0,5.0,0,7.62,1,10.0,99.0
133454,0,49,2,0.333,28,9,0,U,229,4,47,4,5.0,5.0,0,6.25,1,10.0,25.0
123603,0,35,1,0.15,42,14,0,H,633,3,16,4,15.0,14.0,1,14.0,0,19.0,56.0
69028,0,24,0,0.0,128,31,0,H,489,0,54,12,0.0,30.0,1,12.5,1,35.0,150.0
47709,1,51,6,0.35,104,28,0,H,179,7,48,18,13.17,10.0,0,11.44,1,15.0,206.0
43137,0,23,0,0.158,72,19,0,U,413,3,70,8,0.0,22.0,1,9.13,0,25.0,73.0
182802,0,41,2,0.25,129,24,0,U,362,4,18,19,2.0,9.0,0,2.29,1,10.0,43.5
85457,0,38,0,0.143,126,33,0,U,241,3,34,17,0.0,5.0,1,8.53,1,10.0,145.0
124785,0,13,0,0.053,44,13,0,U,355,1,53,2,0.0,5.0,0,12.5,0,15.0,25.0
22132,0,41,2,0.211,52,15,0,U,118,4,45,7,10.0,7.0,1,9.0,0,10.0,63.0
79136,1,30,4,0.273,125,34,0,H,301,6,20,24,8.75,20.0,1,8.08,1,25.0,194.0
80236,0,36,2,0.182,72,24,0,H,261,4,39,16,17.5,15.0,0,12.81,1,20.0,205.0
79468,0,44,1,0.167,41,13,0,U,284,3,30,4,11.0,10.0,1,10.0,0,15.0,40.0
11875,0,06,1,0.158,33,12,1,H,1012,3,10,4,53.0,47.0,0,88.25,0,100.0,353.0
7590,1,46,0,0.063,93,25,1,U,344,1,99,14,0.0,31.0,1,22.29,0,36.0,312.0
27711,0,40,2,0.105,53,17,0,U,323,2,17,6,22.5,20.0,0,15.0,0,25.0,90.0
82297,0,34,7,0.65,125,32,0,U,341,13,44,44,4.14,3.0,1,3.23,1,5.0,142.0
182324,1,42,2,0.154,29,9,0,H,542,2,31,2,13.0,6.0,0,13.0,0,16.0,26.0
129225,0,18,2,0.19,109,25,0,H,371,4,29,17,5.5,5.0,1,2.82,1,6.0,48.0
148814,1,13,1,0.095,67,21,0,H,687,2,33,8,11.0,17.0,0,10.38,0,20.0,83.0
24414,0,22,2,0.143,45,16,0,U,162,3,0,7,15.0,15.0,0,9.14,0,20.0,64.0
29427,0,43,0,0.105,80,22,0,U,239,2,33,14,0.0,9.0,1,6.5,1,12.0,91.0
128338,0,24,0,0.118,65,16,0,H,334,2,65,4,0.0,5.0,1,13.75,0,15.0,55.0
33311,0,24,3,0.286,93,26,0,H,323,6,63,20,7.67,6.0,1,6.3,1,9.0,126.0
185074,0,09,1,0.182,88,26,0,H,189,4,58,16,10.0,22.0,1,10.13,1,25.0,162.0
112939,0,24,2,0.143,56,19,0,H,562,3,47,8,14.0,5.0,1,12.0,1,15.0,96.0
41103,0,44,1,0.417,27,10,0,U,348,5,22,6,5.0,5.0,0,5.83,1,10.0,35.0
89107,0,23,1,0.1,41,15,0,H,444,2,60,4,20.0,15.0,1,12.5,0,20.0,50.0
138325,1,11,6,0.444,130,29,0,H,497,8,33,20,6.67,6.0,1,5.1,1,8.0,102.0
42878,1,29,3,0.2,41,15,0,H,248,4,82,8,6.33,7.0,1,6.13,1,10.0,49.0
29785,1,27,0,0.067,38,10,0,H,185,1,38,2,0.0,5.0,1,12.5,0,15.0,25.0
171935,0,17,1,0.105,45,14,0,H,233,2,15,4,20.0,15.0,1,12.5,0,20.0,50.0
23932,0,40,0,0.059,79,21,0,U,387,1,43,4,0.0,15.0,1,18.75,1,25.0,75.0
107537,0,45,0,0.053,57,18,0,U,218,1,38,5,0.0,15.0,0,13.0,1,25.0,65.0
69397,0,40,1,0.167,111,27,0,H,412,3,37,12,15.0,13.0,1,9.42,1,16.0,113.0
19872,0,27,5,0.263,56,20,0,H,269,5,27,15,10.4,7.0,1,8.0,1,12.0,120.0
24782,0,39,2,0.182,24,8,0,U,209,2,37,2,20.0,10.0,0,20.0,0,25.0,40.0
134020,0,40,1,0.063,89,18,0,H,364,1,8,5,20.0,17.0,1,10.0,0,20.0,50.0
20573,0,24,0,0.056,53,14,0,H,517,1,37,3,0.0,10.0,1,20.0,0,25.0,60.0
135570,0,17,3,0.318,57,22,0,U,489,7,33,23,7.33,25.0,0,6.52,1,28.0,150.0
5759,0,52,1,0.167,40,13,1,H,174,3,46,8,14.0,20.0,1,14.75,0,25.0,118.0
115298,0,41,3,0.318,128,34,0,H,188,7,32,23,5.67,16.0,1,6.0,1,20.0,138.0
28223,0,17,4,0.353,32,12,0,H,238,6,26,6,4.0,7.0,1,5.17,1,10.0,31.0
3366,0, .,1,0.2,16,5,0,H,965,1,0,2,15.0,15.0,0,15.0,0,15.0,30.0
15042,0,44,1,0.056,105,24,0,H,331,1,30,8,20.0,15.0,0,10.25,1,20.0,82.0
133544,0,40,1,0.105,112,26,0,U,350,2,46,9,25.0,20.0,1,22.78,1,25.0,205.0
42867,0,30,1,0.143,29,11,0,H,232,2,39,2,15.0,10.0,1,20.0,0,25.0,40.0
37291,0,12,5,0.444,45,15,0,H,428,8,11,12,5.6,7.0,1,5.17,1,9.0,62.0
20119,0,40,1,0.154,28,9,0,H,251,2,24,2,10.0,5.0,1,12.5,0,15.0,25.0
53976,0,45,2,0.118,112,27,0,H,178,2,43,16,15.0,14.0,0,8.19,1,17.0,131.0
114586,0,30,1,0.154,30,9,0,H,142,2,48,2,25.0,20.0,1,15.0,0,25.0,30.0
51792,0,37,0,0.5,15,3,0,H,202,1,52,1,0.0,0.0,1,15.0,0,15.0,15.0
156483,0,09,0,0.105,113,27,0,H,371,2,50,12,0.0,12.0,0,9.25,0,15.0,111.0
95434,0,44,2,0.15,93,22,0,H,379,3,21,8,12.5,10.0,1,8.88,1,15.0,71.0
58908,0,37,2,0.308,30,11,0,H,246,4,37,4,7.5,5.0,1,8.75,0,10.0,35.0
55703,0,43,0,0.133,32,9,0,H,155,2,30,2,0.0,2.0,1,14.0,0,15.0,28.0
134752,0,24,2,0.136,123,32,0,U,399,3,38,21,19.0,45.0,0,20.14,1,50.0,423.0
18911,0,49,0,0.056,77,21,0,H,306,1,24,9,0.0,20.0,1,15.0,0,25.0,135.0
63209,0,43,2,0.133,29,12,0,H,248,2,33,3,18.5,10.0,1,15.67,0,20.0,47.0
98943,0,41,1,0.111,40,11,0,H,55,2,51,3,15.0,10.0,1,10.0,0,15.0,30.0
85700,0,46,2,0.095,113,26,0,U,213,2,45,8,20.0,17.0,1,13.13,0,20.0,105.0
97804,0,34,0,0.118,78,20,0,U,386,2,48,5,0.0,13.0,0,13.4,0,18.0,67.0
71455,0,30,0,0.154,64,15,0,H,304,2,72,4,0.0,15.0,1,16.25,0,25.0,65.0
85242,0,25,1,0.143,74,21,0,U,320,3,34,9,20.0,10.0,0,15.11,1,20.0,136.0
163408,0,02,1,0.2,17,5,0,U,391,1,66,1,15.0,0.0,0,15.0,0,15.0,15.0
79764,0,36,0,0.053,101,25,0,U,218,1,66,8,0.0,17.0,1,20.0,0,27.0,160.0
144638,0,08,0,0.105,105,26,0,H,308,2,22,10,0.0,20.0,1,15.4,1,25.0,154.0
100174,0,08,1,0.2,24,8,0,H,364,2,55,2,20.0,0.0,1,20.0,0,20.0,40.0
49707,0,34,1,0.143,111,29,0,H,470,3,54,22,16.0,15.0,1,11.36,1,20.0,250.0
180757,0,43,3,0.25,124,32,0,H,266,5,27,26,10.0,17.0,1,9.46,1,20.0,246.0
89924,1,18,6,0.5,36,14,0,U,521,9,34,11,5.0,1.0,0,5.09,1,6.0,56.0
11461,0,34,2,0.158,130,33,1,H,473,3,26,29,10.0,6.0,0,8.17,1,11.0,237.0
47545,0,27,1,0.176,35,11,0,H,276,3,37,3,10.0,5.0,1,11.67,0,15.0,35.0
53367,0,16,6,0.421,130,32,0,H,231,8,43,30,3.33,4.0,1,4.03,1,6.0,121.0
76642,0,28,1,0.15,126,33,0,H,281,3,44,16,15.0,12.0,1,10.0,1,17.0,160.0
57627,0,40,1,0.286,21,7,0,U,429,2,32,2,10.0,5.0,1,12.5,0,15.0,25.0
35935,1,17,2,0.118,37,12,0,H,266,2,38,3,13.5,12.0,1,10.67,0,17.0,32.0
140952,0,48,4,0.333,53,18,0,U,234,7,48,12,10.5,7.0,0,9.75,1,12.0,117.0
28129,0,31,2,0.167,29,8,0,U,132,2,32,2,10.0,10.0,0,10.0,0,15.0,20.0
152898,0,18,1,0.167,69,16,0,H,440,3,10,6,11.0,8.0,0,7.67,0,11.0,46.0
75985,0,45,2,0.143,29,11,0,U,207,2,38,3,12.5,5.0,0,13.33,0,15.0,40.0
168171,1,29,3,0.238,122,28,0,U,203,5,44,14,11.67,15.0,0,13.57,1,20.0,190.0
69465,1,12,1,0.056,40,12,0,H,566,1,33,3,15.0,10.0,1,10.0,0,15.0,30.0
148101,0,11,2,0.235,77,20,0,H,455,4,40,11,10.5,6.0,0,7.91,0,11.0,87.0
85579,1,37,1,0.2,17,5,0,U,227,1,40,1,20.0,0.0,1,20.0,0,20.0,20.0
168692,0,13,1,0.1,52,18,0,H,590,2,62,5,21.0,11.0,0,17.0,0,21.0,85.0
186232,1, .,4,0.3,41,17,1,U,421,6,0,11,15.5,28.0,0,10.82,0,30.0,119.0
113780,0,53,3,0.308,29,10,0,U,188,4,40,4,12.0,15.0,0,14.0,1,20.0,56.0
118263,0,44,3,0.286,55,18,0,H,318,6,41,14,13.0,13.5,1,9.93,1,16.0,139.0
34329,0,24,2,0.118,105,22,0,U,206,2,31,8,13.0,10.0,1,9.25,1,15.0,74.0
135595,0,14,1,0.19,110,30,0,H,586,4,21,11,10.0,7.0,1,7.55,0,10.0,83.0
37249,0,08,2,0.158,53,17,0,H,237,3,20,5,16.0,15.0,1,11.4,0,20.0,57.0
4588,1,44,2,0.143,123,34,1,U,337,3,35,32,12.5,22.0,1,12.44,1,25.0,398.0
100913,0,27,0,0.048,75,22,0,U,453,1,15,6,0.0,15.0,0,18.33,0,25.0,110.0
99861,0,43,5,0.474,105,24,0,H,225,9,0,18,5.0,0.0,1,5.0,1,5.0,90.0
171507,0,44,2,0.3,69,24,0,H,342,6,29,20,29.0,25.0,0,17.95,1,30.0,359.0
157510,0,12,1,0.118,122,28,0,U,575,2,20,20,13.0,14.0,1,9.55,1,15.0,191.0
29341,0, .,3,0.455,28,10,0,U,278,5,0,5,6.33,2.0,1,5.8,1,7.0,29.0
117076,1,21,1,0.125,93,19,0,H,238,2,39,17,10.0,7.0,1,7.94,1,11.0,135.0
7646,0,33,1,0.063,93,21,1,H,162,1,96,15,15.0,5.0,0,12.47,0,15.0,187.0
3706,0,36,0,0.136,128,35,1,U,238,3,47,24,0.0,7.0,1,7.33,1,10.0,176.0
164386,0,02,0,0.053,125,29,0,H,609,1,30,10,0.0,13.0,1,8.3,0,16.0,83.0
47245,1,32,4,0.353,32,13,0,H,312,6,53,7,5.75,4.0,1,5.14,1,7.0,36.0
156937,1,03,1,0.143,20,5,0,H,416,1,15,1,15.0,0.0,0,15.0,0,15.0,15.0
93294,0,07,0,0.067,42,11,0,U,245,1,25,2,0.0,22.0,0,21.0,0,32.0,42.0
101332,0,53,2,0.1,69,23,0,U,181,2,40,17,15.5,19.0,1,11.41,1,24.0,194.0
131751,0,24,2,0.313,35,13,0,U,610,5,28,6,8.5,5.0,0,6.5,0,10.0,39.0
54373,0,47,1,0.111,77,20,0,H,194,2,44,6,16.0,6.0,0,12.5,0,16.0,75.0
160640,0,48,1,0.214,31,10,0,H,232,3,60,3,20.0,10.0,1,16.67,0,20.0,50.0
88825,0,23,1,0.133,53,16,0,U,391,2,54,5,16.0,6.0,1,12.2,0,16.0,61.0
94479,0,02,1,0.056,113,28,0,H,447,1,40,10,20.0,17.0,1,10.5,1,20.0,105.0
121202,1,13,3,0.15,56,19,0,H,1500,3,51,8,19.67,19.0,1,13.88,0,25.0,111.0
177460,0,45,0,0.1,125,28,0,U,146,2,44,12,0.0,17.0,0,8.08,1,18.0,97.0
148213,1,12,2,0.333,21,7,0,H,651,2,12,2,12.5,5.0,0,12.5,0,15.0,25.0
15549,0,44,1,0.118,44,13,0,U,343,2,39,3,20.0,10.0,1,14.0,0,20.0,42.0
44219,0,28,2,0.25,41,14,0,U,310,5,59,6,10.0,5.0,1,9.17,0,10.0,55.0
77260,1,44,1,0.263,113,25,0,U,391,5,33,12,10.0,7.0,0,7.75,0,10.0,93.0
44922,0,33,0,0.056,42,11,0,H,219,1,78,2,0.0,12.0,1,16.0,0,22.0,32.0
38812,1,03,0,0.056,75,20,0,H,515,1,63,6,0.0,7.0,1,14.33,1,17.0,86.0
87401,0,42,5,0.286,122,31,0,U,262,6,14,18,5.2,4.0,0,4.94,1,7.0,89.0
103452,0,53,3,0.417,27,10,0,U,191,5,36,5,6.67,4.0,1,7.2,1,10.0,36.0
161231,0,40,4,0.357,105,26,0,U,156,5,47,20,7.25,6.0,0,6.65,1,9.0,133.0
